ParticipantID,X,Z,Frame,Total Time,Lapsed Time,Target Name,X Euler Angle,Y Euler Angle,Z Euler Angle
AkanukolanuT1,0,-4.1,0,0.02,0.02,Automobile shop,(0.0, 0.0, 0.0)
AkanukolanuT1,0,-4.1,1,0.04,0.04,Automobile shop,(0.0, 0.0, 0.0)
AkanukolanuT1,0,-4.1,2,0.06,0.06,Automobile shop,(0.0, 0.0, 0.0)
AkanukolanuT1,0,-4.1,3,0.3933333,0.3933333,Automobile shop,(0.0, 0.0, 0.0)
AkanukolanuT1,0,-4.1,4,0.4168696,0.4168696,Automobile shop,(0.0, 0.0, 0.0)
AkanukolanuT1,0,-4.1,5,0.4207647,0.4207647,Automobile shop,(0.0, 0.0, 0.0)
AkanukolanuT1,0,-4.1,6,0.4252777,0.4252777,Automobile shop,(0.0, 0.0, 0.0)
AkanukolanuT1,0,-4.1,7,0.4322615,0.4322615,Automobile shop,(0.0, 0.0, 0.0)
AkanukolanuT1,0,-4.1,8,0.4399198,0.4399198,Automobile shop,(0.0, 0.0, 0.0)
AkanukolanuT1,0,-4.1,9,0.4464795,0.4464795,Automobile shop,(0.0, 0.0, 0.0)
AkanukolanuT1,0,-4.1,10,0.4531079,0.4531079,Automobile shop,(0.0, 0.0, 0.0)
AkanukolanuT1,0,-4.1,11,0.4602639,0.4602639,Automobile shop,(0.0, 0.0, 0.0)
AkanukolanuT1,0,-4.1,12,0.4674949,0.4674949,Automobile shop,(0.0, 0.0, 0.0)
AkanukolanuT1,0,-4.1,13,0.4741568,0.4741568,Automobile shop,(0.0, 0.0, 0.0)
AkanukolanuT1,0,-4.1,14,0.4812354,0.4812354,Automobile shop,(0.0, 0.0, 0.0)
AkanukolanuT1,0,-4.1,15,0.4882143,0.4882143,Automobile shop,(0.0, 0.0, 0.0)
AkanukolanuT1,0,-4.1,16,0.4950351,0.4950351,Automobile shop,(0.0, 0.0, 0.0)
