ParticipantID,X,Z,Frame,Total Time,Lapsed Time,Target Name,X Euler Angle,Y Euler Angle,Z Euler Angle
BNC06_Y1_T2,0,-4.1,0,0.02,0.02,Automobile shop,(0.0, 0.0, 0.0)
BNC06_Y1_T2,0,-4.1,1,0.04,0.04,Automobile shop,(0.0, 0.0, 0.0)
BNC06_Y1_T2,0,-4.1,2,0.06,0.06,Automobile shop,(0.0, 0.0, 0.0)
BNC06_Y1_T2,0,-4.1,3,0.3933333,0.3933333,Automobile shop,(355.0, 3.7, 1.2)
BNC06_Y1_T2,0,-4.1,4,0.4526782,0.4526782,Automobile shop,(354.8, 3.8, 1.5)
BNC06_Y1_T2,0,-4.1,5,0.462725,0.462725,Automobile shop,(354.8, 3.7, 1.5)
BNC06_Y1_T2,0,-4.1,6,0.4679846,0.4679846,Automobile shop,(354.7, 3.7, 1.5)
BNC06_Y1_T2,0,-4.1,7,0.4732973,0.4732973,Automobile shop,(354.7, 3.7, 1.5)
BNC06_Y1_T2,0,-4.1,8,0.4803651,0.4803651,Automobile shop,(354.7, 3.7, 1.5)
BNC06_Y1_T2,0,-4.1,9,0.4870984,0.4870984,Automobile shop,(354.7, 3.7, 1.5)
BNC06_Y1_T2,0,-4.1,10,0.4939021,0.4939021,Automobile shop,(354.7, 3.7, 1.5)
BNC06_Y1_T2,0,-4.1,11,0.5008438,0.5008438,Automobile shop,(354.6, 3.7, 1.5)
BNC06_Y1_T2,0,-4.1,12,0.5076877,0.5076877,Automobile shop,(354.6, 3.7, 1.5)
BNC06_Y1_T2,0,-4.1,13,0.5147104,0.5147104,Automobile shop,(354.6, 3.6, 1.5)
BNC06_Y1_T2,0,-4.1,14,0.5215772,0.5215772,Automobile shop,(354.6, 3.6, 1.5)
BNC06_Y1_T2,0,-4.1,15,0.5284806,0.5284806,Automobile shop,(354.6, 3.6, 1.5)
BNC06_Y1_T2,0,-4.1,16,0.5355877,0.5355877,Automobile shop,(354.6, 3.6, 1.5)
BNC06_Y1_T2,0,-4.1,17,0.5425752,0.5425752,Automobile shop,(354.7, 3.6, 1.5)
BNC06_Y1_T2,0,-4.1,18,0.5496146,0.5496146,Automobile shop,(354.7, 3.6, 1.5)
BNC06_Y1_T2,0,-4.1,19,0.5565144,0.5565144,Automobile shop,(354.7, 3.6, 1.5)
BNC06_Y1_T2,0,-4.1,20,0.5636487,0.5636487,Automobile shop,(354.7, 3.6, 1.5)
BNC06_Y1_T2,0,-4.1,21,0.57042,0.57042,Automobile shop,(354.8, 3.6, 1.5)
BNC06_Y1_T2,0,-4.1,22,0.5772752,0.5772752,Automobile shop,(354.8, 3.6, 1.5)
BNC06_Y1_T2,0,-4.1,23,0.5843732,0.5843732,Automobile shop,(354.9, 3.5, 1.5)
BNC06_Y1_T2,0,-4.1,24,0.5914198,0.5914198,Automobile shop,(355.0, 3.5, 1.5)
BNC06_Y1_T2,0,-4.1,25,0.598354,0.598354,Automobile shop,(355.0, 3.5, 1.5)
BNC06_Y1_T2,0,-4.1,26,0.6053583,0.6053583,Automobile shop,(355.1, 3.5, 1.5)
BNC06_Y1_T2,0,-4.1,27,0.612722,0.612722,Automobile shop,(355.2, 3.5, 1.5)
BNC06_Y1_T2,0,-4.1,28,0.6193854,0.6193854,Automobile shop,(355.3, 3.5, 1.5)
