ParticipantID,X,Z,Frame,Total Time,Lapsed Time,Target Name,X Euler Angle,Y Euler Angle,Z Euler Angle
BNC26_B2,0,-4.1,0,0.02,0.02,Automobile shop,(0.0, 0.0, 0.0)
BNC26_B2,0,-4.1,1,0.04,0.04,Automobile shop,(0.0, 0.0, 0.0)
BNC26_B2,0,-4.1,2,0.06,0.06,Automobile shop,(0.0, 0.0, 0.0)
BNC26_B2,0,-4.1,3,0.3933333,0.3933333,Automobile shop,(351.3, 9.7, 3.1)
BNC26_B2,0,-4.1,4,0.4416791,0.4416791,Automobile shop,(352.1, 10.4, 1.8)
BNC26_B2,0,-4.1,5,0.450918,0.450918,Automobile shop,(352.1, 10.5, 1.8)
BNC26_B2,0,-4.1,6,0.4565893,0.4565893,Automobile shop,(352.1, 10.5, 1.8)
BNC26_B2,0,-4.1,7,0.4632385,0.4632385,Automobile shop,(352.1, 10.5, 1.7)
BNC26_B2,0,-4.1,8,0.4703549,0.4703549,Automobile shop,(352.1, 10.5, 1.7)
BNC26_B2,0,-4.1,9,0.4767884,0.4767884,Automobile shop,(352.2, 10.5, 1.7)
BNC26_B2,0,-4.1,10,0.4837754,0.4837754,Automobile shop,(352.2, 10.5, 1.7)
BNC26_B2,0,-4.1,11,0.4906124,0.4906124,Automobile shop,(352.2, 10.5, 1.7)
BNC26_B2,0,-4.1,12,0.4975165,0.4975165,Automobile shop,(352.2, 10.5, 1.7)
BNC26_B2,0,-4.1,13,0.5044801,0.5044801,Automobile shop,(352.2, 10.5, 1.6)
BNC26_B2,0,-4.1,14,0.5115824,0.5115824,Automobile shop,(352.2, 10.5, 1.6)
BNC26_B2,0,-4.1,15,0.5184397,0.5184397,Automobile shop,(352.2, 10.5, 1.6)
BNC26_B2,0,-4.1,16,0.5254992,0.5254992,Automobile shop,(352.2, 10.5, 1.6)
BNC26_B2,0,-4.1,17,0.5325412,0.5325412,Automobile shop,(352.2, 10.5, 1.6)
BNC26_B2,0,-4.1,18,0.5397227,0.5397227,Automobile shop,(352.2, 10.5, 1.6)
BNC26_B2,0,-4.1,19,0.5465621,0.5465621,Automobile shop,(352.2, 10.5, 1.6)
BNC26_B2,0,-4.1,20,0.5536433,0.5536433,Automobile shop,(352.2, 10.5, 1.6)
BNC26_B2,0,-4.1,21,0.5604556,0.5604556,Automobile shop,(352.2, 10.5, 1.6)
BNC26_B2,0,-4.1,22,0.5672029,0.5672029,Automobile shop,(352.2, 10.5, 1.6)
BNC26_B2,0,-4.1,23,0.5743052,0.5743052,Automobile shop,(352.2, 10.5, 1.6)
BNC26_B2,0,-4.1,24,0.5811795,0.5811795,Automobile shop,(352.2, 10.5, 1.6)
