ParticipantID,X,Z,Frame,Total Time,Lapsed Time,Target Name,X Euler Angle,Y Euler Angle,Z Euler Angle
BNC36_t3,0,-4.1,0,0.02,0.02,Automobile shop,(0.0, 0.0, 0.0)
BNC36_t3,0,-4.1,1,0.04,0.04,Automobile shop,(0.0, 0.0, 0.0)
BNC36_t3,0,-4.1,2,0.06,0.06,Automobile shop,(0.0, 0.0, 0.0)
BNC36_t3,0,-4.1,3,0.3933333,0.3933333,Automobile shop,(345.0, 350.4, 1.1)
BNC36_t3,0,-4.1,4,0.4448664,0.4448664,Automobile shop,(345.0, 350.4, 1.0)
BNC36_t3,0,-4.1,5,0.4543804,0.4543804,Automobile shop,(345.0, 350.4, 1.0)
BNC36_t3,0,-4.1,6,0.4598826,0.4598826,Automobile shop,(345.0, 350.4, 1.0)
BNC36_t3,0,-4.1,7,0.4640134,0.4640134,Automobile shop,(345.0, 350.4, 1.0)
BNC36_t3,0,-4.1,8,0.469935,0.469935,Automobile shop,(345.0, 350.4, 1.0)
BNC36_t3,0,-4.1,9,0.4765333,0.4765333,Automobile shop,(345.1, 350.4, 1.0)
BNC36_t3,0,-4.1,10,0.483638,0.483638,Automobile shop,(345.1, 350.5, 1.0)
BNC36_t3,0,-4.1,11,0.490455,0.490455,Automobile shop,(345.1, 350.5, 1.0)
BNC36_t3,0,-4.1,12,0.4974942,0.4974942,Automobile shop,(345.1, 350.5, 1.0)
BNC36_t3,0,-4.1,13,0.5045044,0.5045044,Automobile shop,(345.2, 350.5, 1.0)
BNC36_t3,0,-4.1,14,0.5113279,0.5113279,Automobile shop,(345.2, 350.5, 1.0)
BNC36_t3,0,-4.1,15,0.518305,0.518305,Automobile shop,(345.2, 350.5, 1.1)
BNC36_t3,0,-4.1,16,0.525114,0.525114,Automobile shop,(345.3, 350.5, 1.1)
BNC36_t3,0,-4.1,17,0.5319962,0.5319962,Automobile shop,(345.3, 350.5, 1.0)
BNC36_t3,0,-4.1,18,0.5393055,0.5393055,Automobile shop,(345.4, 350.5, 1.0)
BNC36_t3,0,-4.1,19,0.5462413,0.5462413,Automobile shop,(345.4, 350.5, 1.0)
BNC36_t3,0,-4.1,20,0.5529476,0.5529476,Automobile shop,(345.5, 350.5, 1.0)
BNC36_t3,0,-4.1,21,0.5596955,0.5596955,Automobile shop,(345.5, 350.5, 1.0)
BNC36_t3,0,-4.1,22,0.566826,0.566826,Automobile shop,(345.5, 350.6, 1.0)
BNC36_t3,0,-4.1,23,0.5736997,0.5736997,Automobile shop,(345.6, 350.6, 1.0)
BNC36_t3,0,-4.1,24,0.5810872,0.5810872,Automobile shop,(345.6, 350.6, 1.0)
BNC36_t3,0,-4.1,25,0.5875697,0.5875697,Automobile shop,(345.7, 350.6, 1.0)
BNC36_t3,0,-4.1,26,0.5945405,0.5945405,Automobile shop,(345.7, 350.6, 1.0)
BNC36_t3,0,-4.1,27,0.6018281,0.6018281,Automobile shop,(345.8, 350.6, 1.0)
BNC36_t3,0,-4.1,28,0.6085173,0.6085173,Automobile shop,(345.9, 350.6, 1.0)
BNC36_t3,0,-4.1,29,0.6154045,0.6154045,Automobile shop,(346.0, 350.6, 1.0)
BNC36_t3,0,-4.1,30,0.6221593,0.6221593,Automobile shop,(346.0, 350.6, 1.0)
BNC36_t3,0,-4.1,31,0.6293257,0.6293257,Automobile shop,(346.1, 350.6, 1.0)
BNC36_t3,0,-4.1,32,0.6360131,0.6360131,Automobile shop,(346.2, 350.6, 1.0)
BNC36_t3,0,-4.1,33,0.9361082,0.9361082,Automobile shop,(350.0, 351.0, 1.0)
BNC36_t3,0,-4.1,34,0.964729,0.964729,Automobile shop,(350.6, 351.1, 1.0)
BNC36_t3,0,-4.1,35,0.9696087,0.9696087,Automobile shop,(350.7, 351.1, 0.9)
BNC36_t3,0,-4.1,36,0.976679,0.976679,Automobile shop,(350.9, 351.1, 0.9)
BNC36_t3,0,-4.1,37,0.9835305,0.9835305,Automobile shop,(351.0, 351.2, 0.9)
BNC36_t3,0,-4.1,38,0.9904585,0.9904585,Automobile shop,(351.1, 351.2, 0.9)
BNC36_t3,0,-4.1,39,0.9974729,0.9974729,Automobile shop,(351.3, 351.3, 0.8)
BNC36_t3,0,-4.1,40,1.004428,1.004428,Automobile shop,(351.4, 351.3, 0.8)
BNC36_t3,0,-4.1,41,1.011313,1.011313,Automobile shop,(351.5, 351.4, 0.8)
BNC36_t3,0,-4.1,42,1.01839,1.01839,Automobile shop,(351.6, 351.4, 0.8)
