ParticipantID,X,Z,Frame,Total Time,Lapsed Time,Target Name,X Euler Angle,Y Euler Angle,Z Euler Angle
BNCAK,0,-4.1,0,0.02,0.02,Automobile shop,(0.0, 0.0, 0.0)
BNCAK,0,-4.1,1,0.04,0.04,Automobile shop,(0.0, 0.0, 0.0)
BNCAK,0,-4.1,2,0.06,0.06,Automobile shop,(4.8, 28.3, 0.4)
BNCAK,0,-4.1,3,0.3933333,0.3933333,Automobile shop,(4.8, 28.1, 359.2)
BNCAK,0,-4.1,4,0.4390957,0.4390957,Automobile shop,(3.4, 23.7, 1.3)
BNCAK,0,-4.1,5,0.4489135,0.4489135,Automobile shop,(3.1, 23.5, 1.2)
BNCAK,0,-4.1,6,0.4538787,0.4538787,Automobile shop,(3.1, 23.5, 1.1)
BNCAK,0,-4.1,7,0.4579831,0.4579831,Automobile shop,(3.0, 23.5, 1.1)
BNCAK,0,-4.1,8,0.4636635,0.4636635,Automobile shop,(2.9, 23.5, 1.0)
BNCAK,0,-4.1,9,0.4706193,0.4706193,Automobile shop,(2.9, 23.4, 1.0)
BNCAK,0,-4.1,10,0.4781665,0.4781665,Automobile shop,(2.8, 23.4, 1.0)
BNCAK,0,-4.1,11,0.4842688,0.4842688,Automobile shop,(2.8, 23.4, 0.9)
BNCAK,0,-4.1,12,0.4913538,0.4913538,Automobile shop,(2.8, 23.3, 0.9)
BNCAK,0,-4.1,13,0.4979796,0.4979796,Automobile shop,(2.8, 23.3, 0.9)
BNCAK,0,-4.1,14,0.505118,0.505118,Automobile shop,(2.8, 23.3, 0.9)
BNCAK,0,-4.1,15,0.5118116,0.5118116,Automobile shop,(2.7, 23.3, 0.8)
BNCAK,0,-4.1,16,0.6798523,0.6798523,Automobile shop,(3.5, 21.4, 0.6)
BNCAK,0,-4.1,17,0.701692,0.701692,Automobile shop,(4.3, 19.8, 0.6)
BNCAK,0,-4.1,18,0.7064188,0.7064188,Automobile shop,(4.5, 19.3, 0.6)
BNCAK,0,-4.1,19,0.7133829,0.7133829,Automobile shop,(4.8, 18.8, 0.5)
BNCAK,0,-4.1,20,0.7203174,0.7203174,Automobile shop,(5.0, 18.3, 0.5)
BNCAK,0,-4.1,21,0.7272895,0.7272895,Automobile shop,(5.2, 17.8, 0.5)
BNCAK,0,-4.1,22,0.7341526,0.7341526,Automobile shop,(5.4, 17.3, 0.5)
BNCAK,0,-4.1,23,0.7414355,0.7414355,Automobile shop,(5.6, 16.8, 0.4)
