ParticipantID,X,Z,Frame,Total Time,Lapsed Time,Target Name,X Euler Angle,Y Euler Angle,Z Euler Angle
head_rotation _data_YB,0,-4.1,0,0.02,0.02,Automobile shop,(0.0, 0.0, 0.0)
head_rotation _data_YB,0,-4.1,1,0.04,0.04,Automobile shop,(0.0, 0.0, 0.0)
head_rotation _data_YB,0,-4.1,2,0.06,0.06,Automobile shop,(0.0, 0.0, 0.0)
head_rotation _data_YB,0,-4.1,3,0.3933333,0.3933333,Automobile shop,(2.4, 348.3, 358.8)
head_rotation _data_YB,0,-4.1,4,0.5078101,0.5078101,Automobile shop,(1.9, 356.5, 359.9)
head_rotation _data_YB,0,-4.1,5,0.5356037,0.5356037,Automobile shop,(1.8, 356.4, 359.8)
head_rotation _data_YB,0,-4.1,6,0.5425315,0.5425315,Automobile shop,(1.6, 356.4, 359.6)
head_rotation _data_YB,0,-4.1,7,0.5490114,0.5490114,Automobile shop,(1.5, 356.4, 359.6)
head_rotation _data_YB,0,-4.1,8,0.5563381,0.5563381,Automobile shop,(1.5, 356.4, 359.6)
head_rotation _data_YB,0,-4.1,9,0.5628986,0.5628986,Automobile shop,(1.4, 356.4, 359.6)
head_rotation _data_YB,0,-4.1,10,0.5699595,0.5699595,Automobile shop,(1.4, 356.4, 359.7)
head_rotation _data_YB,0,-4.1,11,0.576777,0.576777,Automobile shop,(1.4, 356.4, 359.7)
head_rotation _data_YB,0,-4.1,12,0.5839406,0.5839406,Automobile shop,(1.3, 356.3, 359.7)
head_rotation _data_YB,0,-4.1,13,0.5909167,0.5909167,Automobile shop,(1.3, 356.3, 359.7)
head_rotation _data_YB,0,-4.1,14,0.5974839,0.5974839,Automobile shop,(1.3, 356.3, 359.7)
head_rotation _data_YB,0,-4.1,15,0.6046728,0.6046728,Automobile shop,(1.3, 356.3, 359.7)
head_rotation _data_YB,0,-4.1,16,0.6114369,0.6114369,Automobile shop,(1.3, 356.3, 359.6)
head_rotation _data_YB,0,-4.1,17,0.6184052,0.6184052,Automobile shop,(1.3, 356.3, 359.6)
head_rotation _data_YB,0,-4.1,18,0.6256457,0.6256457,Automobile shop,(1.2, 356.3, 359.5)
head_rotation _data_YB,0,-4.1,19,0.6323985,0.6323985,Automobile shop,(1.2, 356.3, 359.5)
head_rotation _data_YB,0,-4.1,20,0.6397084,0.6397084,Automobile shop,(1.2, 356.2, 359.4)
head_rotation _data_YB,0,-4.1,21,0.6462095,0.6462095,Automobile shop,(1.2, 356.2, 359.4)
head_rotation _data_YB,0,-4.1,22,0.6532444,0.6532444,Automobile shop,(1.2, 356.2, 359.4)
head_rotation _data_YB,0,-4.1,23,0.6604108,0.6604108,Automobile shop,(1.2, 356.2, 359.3)
head_rotation _data_YB,0,-4.1,24,0.6676093,0.6676093,Automobile shop,(1.2, 356.1, 359.3)
head_rotation _data_YB,0,-4.1,25,0.6740054,0.6740054,Automobile shop,(1.2, 356.1, 359.3)
head_rotation _data_YB,0,-4.1,26,0.6809347,0.6809347,Automobile shop,(1.2, 356.1, 359.3)
head_rotation _data_YB,0,-4.1,27,0.6878178,0.6878178,Automobile shop,(1.1, 356.0, 359.3)
head_rotation _data_YB,0,-4.1,28,0.6946895,0.6946895,Automobile shop,(1.1, 356.0, 359.3)
head_rotation _data_YB,0,-4.1,29,0.7016106,0.7016106,Automobile shop,(1.1, 356.0, 359.3)
head_rotation _data_YB,0,-4.1,30,0.8646002,0.8646002,Automobile shop,(0.9, 355.9, 359.3)
head_rotation _data_YB,0,-4.1,31,0.8884909,0.8884909,Automobile shop,(0.9, 356.1, 359.4)
head_rotation _data_YB,0,-4.1,32,0.893562,0.893562,Automobile shop,(0.9, 356.2, 359.4)
head_rotation _data_YB,0,-4.1,33,0.8972159,0.8972159,Automobile shop,(0.9, 356.2, 359.5)
head_rotation _data_YB,0,-4.1,34,0.903345,0.903345,Automobile shop,(1.0, 356.3, 359.5)
head_rotation _data_YB,0,-4.1,35,0.9103651,0.9103651,Automobile shop,(1.0, 356.3, 359.5)
head_rotation _data_YB,0,-4.1,36,0.9173393,0.9173393,Automobile shop,(1.0, 356.3, 359.5)
head_rotation _data_YB,0,-4.1,37,0.9243341,0.9243341,Automobile shop,(1.0, 356.4, 359.5)
head_rotation _data_YB,0,-4.1,38,0.9311143,0.9311143,Automobile shop,(1.0, 356.4, 359.5)
head_rotation _data_YB,0,-4.1,39,0.938175,0.938175,Automobile shop,(1.0, 356.5, 359.5)
head_rotation _data_YB,0,-4.1,40,0.9451989,0.9451989,Automobile shop,(0.9, 356.5, 359.5)
head_rotation _data_YB,0,-4.1,41,0.951877,0.951877,Automobile shop,(0.9, 356.6, 359.5)
head_rotation _data_YB,0,-4.1,42,0.958866,0.958866,Automobile shop,(0.9, 356.6, 359.5)
head_rotation _data_YB,0,-4.1,43,0.9657902,0.9657902,Automobile shop,(0.9, 356.7, 359.4)
head_rotation _data_YB,0,-4.1,44,0.9729042,0.9729042,Automobile shop,(0.9, 356.7, 359.4)
head_rotation _data_YB,0,-4.1,45,0.979816,0.979816,Automobile shop,(0.9, 356.8, 359.4)
head_rotation _data_YB,0,-4.1,46,0.98667,0.98667,Automobile shop,(0.9, 356.8, 359.4)
head_rotation _data_YB,0,-4.1,47,0.9938794,0.9938794,Automobile shop,(0.9, 356.8, 359.5)
head_rotation _data_YB,0,-4.1,48,1.000712,1.000712,Automobile shop,(0.9, 356.8, 359.5)
head_rotation _data_YB,0,-4.1,49,1.0079,1.0079,Automobile shop,(0.9, 356.9, 359.5)
head_rotation _data_YB,0,-4.1,50,1.014756,1.014756,Automobile shop,(0.9, 356.9, 359.6)
head_rotation _data_YB,0,-4.1,51,1.021842,1.021842,Automobile shop,(0.9, 356.9, 359.6)
head_rotation _data_YB,0,-4.1,52,1.028451,1.028451,Automobile shop,(1.0, 356.9, 359.6)
head_rotation _data_YB,0,-4.1,53,1.035414,1.035414,Automobile shop,(1.0, 356.9, 359.7)
head_rotation _data_YB,0,-4.1,54,1.042305,1.042305,Automobile shop,(1.0, 356.9, 359.7)
head_rotation _data_YB,0,-4.1,55,1.049324,1.049324,Automobile shop,(0.9, 356.8, 359.7)
head_rotation _data_YB,0,-4.1,56,1.056077,1.056077,Automobile shop,(0.9, 356.8, 359.8)
head_rotation _data_YB,0,-4.1,57,1.063094,1.063094,Automobile shop,(0.9, 356.8, 359.8)
head_rotation _data_YB,0,-4.1,58,1.070065,1.070065,Automobile shop,(0.9, 356.8, 359.8)
head_rotation _data_YB,0,-4.1,59,1.076927,1.076927,Automobile shop,(0.9, 356.7, 359.8)
head_rotation _data_YB,0,-4.1,60,1.084139,1.084139,Automobile shop,(0.9, 356.7, 359.8)
head_rotation _data_YB,0,-4.1,61,1.090808,1.090808,Automobile shop,(0.9, 356.6, 359.8)
head_rotation _data_YB,0,-4.1,62,1.097765,1.097765,Automobile shop,(0.9, 356.6, 359.9)
head_rotation _data_YB,0,-4.1,63,1.10485,1.10485,Automobile shop,(0.9, 356.6, 359.9)
head_rotation _data_YB,0,-4.1,64,1.111671,1.111671,Automobile shop,(0.9, 356.5, 359.9)
head_rotation _data_YB,0,-4.1,65,1.118557,1.118557,Automobile shop,(0.8, 356.5, 359.9)
head_rotation _data_YB,0,-4.1,66,1.125619,1.125619,Automobile shop,(0.8, 356.4, 359.9)
head_rotation _data_YB,0,-4.1,67,1.132559,1.132559,Automobile shop,(0.8, 356.4, 359.9)
head_rotation _data_YB,0,-4.1,68,1.139566,1.139566,Automobile shop,(0.8, 356.3, 359.9)
head_rotation _data_YB,0,-4.1,69,1.146328,1.146328,Automobile shop,(0.7, 356.3, 359.9)
head_rotation _data_YB,0,-4.1,70,1.153374,1.153374,Automobile shop,(0.7, 356.3, 359.9)
head_rotation _data_YB,0,-4.1,71,1.160364,1.160364,Automobile shop,(0.7, 356.2, 360.0)
head_rotation _data_YB,0,-4.1,72,1.167378,1.167378,Automobile shop,(0.6, 356.2, 360.0)
head_rotation _data_YB,0,-4.1,73,1.174203,1.174203,Automobile shop,(0.6, 356.2, 360.0)
head_rotation _data_YB,0,-4.1,74,1.181306,1.181306,Automobile shop,(0.6, 356.1, 360.0)
head_rotation _data_YB,0,-4.1,75,1.188082,1.188082,Automobile shop,(0.5, 356.1, 360.0)
head_rotation _data_YB,0,-4.1,76,1.195069,1.195069,Automobile shop,(0.5, 356.1, 360.0)
head_rotation _data_YB,0,-4.1,77,1.202173,1.202173,Automobile shop,(0.5, 356.1, 0.0)
head_rotation _data_YB,0,-4.1,78,1.209058,1.209058,Automobile shop,(0.5, 356.1, 0.0)
head_rotation _data_YB,0,-4.1,79,1.216566,1.216566,Automobile shop,(0.5, 356.1, 0.0)
head_rotation _data_YB,0,-4.1,80,1.223389,1.223389,Automobile shop,(0.5, 356.1, 0.0)
head_rotation _data_YB,0,-4.1,81,1.230656,1.230656,Automobile shop,(0.5, 356.1, 0.0)
head_rotation _data_YB,0,-4.1,82,1.237682,1.237682,Automobile shop,(0.5, 356.1, 0.0)
head_rotation _data_YB,0,-4.1,83,1.244588,1.244588,Automobile shop,(0.5, 356.1, 0.0)
head_rotation _data_YB,0,-4.1,84,1.253945,1.253945,Automobile shop,(0.5, 356.1, 0.0)
head_rotation _data_YB,0,-4.1,85,1.258382,1.258382,Automobile shop,(0.5, 356.1, 0.0)
head_rotation _data_YB,0,-4.1,86,1.265344,1.265344,Automobile shop,(0.5, 356.1, 0.0)
head_rotation _data_YB,0,-4.1,87,1.272328,1.272328,Automobile shop,(0.5, 356.1, 0.0)
head_rotation _data_YB,0,-4.1,88,1.279376,1.279376,Automobile shop,(0.5, 356.1, 0.0)
head_rotation _data_YB,0,-4.1,89,1.286152,1.286152,Automobile shop,(0.4, 356.1, 0.0)
head_rotation _data_YB,0,-4.1,90,1.293206,1.293206,Automobile shop,(0.4, 356.2, 0.1)
head_rotation _data_YB,0,-4.1,91,1.300146,1.300146,Automobile shop,(0.4, 356.2, 0.1)
head_rotation _data_YB,0,-4.1,92,1.307171,1.307171,Automobile shop,(0.4, 356.2, 0.1)
head_rotation _data_YB,0,-4.1,93,1.313987,1.313987,Automobile shop,(0.4, 356.2, 0.1)
head_rotation _data_YB,0,-4.1,94,1.320961,1.320961,Automobile shop,(0.4, 356.2, 0.1)
