ParticipantID,X,Z,Frame,Total Time,Lapsed Time,Target Name,X Euler Angle,Y Euler Angle,Z Euler Angle
BNC22,0,-4.1,0,0.02,0.02,Automobile shop,(0.0, 0.0, 0.0)
BNC22,0,-4.1,1,0.04,0.04,Automobile shop,(0.0, 0.0, 0.0)
BNC22,0,-4.1,2,0.06,0.06,Automobile shop,(0.0, 0.0, 0.0)
BNC22,0,-4.1,3,0.3933333,0.3933333,Automobile shop,(325.6, 9.9, 1.3)
BNC22,0,-4.1,4,0.4420584,0.4420584,Automobile shop,(355.7, 3.6, 2.9)
BNC22,0,-4.1,5,0.4513175,0.4513175,Automobile shop,(356.4, 3.5, 3.0)
BNC22,0,-4.1,6,0.4570016,0.4570016,Automobile shop,(356.7, 3.4, 3.0)
BNC22,0,-4.1,7,0.460861,0.460861,Automobile shop,(357.1, 3.3, 3.1)
BNC22,0,-4.1,8,0.4681158,0.4681158,Automobile shop,(357.5, 3.2, 3.1)
BNC22,0,-4.1,9,0.4746446,0.4746446,Automobile shop,(358.0, 3.1, 3.1)
BNC22,0,-4.1,10,0.4816571,0.4816571,Automobile shop,(358.4, 3.0, 3.2)
BNC22,0,-4.1,11,0.4885437,0.4885437,Automobile shop,(358.8, 2.9, 3.2)
BNC22,0,-4.1,12,0.495493,0.495493,Automobile shop,(359.1, 2.8, 3.3)
BNC22,0,-4.1,13,0.5026184,0.5026184,Automobile shop,(359.5, 2.7, 3.3)
BNC22,0,-4.1,14,0.5095087,0.5095087,Automobile shop,(359.7, 2.6, 3.4)
BNC22,0,-4.1,15,0.5163489,0.5163489,Automobile shop,(359.9, 2.5, 3.4)
BNC22,0,-4.1,16,0.523421,0.523421,Automobile shop,(359.9, 2.4, 3.4)
BNC22,0,-4.1,17,0.5304487,0.5304487,Automobile shop,(0.0, 2.3, 3.4)
BNC22,0,-4.1,18,0.5376999,0.5376999,Automobile shop,(360.0, 2.2, 3.4)
BNC22,0,-4.1,19,0.5446819,0.5446819,Automobile shop,(359.9, 2.2, 3.4)
BNC22,0,-4.1,20,0.5512456,0.5512456,Automobile shop,(359.8, 2.1, 3.4)
BNC22,0,-4.1,21,0.5581166,0.5581166,Automobile shop,(359.7, 2.0, 3.4)
BNC22,0,-4.1,22,0.5650892,0.5650892,Automobile shop,(359.6, 1.9, 3.4)
BNC22,0,-4.1,23,0.572055,0.572055,Automobile shop,(359.5, 1.8, 3.4)
BNC22,0,-4.1,24,0.5795515,0.5795515,Automobile shop,(359.5, 1.8, 3.4)
BNC22,0,-4.1,25,0.5860531,0.5860531,Automobile shop,(359.4, 1.7, 3.4)
BNC22,0,-4.1,26,0.5929205,0.5929205,Automobile shop,(359.4, 1.6, 3.4)
BNC22,0,-4.1,27,0.6000457,0.6000457,Automobile shop,(359.3, 1.5, 3.4)
BNC22,0,-4.1,28,0.6067109,0.6067109,Automobile shop,(359.3, 1.5, 3.4)
BNC22,0,-4.1,29,0.613446,0.613446,Automobile shop,(359.2, 1.4, 3.4)
BNC22,0,-4.1,30,0.6205613,0.6205613,Automobile shop,(359.2, 1.4, 3.4)
BNC22,0,-4.1,31,0.6274918,0.6274918,Automobile shop,(359.1, 1.3, 3.4)
BNC22,0,-4.1,32,0.6344706,0.6344706,Automobile shop,(359.1, 1.3, 3.4)
BNC22,0,-4.1,33,0.9350781,0.9350781,Automobile shop,(358.3, 359.9, 3.3)
BNC22,0,-4.1,34,0.963931,0.963931,Automobile shop,(358.3, 359.7, 3.2)
BNC22,0,-4.1,35,0.9693061,0.9693061,Automobile shop,(358.3, 359.6, 3.2)
BNC22,0,-4.1,36,0.9747958,0.9747958,Automobile shop,(358.3, 359.6, 3.2)
BNC22,0,-4.1,37,0.9817693,0.9817693,Automobile shop,(358.3, 359.6, 3.2)
BNC22,0,-4.1,38,0.9887221,0.9887221,Automobile shop,(358.4, 359.6, 3.2)
BNC22,0,-4.1,39,0.9956819,0.9956819,Automobile shop,(358.4, 359.5, 3.2)
BNC22,0,-4.1,40,1.002633,1.002633,Automobile shop,(358.4, 359.5, 3.2)
BNC22,0,-4.1,41,1.009667,1.009667,Automobile shop,(358.4, 359.5, 3.2)
BNC22,0,-4.1,42,1.016585,1.016585,Automobile shop,(358.5, 359.5, 3.2)
BNC22,0,-4.1,43,1.023456,1.023456,Automobile shop,(358.5, 359.5, 3.2)
BNC22,0,-4.1,44,1.030803,1.030803,Automobile shop,(358.5, 359.5, 3.2)
BNC22,0,-4.1,45,1.037665,1.037665,Automobile shop,(358.5, 359.5, 3.2)
BNC22,0,-4.1,46,1.044353,1.044353,Automobile shop,(358.5, 359.5, 3.2)
BNC22,0,-4.1,47,1.051309,1.051309,Automobile shop,(358.5, 359.5, 3.2)
BNC22,0,-4.1,48,1.058195,1.058195,Automobile shop,(358.5, 359.5, 3.2)
BNC22,0,-4.1,49,1.065318,1.065318,Automobile shop,(358.5, 359.5, 3.2)
BNC22,0,-4.1,50,1.072147,1.072147,Automobile shop,(358.5, 359.5, 3.2)
BNC22,0,-4.1,51,1.079059,1.079059,Automobile shop,(358.6, 359.5, 3.2)
BNC22,0,-4.1,52,1.08645,1.08645,Automobile shop,(358.6, 359.5, 3.2)
BNC22,0,-4.1,53,1.093058,1.093058,Automobile shop,(358.6, 359.4, 3.2)
BNC22,0,-4.1,54,1.099939,1.099939,Automobile shop,(358.6, 359.4, 3.2)
BNC22,0,-4.1,55,1.106964,1.106964,Automobile shop,(358.7, 359.4, 3.2)
BNC22,0,-4.1,56,1.113845,1.113845,Automobile shop,(358.7, 359.4, 3.2)
BNC22,0,-4.1,57,1.120762,1.120762,Automobile shop,(358.7, 359.4, 3.2)
BNC22,0,-4.1,58,1.127676,1.127676,Automobile shop,(358.7, 359.4, 3.2)
BNC22,0,-4.1,59,1.134627,1.134627,Automobile shop,(358.7, 359.4, 3.2)
BNC22,0,-4.1,60,1.141479,1.141479,Automobile shop,(358.7, 359.4, 3.2)
BNC22,0,-4.1,61,1.148531,1.148531,Automobile shop,(358.6, 359.4, 3.2)
BNC22,0,-4.1,62,1.155609,1.155609,Automobile shop,(358.6, 359.4, 3.2)
BNC22,0,-4.1,63,1.162395,1.162395,Automobile shop,(358.6, 359.4, 3.2)
BNC22,0,-4.1,64,1.169341,1.169341,Automobile shop,(358.5, 359.4, 3.2)
BNC22,0,-4.1,65,1.176282,1.176282,Automobile shop,(358.5, 359.4, 3.2)
BNC22,0,-4.1,66,1.183163,1.183163,Automobile shop,(358.5, 359.4, 3.2)
BNC22,0,-4.1,67,1.190203,1.190203,Automobile shop,(358.5, 359.4, 3.2)
BNC22,0,-4.1,68,1.197283,1.197283,Automobile shop,(358.5, 359.4, 3.2)
BNC22,0,-4.1,69,1.204244,1.204244,Automobile shop,(358.5, 359.4, 3.2)
BNC22,0,-4.1,70,1.210981,1.210981,Automobile shop,(358.5, 359.4, 3.2)
BNC22,0,-4.1,71,1.217964,1.217964,Automobile shop,(358.5, 359.5, 3.2)
BNC22,0,-4.1,72,1.224851,1.224851,Automobile shop,(358.5, 359.5, 3.2)
BNC22,0,-4.1,73,1.231762,1.231762,Automobile shop,(358.5, 359.5, 3.2)
BNC22,0,-4.1,74,1.238752,1.238752,Automobile shop,(358.5, 359.5, 3.2)
BNC22,0,-4.1,75,1.24563,1.24563,Automobile shop,(358.6, 359.5, 3.2)
BNC22,0,-4.1,76,1.252739,1.252739,Automobile shop,(358.6, 359.6, 3.2)
BNC22,0,-4.1,77,1.259575,1.259575,Automobile shop,(358.6, 359.6, 3.2)
BNC22,0,-4.1,78,1.266554,1.266554,Automobile shop,(358.6, 359.6, 3.2)
BNC22,0,-4.1,79,1.273748,1.273748,Automobile shop,(358.6, 359.6, 3.2)
BNC22,0,-4.1,80,1.282611,1.282611,Automobile shop,(358.5, 359.6, 3.2)
BNC22,0,-4.1,81,1.287747,1.287747,Automobile shop,(358.5, 359.6, 3.2)
BNC22,0,-4.1,82,1.295124,1.295124,Automobile shop,(358.5, 359.6, 3.2)
BNC22,0,-4.1,83,1.302064,1.302064,Automobile shop,(358.5, 359.7, 3.2)
BNC22,0,-4.1,84,1.309112,1.309112,Automobile shop,(358.5, 359.7, 3.2)
BNC22,0,-4.1,85,1.31603,1.31603,Automobile shop,(358.5, 359.7, 3.2)
BNC22,0,-4.1,86,1.32297,1.32297,Automobile shop,(358.5, 359.7, 3.2)
BNC22,0,-4.1,87,1.330047,1.330047,Automobile shop,(358.5, 359.7, 3.2)
BNC22,0,-4.1,88,1.336859,1.336859,Automobile shop,(358.5, 359.7, 3.3)
BNC22,0,-4.1,89,1.343775,1.343775,Automobile shop,(358.5, 359.7, 3.3)
BNC22,0,-4.1,90,1.350841,1.350841,Automobile shop,(358.4, 359.8, 3.3)
BNC22,0,-4.1,91,1.357859,1.357859,Automobile shop,(358.4, 359.8, 3.3)
BNC22,0,-4.1,92,1.364631,1.364631,Automobile shop,(358.4, 359.8, 3.3)
BNC22,0,-4.1,93,1.371619,1.371619,Automobile shop,(358.4, 359.8, 3.3)
BNC22,0,-4.1,94,1.378815,1.378815,Automobile shop,(358.4, 359.8, 3.3)
