ParticipantID,X,Z,Frame,Total Time,Lapsed Time,Target Name,X Euler Angle,Y Euler Angle,Z Euler Angle
BNC26_B1,0,-4.1,0,0.02,0.02,Automobile shop,(0.0, 0.0, 0.0)
BNC26_B1,0,-4.1,1,0.04,0.04,Automobile shop,(0.0, 0.0, 0.0)
BNC26_B1,0,-4.1,2,0.06,0.06,Automobile shop,(0.0, 0.0, 0.0)
BNC26_B1,0,-4.1,3,0.3933333,0.3933333,Automobile shop,(357.7, 313.2, 2.1)
BNC26_B1,0,-4.1,4,0.4463319,0.4463319,Automobile shop,(352.3, 300.8, 3.9)
BNC26_B1,0,-4.1,5,0.4562609,0.4562609,Automobile shop,(352.3, 300.9, 3.8)
BNC26_B1,0,-4.1,6,0.4614201,0.4614201,Automobile shop,(352.3, 300.9, 3.8)
BNC26_B1,0,-4.1,7,0.4683666,0.4683666,Automobile shop,(352.4, 301.0, 3.8)
BNC26_B1,0,-4.1,8,0.4754659,0.4754659,Automobile shop,(352.4, 301.0, 3.8)
BNC26_B1,0,-4.1,9,0.4819896,0.4819896,Automobile shop,(352.5, 301.1, 3.7)
BNC26_B1,0,-4.1,10,0.488908,0.488908,Automobile shop,(352.5, 301.1, 3.7)
BNC26_B1,0,-4.1,11,0.4957783,0.4957783,Automobile shop,(352.6, 301.2, 3.7)
BNC26_B1,0,-4.1,12,0.5026414,0.5026414,Automobile shop,(352.7, 301.3, 3.6)
BNC26_B1,0,-4.1,13,0.5097622,0.5097622,Automobile shop,(352.8, 301.5, 3.6)
BNC26_B1,0,-4.1,14,0.5165666,0.5165666,Automobile shop,(352.8, 301.6, 3.5)
BNC26_B1,0,-4.1,15,0.5236856,0.5236856,Automobile shop,(352.9, 301.8, 3.5)
BNC26_B1,0,-4.1,16,0.5307764,0.5307764,Automobile shop,(352.9, 302.0, 3.4)
BNC26_B1,0,-4.1,17,0.5376324,0.5376324,Automobile shop,(353.0, 302.2, 3.3)
BNC26_B1,0,-4.1,18,0.5448788,0.5448788,Automobile shop,(353.0, 302.4, 3.3)
BNC26_B1,0,-4.1,19,0.551383,0.551383,Automobile shop,(353.0, 302.7, 3.2)
BNC26_B1,0,-4.1,20,0.5583498,0.5583498,Automobile shop,(353.1, 302.9, 3.1)
BNC26_B1,0,-4.1,21,0.5655084,0.5655084,Automobile shop,(353.1, 303.2, 3.1)
BNC26_B1,0,-4.1,22,0.5723368,0.5723368,Automobile shop,(353.2, 303.5, 3.0)
BNC26_B1,0,-4.1,23,0.5795757,0.5795757,Automobile shop,(353.2, 303.8, 2.9)
BNC26_B1,0,-4.1,24,0.5862063,0.5862063,Automobile shop,(353.3, 304.1, 2.9)
BNC26_B1,0,-4.1,25,0.5931596,0.5931596,Automobile shop,(353.3, 304.5, 2.8)
BNC26_B1,0,-4.1,26,0.600286,0.600286,Automobile shop,(353.4, 304.8, 2.7)
BNC26_B1,0,-4.1,27,0.6073722,0.6073722,Automobile shop,(353.5, 305.2, 2.7)
BNC26_B1,0,-4.1,28,0.6141427,0.6141427,Automobile shop,(353.6, 305.6, 2.6)
BNC26_B1,0,-4.1,29,0.6209129,0.6209129,Automobile shop,(353.7, 306.0, 2.5)
BNC26_B1,0,-4.1,30,0.6278113,0.6278113,Automobile shop,(353.7, 306.5, 2.4)
BNC26_B1,0,-4.1,31,0.6347866,0.6347866,Automobile shop,(353.8, 306.9, 2.3)
BNC26_B1,0,-4.1,32,0.6416477,0.6416477,Automobile shop,(353.9, 307.4, 2.2)
BNC26_B1,0,-4.1,33,0.9555056,0.9555056,Automobile shop,(0.9, 346.4, 0.0)
BNC26_B1,0,-4.1,34,0.9849848,0.9849848,Automobile shop,(1.2, 350.7, 0.3)
BNC26_B1,0,-4.1,35,0.9898915,0.9898915,Automobile shop,(1.2, 351.6, 0.4)
BNC26_B1,0,-4.1,36,0.9960344,0.9960344,Automobile shop,(1.2, 352.4, 0.4)
BNC26_B1,0,-4.1,37,1.003122,1.003122,Automobile shop,(1.3, 353.3, 0.4)
BNC26_B1,0,-4.1,38,1.010084,1.010084,Automobile shop,(1.3, 354.1, 0.5)
BNC26_B1,0,-4.1,39,1.016922,1.016922,Automobile shop,(1.4, 354.9, 0.5)
BNC26_B1,0,-4.1,40,1.023777,1.023777,Automobile shop,(1.4, 355.7, 0.6)
BNC26_B1,0,-4.1,41,1.030734,1.030734,Automobile shop,(1.4, 356.4, 0.6)
BNC26_B1,0,-4.1,42,1.03763,1.03763,Automobile shop,(1.4, 357.1, 0.7)
BNC26_B1,0,-4.1,43,1.044643,1.044643,Automobile shop,(1.5, 357.7, 0.7)
BNC26_B1,0,-4.1,44,1.051623,1.051623,Automobile shop,(1.5, 358.4, 0.8)
BNC26_B1,0,-4.1,45,1.05873,1.05873,Automobile shop,(1.5, 358.9, 0.8)
BNC26_B1,0,-4.1,46,1.065625,1.065625,Automobile shop,(1.6, 359.4, 0.9)
BNC26_B1,0,-4.1,47,1.072757,1.072757,Automobile shop,(1.6, 359.9, 0.9)
BNC26_B1,0,-4.1,48,1.079391,1.079391,Automobile shop,(1.7, 0.3, 0.9)
BNC26_B1,0,-4.1,49,1.086322,1.086322,Automobile shop,(1.8, 0.8, 0.9)
BNC26_B1,0,-4.1,50,1.093228,1.093228,Automobile shop,(1.9, 1.2, 0.9)
BNC26_B1,0,-4.1,51,1.100292,1.100292,Automobile shop,(2.0, 1.6, 0.9)
BNC26_B1,0,-4.1,52,1.107522,1.107522,Automobile shop,(2.0, 1.9, 0.9)
BNC26_B1,0,-4.1,53,1.114146,1.114146,Automobile shop,(2.1, 2.2, 0.9)
BNC26_B1,0,-4.1,54,1.121054,1.121054,Automobile shop,(2.2, 2.5, 0.9)
BNC26_B1,0,-4.1,55,1.12799,1.12799,Automobile shop,(2.2, 2.7, 0.9)
BNC26_B1,0,-4.1,56,1.135034,1.135034,Automobile shop,(2.3, 2.9, 0.8)
BNC26_B1,0,-4.1,57,1.14186,1.14186,Automobile shop,(2.3, 3.0, 0.8)
BNC26_B1,0,-4.1,58,1.148828,1.148828,Automobile shop,(2.3, 3.2, 0.8)
BNC26_B1,0,-4.1,59,1.156193,1.156193,Automobile shop,(2.3, 3.2, 0.8)
BNC26_B1,0,-4.1,60,1.163022,1.163022,Automobile shop,(2.4, 3.3, 0.7)
BNC26_B1,0,-4.1,61,1.169642,1.169642,Automobile shop,(2.4, 3.4, 0.7)
BNC26_B1,0,-4.1,62,1.176592,1.176592,Automobile shop,(2.3, 3.4, 0.7)
BNC26_B1,0,-4.1,63,1.183633,1.183633,Automobile shop,(2.3, 3.4, 0.6)
BNC26_B1,0,-4.1,64,1.190664,1.190664,Automobile shop,(2.3, 3.4, 0.6)
BNC26_B1,0,-4.1,65,1.197839,1.197839,Automobile shop,(2.3, 3.4, 0.6)
BNC26_B1,0,-4.1,66,1.204652,1.204652,Automobile shop,(2.4, 3.4, 0.6)
BNC26_B1,0,-4.1,67,1.211804,1.211804,Automobile shop,(2.4, 3.4, 0.6)
BNC26_B1,0,-4.1,68,1.218623,1.218623,Automobile shop,(2.4, 3.3, 0.6)
BNC26_B1,0,-4.1,69,1.225911,1.225911,Automobile shop,(2.4, 3.2, 0.5)
BNC26_B1,0,-4.1,70,1.232858,1.232858,Automobile shop,(2.5, 3.2, 0.5)
BNC26_B1,0,-4.1,71,1.239843,1.239843,Automobile shop,(2.6, 3.2, 0.5)
BNC26_B1,0,-4.1,72,1.246878,1.246878,Automobile shop,(2.6, 3.1, 0.5)
BNC26_B1,0,-4.1,73,1.253919,1.253919,Automobile shop,(2.7, 3.1, 0.5)
BNC26_B1,0,-4.1,74,1.260964,1.260964,Automobile shop,(2.8, 3.0, 0.5)
BNC26_B1,0,-4.1,75,1.267918,1.267918,Automobile shop,(2.9, 2.9, 0.5)
BNC26_B1,0,-4.1,76,1.27466,1.27466,Automobile shop,(3.1, 2.9, 0.5)
BNC26_B1,0,-4.1,77,1.281675,1.281675,Automobile shop,(3.2, 2.8, 0.5)
BNC26_B1,0,-4.1,78,1.288844,1.288844,Automobile shop,(3.3, 2.8, 0.5)
BNC26_B1,0,-4.1,79,1.295766,1.295766,Automobile shop,(3.4, 2.7, 0.5)
BNC26_B1,0,-4.1,80,1.302512,1.302512,Automobile shop,(3.6, 2.7, 0.5)
BNC26_B1,0,-4.1,81,1.309428,1.309428,Automobile shop,(3.7, 2.6, 0.5)
BNC26_B1,0,-4.1,82,1.316563,1.316563,Automobile shop,(3.8, 2.6, 0.5)
BNC26_B1,0,-4.1,83,1.323341,1.323341,Automobile shop,(3.9, 2.5, 0.4)
BNC26_B1,0,-4.1,84,1.330781,1.330781,Automobile shop,(4.0, 2.5, 0.4)
BNC26_B1,0,-4.1,85,1.337218,1.337218,Automobile shop,(4.1, 2.4, 0.4)
BNC26_B1,0,-4.1,86,1.344115,1.344115,Automobile shop,(4.2, 2.4, 0.4)
BNC26_B1,0,-4.1,87,1.35111,1.35111,Automobile shop,(4.4, 2.3, 0.4)
BNC26_B1,0,-4.1,88,1.358063,1.358063,Automobile shop,(4.5, 2.3, 0.4)
BNC26_B1,0,-4.1,89,1.365082,1.365082,Automobile shop,(4.6, 2.3, 0.4)
BNC26_B1,0,-4.1,90,1.371964,1.371964,Automobile shop,(4.8, 2.2, 0.4)
BNC26_B1,0,-4.1,91,1.379085,1.379085,Automobile shop,(5.0, 2.2, 0.4)
BNC26_B1,0,-4.1,92,1.388805,1.388805,Automobile shop,(5.1, 2.2, 0.4)
BNC26_B1,0,-4.1,93,1.392745,1.392745,Automobile shop,(5.3, 2.1, 0.4)
BNC26_B1,0,-4.1,94,1.399963,1.399963,Automobile shop,(5.4, 2.1, 0.4)
BNC26_B1,0,-4.1,95,1.406602,1.406602,Automobile shop,(5.5, 2.1, 0.4)
BNC26_B1,0,-4.1,96,1.413637,1.413637,Automobile shop,(5.6, 2.1, 0.3)
BNC26_B1,0,-4.1,97,1.420536,1.420536,Automobile shop,(5.7, 2.1, 0.3)
BNC26_B1,0,-4.1,98,1.427539,1.427539,Automobile shop,(5.7, 2.1, 0.3)
BNC26_B1,0,-4.1,99,1.434436,1.434436,Automobile shop,(5.7, 2.2, 0.3)
BNC26_B1,0,-4.1,100,1.441394,1.441394,Automobile shop,(5.8, 2.2, 0.3)
BNC26_B1,0,-4.1,101,1.448409,1.448409,Automobile shop,(5.7, 2.3, 0.3)
BNC26_B1,0,-4.1,102,1.455389,1.455389,Automobile shop,(5.7, 2.3, 0.3)
BNC26_B1,0,-4.1,103,1.462256,1.462256,Automobile shop,(5.7, 2.4, 0.3)
BNC26_B1,0,-4.1,104,1.469324,1.469324,Automobile shop,(5.7, 2.4, 0.3)
BNC26_B1,0,-4.1,105,1.476021,1.476021,Automobile shop,(5.6, 2.5, 0.3)
BNC26_B1,0,-4.1,106,1.483099,1.483099,Automobile shop,(5.5, 2.6, 0.3)
BNC26_B1,0,-4.1,107,1.489895,1.489895,Automobile shop,(5.3, 2.7, 0.4)
BNC26_B1,0,-4.1,108,1.497158,1.497158,Automobile shop,(5.2, 2.8, 0.4)
BNC26_B1,0,-4.1,109,1.50386,1.50386,Automobile shop,(5.0, 2.9, 0.5)
BNC26_B1,0,-4.1,110,1.510909,1.510909,Automobile shop,(4.8, 3.0, 0.5)
BNC26_B1,0,-4.1,111,1.51779,1.51779,Automobile shop,(4.6, 3.1, 0.6)
BNC26_B1,0,-4.1,112,1.524686,1.524686,Automobile shop,(4.4, 3.3, 0.7)
