ParticipantID,X,Z,Frame,Total Time,Lapsed Time,Target Name,X Euler Angle,Y Euler Angle,Z Euler Angle
BNC42_t2,0,-4.1,0,0.02,0.02,Automobile shop,(0.0, 0.0, 0.0)
BNC42_t2,0,-4.1,1,0.04,0.04,Automobile shop,(0.0, 0.0, 0.0)
BNC42_t2,0,-4.1,2,0.06,0.06,Automobile shop,(0.0, 0.0, 0.0)
BNC42_t2,0,-4.1,3,0.3933333,0.3933333,Automobile shop,(0.9, 358.5, 357.7)
BNC42_t2,0,-4.1,4,0.4423462,0.4423462,Automobile shop,(0.5, 358.3, 358.1)
BNC42_t2,0,-4.1,5,0.4524651,0.4524651,Automobile shop,(0.4, 358.3, 358.1)
BNC42_t2,0,-4.1,6,0.456356,0.456356,Automobile shop,(0.4, 358.3, 358.1)
BNC42_t2,0,-4.1,7,0.4606873,0.4606873,Automobile shop,(0.4, 358.3, 358.2)
BNC42_t2,0,-4.1,8,0.4680752,0.4680752,Automobile shop,(0.4, 358.3, 358.2)
BNC42_t2,0,-4.1,9,0.4746369,0.4746369,Automobile shop,(0.4, 358.3, 358.2)
BNC42_t2,0,-4.1,10,0.4814232,0.4814232,Automobile shop,(0.4, 358.2, 358.1)
BNC42_t2,0,-4.1,11,0.4883613,0.4883613,Automobile shop,(0.4, 358.2, 358.1)
BNC42_t2,0,-4.1,12,0.4952461,0.4952461,Automobile shop,(0.4, 358.2, 358.1)
BNC42_t2,0,-4.1,13,0.5020829,0.5020829,Automobile shop,(0.4, 358.2, 358.1)
BNC42_t2,0,-4.1,14,0.5092083,0.5092083,Automobile shop,(0.4, 358.2, 358.1)
BNC42_t2,0,-4.1,15,0.5160356,0.5160356,Automobile shop,(0.4, 358.2, 358.1)
BNC42_t2,0,-4.1,16,0.5229335,0.5229335,Automobile shop,(0.5, 358.2, 358.1)
BNC42_t2,0,-4.1,17,0.5302845,0.5302845,Automobile shop,(0.5, 358.2, 358.1)
BNC42_t2,0,-4.1,18,0.5369377,0.5369377,Automobile shop,(0.5, 358.2, 358.1)
BNC42_t2,0,-4.1,19,0.5442864,0.5442864,Automobile shop,(0.5, 358.2, 358.2)
BNC42_t2,0,-4.1,20,0.5509666,0.5509666,Automobile shop,(0.5, 358.2, 358.2)
BNC42_t2,0,-4.1,21,0.557945,0.557945,Automobile shop,(0.5, 358.2, 358.2)
BNC42_t2,0,-4.1,22,0.5650205,0.5650205,Automobile shop,(0.5, 358.2, 358.2)
BNC42_t2,0,-4.1,23,0.5719729,0.5719729,Automobile shop,(0.5, 358.2, 358.2)
BNC42_t2,0,-4.1,24,0.5787914,0.5787914,Automobile shop,(0.5, 358.2, 358.2)
BNC42_t2,0,-4.1,25,0.5858397,0.5858397,Automobile shop,(0.5, 358.2, 358.2)
BNC42_t2,0,-4.1,26,0.5926543,0.5926543,Automobile shop,(0.5, 358.2, 358.2)
BNC42_t2,0,-4.1,27,0.5996585,0.5996585,Automobile shop,(0.5, 358.2, 358.2)
BNC42_t2,0,-4.1,28,0.6068468,0.6068468,Automobile shop,(0.5, 358.2, 358.2)
BNC42_t2,0,-4.1,29,0.6135302,0.6135302,Automobile shop,(0.6, 358.2, 358.2)
BNC42_t2,0,-4.1,30,0.6205588,0.6205588,Automobile shop,(0.6, 358.1, 358.2)
BNC42_t2,0,-4.1,31,0.6273898,0.6273898,Automobile shop,(0.6, 358.1, 358.2)
BNC42_t2,0,-4.1,32,0.6342005,0.6342005,Automobile shop,(0.6, 358.1, 358.2)
BNC42_t2,0,-4.1,33,0.6411261,0.6411261,Automobile shop,(0.6, 358.1, 358.2)
BNC42_t2,0,-4.1,34,0.9415629,0.9415629,Automobile shop,(358.9, 357.8, 358.1)
BNC42_t2,0,-4.1,35,0.9700208,0.9700208,Automobile shop,(359.0, 357.8, 358.0)
BNC42_t2,0,-4.1,36,0.9749008,0.9749008,Automobile shop,(359.0, 357.8, 358.0)
BNC42_t2,0,-4.1,37,0.9816914,0.9816914,Automobile shop,(359.0, 357.8, 358.0)
BNC42_t2,0,-4.1,38,0.9885408,0.9885408,Automobile shop,(359.0, 357.8, 358.0)
BNC42_t2,0,-4.1,39,0.9955505,0.9955505,Automobile shop,(359.0, 357.9, 358.0)
BNC42_t2,0,-4.1,40,1.002566,1.002566,Automobile shop,(359.0, 357.9, 358.0)
BNC42_t2,0,-4.1,41,1.009552,1.009552,Automobile shop,(359.0, 357.9, 358.0)
BNC42_t2,0,-4.1,42,1.016338,1.016338,Automobile shop,(359.0, 357.9, 358.0)
BNC42_t2,0,-4.1,43,1.023237,1.023237,Automobile shop,(359.0, 357.9, 358.0)
BNC42_t2,0,-4.1,44,1.030341,1.030341,Automobile shop,(359.1, 357.9, 358.0)
BNC42_t2,0,-4.1,45,1.037122,1.037122,Automobile shop,(359.0, 357.9, 358.0)
BNC42_t2,0,-4.1,46,1.044022,1.044022,Automobile shop,(359.1, 357.9, 358.0)
BNC42_t2,0,-4.1,47,1.05107,1.05107,Automobile shop,(359.1, 358.0, 358.0)
BNC42_t2,0,-4.1,48,1.057925,1.057925,Automobile shop,(359.0, 358.0, 358.0)
BNC42_t2,0,-4.1,49,1.064922,1.064922,Automobile shop,(359.0, 358.0, 357.9)
BNC42_t2,0,-4.1,50,1.07182,1.07182,Automobile shop,(359.0, 358.0, 357.9)
BNC42_t2,0,-4.1,51,1.078897,1.078897,Automobile shop,(359.0, 358.0, 357.9)
BNC42_t2,0,-4.1,52,1.085689,1.085689,Automobile shop,(359.0, 358.0, 357.9)
BNC42_t2,0,-4.1,53,1.092994,1.092994,Automobile shop,(359.0, 358.0, 357.9)
BNC42_t2,0,-4.1,54,1.0998,1.0998,Automobile shop,(359.0, 358.0, 357.9)
BNC42_t2,0,-4.1,55,1.106686,1.106686,Automobile shop,(359.0, 358.0, 357.9)
BNC42_t2,0,-4.1,56,1.113663,1.113663,Automobile shop,(359.0, 358.0, 357.9)
BNC42_t2,0,-4.1,57,1.120473,1.120473,Automobile shop,(359.0, 358.0, 357.8)
BNC42_t2,0,-4.1,58,1.127375,1.127375,Automobile shop,(358.9, 358.0, 357.8)
BNC42_t2,0,-4.1,59,1.134525,1.134525,Automobile shop,(358.9, 358.1, 357.8)
BNC42_t2,0,-4.1,60,1.141181,1.141181,Automobile shop,(358.9, 358.1, 357.8)
BNC42_t2,0,-4.1,61,1.148471,1.148471,Automobile shop,(358.9, 358.1, 357.8)
BNC42_t2,0,-4.1,62,1.15534,1.15534,Automobile shop,(358.9, 358.1, 357.9)
BNC42_t2,0,-4.1,63,1.162369,1.162369,Automobile shop,(358.9, 358.1, 357.9)
BNC42_t2,0,-4.1,64,1.16907,1.16907,Automobile shop,(358.9, 358.1, 357.9)
BNC42_t2,0,-4.1,65,1.176153,1.176153,Automobile shop,(358.8, 358.1, 357.9)
BNC42_t2,0,-4.1,66,1.182953,1.182953,Automobile shop,(358.8, 358.1, 357.9)
BNC42_t2,0,-4.1,67,1.189896,1.189896,Automobile shop,(358.8, 358.2, 357.9)
BNC42_t2,0,-4.1,68,1.197039,1.197039,Automobile shop,(358.8, 358.2, 357.9)
BNC42_t2,0,-4.1,69,1.203909,1.203909,Automobile shop,(358.8, 358.2, 357.9)
