ParticipantID,X,Z,Frame,Total Time,Lapsed Time,Target Name,X Euler Angle,Y Euler Angle,Z Euler Angle
NAV055_t3,0,-4.1,0,0.02,0.02,Automobile shop,(0.0, 0.0, 0.0)
NAV055_t3,0,-4.1,1,0.04,0.04,Automobile shop,(0.0, 0.0, 0.0)
NAV055_t3,0,-4.1,2,0.06,0.06,Automobile shop,(0.0, 0.0, 0.0)
NAV055_t3,0,-4.1,3,0.3933333,0.3933333,Automobile shop,(21.3, 348.0, 9.0)
NAV055_t3,0,-4.1,4,0.4627503,0.4627503,Automobile shop,(351.8, 349.0, 13.2)
NAV055_t3,0,-4.1,5,0.4745336,0.4745336,Automobile shop,(352.1, 348.8, 13.3)
NAV055_t3,0,-4.1,6,0.4793046,0.4793046,Automobile shop,(352.3, 348.6, 13.3)
NAV055_t3,0,-4.1,7,0.4838862,0.4838862,Automobile shop,(352.5, 348.5, 13.3)
NAV055_t3,0,-4.1,8,0.4911422,0.4911422,Automobile shop,(352.7, 348.3, 13.4)
NAV055_t3,0,-4.1,9,0.4976929,0.4976929,Automobile shop,(352.9, 348.2, 13.4)
NAV055_t3,0,-4.1,10,0.5047992,0.5047992,Automobile shop,(353.1, 348.0, 13.4)
NAV055_t3,0,-4.1,11,0.5116857,0.5116857,Automobile shop,(353.4, 347.9, 13.3)
NAV055_t3,0,-4.1,12,0.5191824,0.5191824,Automobile shop,(353.6, 347.8, 13.3)
NAV055_t3,0,-4.1,13,0.5253187,0.5253187,Automobile shop,(353.9, 347.6, 13.3)
NAV055_t3,0,-4.1,14,0.5324876,0.5324876,Automobile shop,(354.2, 347.5, 13.3)
NAV055_t3,0,-4.1,15,0.5393142,0.5393142,Automobile shop,(354.5, 347.4, 13.2)
NAV055_t3,0,-4.1,16,0.5465603,0.5465603,Automobile shop,(354.8, 347.3, 13.2)
NAV055_t3,0,-4.1,17,0.5533,0.5533,Automobile shop,(355.1, 347.2, 13.2)
NAV055_t3,0,-4.1,18,0.5604981,0.5604981,Automobile shop,(355.4, 347.0, 13.2)
NAV055_t3,0,-4.1,19,0.5671533,0.5671533,Automobile shop,(355.6, 346.9, 13.1)
NAV055_t3,0,-4.1,20,0.5741798,0.5741798,Automobile shop,(355.9, 346.7, 13.1)
NAV055_t3,0,-4.1,21,0.5813535,0.5813535,Automobile shop,(356.1, 346.5, 13.0)
NAV055_t3,0,-4.1,22,0.5881348,0.5881348,Automobile shop,(356.2, 346.3, 12.9)
NAV055_t3,0,-4.1,23,0.5953026,0.5953026,Automobile shop,(356.4, 346.2, 12.8)
