ParticipantID,X,Z,Frame,Total Time,Lapsed Time,Target Name,X Euler Angle,Y Euler Angle,Z Euler Angle
YBassil,0,-4.1,0,0.02,0.02,Bank #1 || Task: None,(0.0, 0.0, 0.0)
YBassil,0,-4.1,1,0.04,0.04,Bank #1 || Task: None,(0.0, 0.0, 0.0)
YBassil,0,-4.1,2,0.06,0.06,Bank #1 || Task: None,(0.0, 0.0, 0.0)
YBassil,0,-4.1,3,0.3933333,0.3933333,Bank #1 || Task: None,(0.7, 326.2, 1.7)
YBassil,0,-4.1,4,0.4607937,0.4607937,Bank #1 || Task: None,(0.8, 341.6, 0.2)
YBassil,0,-4.1,5,0.4860178,0.4860178,Bank #1 || Task: None,(0.7, 341.8, 0.2)
YBassil,0,-4.1,6,0.4918084,0.4918084,Bank #1 || Task: None,(0.7, 342.3, 0.2)
YBassil,0,-4.1,7,0.4981957,0.4981957,Bank #1 || Task: None,(0.7, 342.4, 0.1)
YBassil,0,-4.1,8,0.5053506,0.5053506,Bank #1 || Task: None,(0.7, 342.5, 0.1)
YBassil,0,-4.1,9,0.5120756,0.5120756,Bank #1 || Task: None,(0.7, 342.6, 0.1)
YBassil,0,-4.1,10,0.5188479,0.5188479,Bank #1 || Task: None,(0.7, 342.7, 0.1)
YBassil,0,-4.1,11,0.5262006,0.5262006,Bank #1 || Task: None,(0.7, 342.7, 0.1)
YBassil,0,-4.1,12,0.5330376,0.5330376,Bank #1 || Task: None,(0.7, 342.8, 0.0)
YBassil,0,-4.1,13,0.5400869,0.5400869,Bank #1 || Task: None,(0.6, 342.8, 0.0)
YBassil,0,-4.1,14,0.5469602,0.5469602,Bank #1 || Task: None,(0.6, 342.9, 360.0)
YBassil,0,-4.1,15,0.5538965,0.5538965,Bank #1 || Task: None,(0.6, 343.0, 360.0)
YBassil,0,-4.1,16,0.5610539,0.5610539,Bank #1 || Task: None,(0.5, 343.1, 359.9)
YBassil,0,-4.1,17,0.56793,0.56793,Bank #1 || Task: None,(0.5, 343.1, 359.9)
YBassil,0,-4.1,18,0.5747738,0.5747738,Bank #1 || Task: None,(0.4, 343.2, 359.9)
YBassil,0,-4.1,19,0.5819072,0.5819072,Bank #1 || Task: None,(0.4, 343.3, 359.9)
YBassil,0,-4.1,20,0.588936,0.588936,Bank #1 || Task: None,(0.4, 343.4, 359.9)
YBassil,0,-4.1,21,0.595386,0.595386,Bank #1 || Task: None,(0.4, 343.5, 359.9)
YBassil,0,-4.1,22,0.6026939,0.6026939,Bank #1 || Task: None,(0.4, 343.6, 359.9)
YBassil,0,-4.1,23,0.6096981,0.6096981,Bank #1 || Task: None,(0.4, 343.7, 359.8)
YBassil,0,-4.1,24,0.6162947,0.6162947,Bank #1 || Task: None,(0.4, 343.9, 359.8)
YBassil,0,-4.1,25,0.623273,0.623273,Bank #1 || Task: None,(0.3, 344.0, 359.8)
YBassil,0,-4.1,26,0.6301507,0.6301507,Bank #1 || Task: None,(0.3, 344.2, 359.8)
YBassil,0,-4.1,27,0.6370706,0.6370706,Bank #1 || Task: None,(0.3, 344.4, 359.7)
YBassil,0,-4.1,28,0.6442272,0.6442272,Bank #1 || Task: None,(0.2, 344.6, 359.7)
YBassil,0,-4.1,29,0.8118848,0.8118848,Bank #1 || Task: None,(1.8, 354.2, 358.3)
YBassil,0,-4.1,30,0.8349945,0.8349945,Bank #1 || Task: None,(2.8, 355.8, 358.0)
YBassil,0,-4.1,31,0.8397754,0.8397754,Bank #1 || Task: None,(3.1, 356.1, 358.0)
YBassil,0,-4.1,32,0.8456566,0.8456566,Bank #1 || Task: None,(3.4, 356.5, 357.9)
YBassil,0,-4.1,33,0.8526226,0.8526226,Bank #1 || Task: None,(3.7, 356.9, 357.8)
YBassil,0,-4.1,34,0.8595667,0.8595667,Bank #1 || Task: None,(4.0, 357.2, 357.8)
YBassil,0,-4.1,35,0.8666081,0.8666081,Bank #1 || Task: None,(4.3, 357.6, 357.7)
YBassil,0,-4.1,36,0.8734721,0.8734721,Bank #1 || Task: None,(4.7, 357.9, 357.7)
YBassil,0,-4.1,37,0.8803876,0.8803876,Bank #1 || Task: None,(5.0, 358.2, 357.6)
YBassil,0,-4.1,38,0.8872924,0.8872924,Bank #1 || Task: None,(5.4, 358.5, 357.6)
YBassil,0,-4.1,39,0.8942626,0.8942626,Bank #1 || Task: None,(5.8, 358.8, 357.6)
YBassil,0,-4.1,40,0.9012058,0.9012058,Bank #1 || Task: None,(6.1, 359.1, 357.5)
YBassil,0,-4.1,41,0.9081888,0.9081888,Bank #1 || Task: None,(6.5, 359.4, 357.5)
YBassil,0,-4.1,42,0.915046,0.915046,Bank #1 || Task: None,(6.8, 359.7, 357.5)
YBassil,0,-4.1,43,0.922138,0.922138,Bank #1 || Task: None,(7.1, 0.0, 357.4)
YBassil,0,-4.1,44,0.9290124,0.9290124,Bank #1 || Task: None,(7.4, 0.3, 357.4)
YBassil,0,-4.1,45,0.9358993,0.9358993,Bank #1 || Task: None,(7.7, 0.5, 357.4)
YBassil,0,-4.1,46,0.9428687,0.9428687,Bank #1 || Task: None,(8.0, 0.8, 357.3)
YBassil,0,-4.1,47,0.9497428,0.9497428,Bank #1 || Task: None,(8.2, 1.1, 357.3)
YBassil,0,-4.1,48,0.9568442,0.9568442,Bank #1 || Task: None,(8.5, 1.3, 357.3)
YBassil,0,-4.1,49,0.9638677,0.9638677,Bank #1 || Task: None,(8.7, 1.6, 357.2)
YBassil,0,-4.1,50,0.9706313,0.9706313,Bank #1 || Task: None,(9.0, 1.8, 357.2)
YBassil,0,-4.1,51,0.9776185,0.9776185,Bank #1 || Task: None,(9.2, 2.1, 357.2)
YBassil,0,-4.1,52,0.9845377,0.9845377,Bank #1 || Task: None,(9.4, 2.3, 357.1)
YBassil,0,-4.1,53,0.9915117,0.9915117,Bank #1 || Task: None,(9.7, 2.5, 357.1)
YBassil,0,-4.1,54,0.9983899,0.9983899,Bank #1 || Task: None,(9.8, 2.7, 357.1)
YBassil,0,-4.1,55,1.0054,1.0054,Bank #1 || Task: None,(10.0, 3.0, 357.0)
YBassil,0,-4.1,56,1.012441,1.012441,Bank #1 || Task: None,(10.2, 3.2, 357.0)
YBassil,0,-4.1,57,1.019287,1.019287,Bank #1 || Task: None,(10.3, 3.4, 357.0)
YBassil,0,-4.1,58,1.026259,1.026259,Bank #1 || Task: None,(10.5, 3.6, 357.0)
YBassil,0,-4.1,59,1.033162,1.033162,Bank #1 || Task: None,(10.6, 3.8, 357.0)
YBassil,0,-4.1,60,1.040521,1.040521,Bank #1 || Task: None,(10.6, 4.0, 357.0)
YBassil,0,-4.1,61,1.047229,1.047229,Bank #1 || Task: None,(10.7, 4.2, 357.0)
YBassil,0,-4.1,62,1.054302,1.054302,Bank #1 || Task: None,(10.8, 4.3, 357.0)
YBassil,0,-4.1,63,1.060885,1.060885,Bank #1 || Task: None,(10.8, 4.5, 357.1)
YBassil,0,-4.1,64,1.067828,1.067828,Bank #1 || Task: None,(10.8, 4.7, 357.1)
YBassil,0,-4.1,65,1.074826,1.074826,Bank #1 || Task: None,(10.8, 4.9, 357.1)
YBassil,0,-4.1,66,1.081817,1.081817,Bank #1 || Task: None,(10.8, 5.1, 357.1)
YBassil,0,-4.1,67,1.08871,1.08871,Bank #1 || Task: None,(10.8, 5.3, 357.1)
YBassil,0,-4.1,68,1.095615,1.095615,Bank #1 || Task: None,(10.7, 5.4, 357.1)
YBassil,0,-4.1,69,1.102582,1.102582,Bank #1 || Task: None,(10.7, 5.6, 357.1)
YBassil,0,-4.1,70,1.109542,1.109542,Bank #1 || Task: None,(10.6, 5.8, 357.1)
YBassil,0,-4.1,71,1.116673,1.116673,Bank #1 || Task: None,(10.5, 5.9, 357.1)
YBassil,0,-4.1,72,1.123787,1.123787,Bank #1 || Task: None,(10.4, 6.1, 357.2)
YBassil,0,-4.1,73,1.130823,1.130823,Bank #1 || Task: None,(10.3, 6.2, 357.2)
YBassil,0,-4.1,74,1.137884,1.137884,Bank #1 || Task: None,(10.2, 6.4, 357.2)
YBassil,0,-4.1,75,1.144972,1.144972,Bank #1 || Task: None,(10.1, 6.5, 357.3)
YBassil,0,-4.1,76,1.152094,1.152094,Bank #1 || Task: None,(10.0, 6.6, 357.3)
YBassil,0,-4.1,77,1.158983,1.158983,Bank #1 || Task: None,(10.0, 6.8, 357.3)
YBassil,0,-4.1,78,1.165931,1.165931,Bank #1 || Task: None,(9.9, 6.9, 357.4)
YBassil,0,-4.1,79,1.172944,1.172944,Bank #1 || Task: None,(9.8, 7.0, 357.4)
YBassil,0,-4.1,80,1.179847,1.179847,Bank #1 || Task: None,(9.7, 7.1, 357.5)
YBassil,0,-4.1,81,1.186719,1.186719,Bank #1 || Task: None,(9.6, 7.2, 357.5)
YBassil,0,-4.1,82,1.193804,1.193804,Bank #1 || Task: None,(9.4, 7.3, 357.6)
YBassil,0,-4.1,83,1.2007,1.2007,Bank #1 || Task: None,(9.3, 7.4, 357.6)
YBassil,0,-4.1,84,1.207695,1.207695,Bank #1 || Task: None,(9.2, 7.6, 357.7)
YBassil,0,-4.1,85,1.214555,1.214555,Bank #1 || Task: None,(9.0, 7.7, 357.7)
YBassil,0,-4.1,86,1.221574,1.221574,Bank #1 || Task: None,(8.9, 7.8, 357.8)
YBassil,0,-4.1,87,1.228583,1.228583,Bank #1 || Task: None,(8.8, 7.9, 357.8)
YBassil,0,-4.1,88,1.235389,1.235389,Bank #1 || Task: None,(8.7, 8.0, 357.9)
YBassil,0,-4.1,89,1.242407,1.242407,Bank #1 || Task: None,(8.5, 8.1, 357.9)
YBassil,0,-4.1,90,1.249339,1.249339,Bank #1 || Task: None,(8.4, 8.2, 358.0)
YBassil,0,-4.1,91,1.256217,1.256217,Bank #1 || Task: None,(8.3, 8.3, 358.1)
YBassil,0,-4.1,92,1.263218,1.263218,Bank #1 || Task: None,(8.2, 8.4, 358.1)
YBassil,0,-4.1,93,1.270196,1.270196,Bank #1 || Task: None,(8.0, 8.5, 358.2)
YBassil,0,-4.1,94,1.277112,1.277112,Bank #1 || Task: None,(7.9, 8.6, 358.3)
YBassil,0,-4.1,95,1.284048,1.284048,Bank #1 || Task: None,(7.7, 8.7, 358.3)
YBassil,0,-4.1,96,1.291106,1.291106,Bank #1 || Task: None,(7.6, 8.8, 358.4)
YBassil,0,-4.1,97,1.29787,1.29787,Bank #1 || Task: None,(7.5, 8.8, 358.4)
YBassil,0,-4.1,98,1.30486,1.30486,Bank #1 || Task: None,(7.4, 8.9, 358.5)
YBassil,0,-4.1,99,1.311821,1.311821,Bank #1 || Task: None,(7.3, 9.0, 358.5)
YBassil,0,-4.1,100,1.318801,1.318801,Bank #1 || Task: None,(7.2, 9.1, 358.5)
YBassil,0,-4.1,101,1.325655,1.325655,Bank #1 || Task: None,(7.2, 9.1, 358.5)
YBassil,0,-4.1,102,1.33265,1.33265,Bank #1 || Task: None,(7.2, 9.2, 358.4)
YBassil,0,-4.1,103,1.339584,1.339584,Bank #1 || Task: None,(7.1, 9.3, 358.4)
YBassil,0,-4.1,104,1.346516,1.346516,Bank #1 || Task: None,(7.1, 9.3, 358.4)
YBassil,0,-4.1,105,1.353449,1.353449,Bank #1 || Task: None,(7.1, 9.4, 358.3)
YBassil,0,-4.1,106,1.360457,1.360457,Bank #1 || Task: None,(7.1, 9.4, 358.3)
YBassil,0,-4.1,107,1.367286,1.367286,Bank #1 || Task: None,(7.1, 9.5, 358.2)
YBassil,0,-4.1,108,1.374528,1.374528,Bank #1 || Task: None,(7.1, 9.5, 358.2)
YBassil,0,-4.1,109,1.381236,1.381236,Bank #1 || Task: None,(7.1, 9.5, 358.2)
YBassil,0,-4.1,110,1.388151,1.388151,Bank #1 || Task: None,(7.2, 9.6, 358.1)
YBassil,0,-4.1,111,1.395111,1.395111,Bank #1 || Task: None,(7.2, 9.6, 358.1)
YBassil,0,-4.1,112,1.402086,1.402086,Bank #1 || Task: None,(7.3, 9.6, 358.0)
YBassil,0,-4.1,113,1.408984,1.408984,Bank #1 || Task: None,(7.3, 9.6, 357.9)
YBassil,0,-4.1,114,1.415959,1.415959,Bank #1 || Task: None,(7.4, 9.7, 357.9)
YBassil,0,-4.1,115,1.422988,1.422988,Bank #1 || Task: None,(7.4, 9.7, 357.8)
YBassil,0,-4.1,116,1.430019,1.430019,Bank #1 || Task: None,(7.5, 9.7, 357.8)
YBassil,0,-4.1,117,1.43678,1.43678,Bank #1 || Task: None,(7.5, 9.8, 357.7)
YBassil,0,-4.1,118,1.443808,1.443808,Bank #1 || Task: None,(7.5, 9.8, 357.7)
YBassil,0,-4.1,119,1.451051,1.451051,Bank #1 || Task: None,(7.6, 9.8, 357.6)
YBassil,0,-4.1,120,1.457857,1.457857,Bank #1 || Task: None,(7.6, 9.8, 357.6)
YBassil,0,-4.1,121,1.464574,1.464574,Bank #1 || Task: None,(7.6, 9.9, 357.6)
YBassil,0,-4.1,122,1.471511,1.471511,Bank #1 || Task: None,(7.6, 9.9, 357.5)
YBassil,0,-4.1,123,1.478534,1.478534,Bank #1 || Task: None,(7.7, 9.9, 357.5)
YBassil,0,-4.1,124,1.48538,1.48538,Bank #1 || Task: None,(7.7, 9.9, 357.5)
YBassil,0,-4.1,125,1.492432,1.492432,Bank #1 || Task: None,(7.7, 9.9, 357.5)
YBassil,0,-4.1,126,1.499298,1.499298,Bank #1 || Task: None,(7.7, 10.0, 357.6)
YBassil,0,-4.1,127,1.506192,1.506192,Bank #1 || Task: None,(7.8, 10.0, 357.6)
YBassil,0,-4.1,128,1.513168,1.513168,Bank #1 || Task: None,(7.8, 10.0, 357.6)
YBassil,0,-4.1,129,1.520107,1.520107,Bank #1 || Task: None,(7.8, 10.0, 357.6)
YBassil,0,-4.1,130,1.527079,1.527079,Bank #1 || Task: None,(7.9, 10.1, 357.6)
YBassil,0,-4.1,131,1.533992,1.533992,Bank #1 || Task: None,(7.9, 10.1, 357.6)
YBassil,0,-4.1,132,1.541087,1.541087,Bank #1 || Task: None,(7.9, 10.1, 357.6)
YBassil,0,-4.1,133,1.547889,1.547889,Bank #1 || Task: None,(7.9, 10.1, 357.6)
YBassil,0,-4.1,134,1.554905,1.554905,Bank #1 || Task: None,(7.9, 10.2, 357.7)
YBassil,0,-4.1,135,1.561788,1.561788,Bank #1 || Task: None,(7.9, 10.2, 357.7)
YBassil,0,-4.1,136,1.568748,1.568748,Bank #1 || Task: None,(7.9, 10.2, 357.8)
YBassil,0,-4.1,137,1.575737,1.575737,Bank #1 || Task: None,(7.9, 10.2, 357.8)
YBassil,0,-4.1,138,1.582864,1.582864,Bank #1 || Task: None,(7.9, 10.2, 357.9)
YBassil,0,-4.1,139,1.589866,1.589866,Bank #1 || Task: None,(7.9, 10.2, 357.9)
YBassil,0,-4.1,140,1.596591,1.596591,Bank #1 || Task: None,(7.9, 10.3, 357.9)
YBassil,0,-4.1,141,1.603456,1.603456,Bank #1 || Task: None,(7.9, 10.3, 358.0)
YBassil,0,-4.1,142,1.610699,1.610699,Bank #1 || Task: None,(7.9, 10.3, 358.0)
YBassil,0,-4.1,143,1.617381,1.617381,Bank #1 || Task: None,(7.9, 10.3, 358.0)
YBassil,0,-4.1,144,1.624414,1.624414,Bank #1 || Task: None,(7.8, 10.3, 358.0)
YBassil,0,-4.1,145,1.631243,1.631243,Bank #1 || Task: None,(7.8, 10.3, 357.9)
YBassil,0,-4.1,146,1.638203,1.638203,Bank #1 || Task: None,(7.8, 10.3, 357.9)
YBassil,0,-4.1,147,1.645127,1.645127,Bank #1 || Task: None,(7.8, 10.3, 357.9)
YBassil,0,-4.1,148,1.652051,1.652051,Bank #1 || Task: None,(7.7, 10.2, 357.9)
YBassil,0,-4.1,149,1.65909,1.65909,Bank #1 || Task: None,(7.7, 10.2, 357.8)
YBassil,0,-4.1,150,1.665977,1.665977,Bank #1 || Task: None,(7.7, 10.2, 357.8)
YBassil,0,-4.1,151,1.672867,1.672867,Bank #1 || Task: None,(7.6, 10.2, 357.8)
YBassil,0,-4.1,152,1.679785,1.679785,Bank #1 || Task: None,(7.6, 10.2, 357.7)
YBassil,0,-4.1,153,1.686777,1.686777,Bank #1 || Task: None,(7.6, 10.2, 357.6)
YBassil,0,-4.1,154,1.693862,1.693862,Bank #1 || Task: None,(7.6, 10.2, 357.6)
YBassil,0,-4.1,155,1.700668,1.700668,Bank #1 || Task: None,(7.5, 10.2, 357.5)
YBassil,0,-4.1,156,1.707934,1.707934,Bank #1 || Task: None,(7.5, 10.2, 357.4)
YBassil,0,-4.1,157,1.714585,1.714585,Bank #1 || Task: None,(7.5, 10.1, 357.4)
YBassil,0,-4.1,158,1.721625,1.721625,Bank #1 || Task: None,(7.4, 10.1, 357.3)
YBassil,0,-4.1,159,1.728765,1.728765,Bank #1 || Task: None,(7.4, 10.1, 357.2)
YBassil,0,-4.1,160,1.73544,1.73544,Bank #1 || Task: None,(7.3, 10.2, 357.1)
YBassil,0,-4.1,161,1.742502,1.742502,Bank #1 || Task: None,(7.3, 10.2, 357.1)
YBassil,0,-4.1,162,1.749473,1.749473,Bank #1 || Task: None,(7.2, 10.2, 357.0)
YBassil,0,-4.1,163,1.756292,1.756292,Bank #1 || Task: None,(7.2, 10.2, 356.9)
YBassil,0,-4.1,164,1.76344,1.76344,Bank #1 || Task: None,(7.1, 10.2, 356.9)
YBassil,0,-4.1,165,1.770254,1.770254,Bank #1 || Task: None,(7.1, 10.2, 356.8)
YBassil,0,-4.1,166,1.777318,1.777318,Bank #1 || Task: None,(7.1, 10.2, 356.8)
YBassil,0,-4.1,167,1.78407,1.78407,Bank #1 || Task: None,(7.1, 10.2, 356.7)
YBassil,0,-4.1,168,1.791242,1.791242,Bank #1 || Task: None,(7.0, 10.2, 356.7)
YBassil,0,-4.1,169,1.797892,1.797892,Bank #1 || Task: None,(7.0, 10.3, 356.7)
YBassil,0,-4.1,170,1.805031,1.805031,Bank #1 || Task: None,(7.0, 10.3, 356.7)
YBassil,0,-4.1,171,1.812037,1.812037,Bank #1 || Task: None,(6.9, 10.3, 356.6)
YBassil,0,-4.1,172,1.818908,1.818908,Bank #1 || Task: None,(6.9, 10.3, 356.6)
YBassil,0,-4.1,173,1.825832,1.825832,Bank #1 || Task: None,(6.9, 10.3, 356.7)
YBassil,0,-4.1,174,1.83272,1.83272,Bank #1 || Task: None,(6.9, 10.3, 356.7)
YBassil,0,-4.1,175,1.839977,1.839977,Bank #1 || Task: None,(6.9, 10.3, 356.7)
YBassil,0,-4.1,176,1.846606,1.846606,Bank #1 || Task: None,(6.9, 10.3, 356.7)
YBassil,0,-4.1,177,1.853592,1.853592,Bank #1 || Task: None,(6.8, 10.3, 356.7)
YBassil,0,-4.1,178,1.860707,1.860707,Bank #1 || Task: None,(6.8, 10.3, 356.8)
YBassil,0,-4.1,179,1.867353,1.867353,Bank #1 || Task: None,(6.8, 10.3, 356.8)
YBassil,0,-4.1,180,1.87458,1.87458,Bank #1 || Task: None,(6.9, 10.3, 356.8)
YBassil,0,-4.1,181,1.881404,1.881404,Bank #1 || Task: None,(6.9, 10.2, 356.8)
YBassil,0,-4.1,182,1.888418,1.888418,Bank #1 || Task: None,(6.9, 10.2, 356.8)
YBassil,0,-4.1,183,1.895215,1.895215,Bank #1 || Task: None,(6.9, 10.2, 356.8)
YBassil,0,-4.1,184,1.902083,1.902083,Bank #1 || Task: None,(6.9, 10.2, 356.9)
YBassil,0,-4.1,185,1.909078,1.909078,Bank #1 || Task: None,(6.9, 10.2, 356.9)
YBassil,0,-4.1,186,1.916328,1.916328,Bank #1 || Task: None,(6.9, 10.1, 356.9)
YBassil,0,-4.1,187,1.922954,1.922954,Bank #1 || Task: None,(7.0, 10.1, 356.9)
YBassil,0,-4.1,188,1.930112,1.930112,Bank #1 || Task: None,(7.0, 10.1, 357.0)
YBassil,0,-4.1,189,1.936817,1.936817,Bank #1 || Task: None,(7.0, 10.1, 357.0)
YBassil,0,-4.1,190,1.943995,1.943995,Bank #1 || Task: None,(7.0, 10.1, 357.0)
YBassil,0,-4.1,191,1.950783,1.950783,Bank #1 || Task: None,(7.0, 10.0, 357.0)
YBassil,0,-4.1,192,1.957865,1.957865,Bank #1 || Task: None,(7.0, 10.0, 357.0)
YBassil,0,-4.1,193,1.964746,1.964746,Bank #1 || Task: None,(7.1, 10.0, 357.0)
YBassil,0,-4.1,194,1.971752,1.971752,Bank #1 || Task: None,(7.1, 10.0, 357.0)
YBassil,0,-4.1,195,1.978621,1.978621,Bank #1 || Task: None,(7.1, 9.9, 357.0)
YBassil,0,-4.1,196,1.985523,1.985523,Bank #1 || Task: None,(7.1, 9.9, 357.0)
YBassil,0,-4.1,197,1.992445,1.992445,Bank #1 || Task: None,(7.1, 9.9, 357.0)
YBassil,0,-4.1,198,1.999502,1.999502,Bank #1 || Task: None,(7.0, 9.8, 357.0)
YBassil,0,-4.1,199,2.006254,2.006254,Bank #1 || Task: None,(7.0, 9.8, 357.0)
YBassil,0,-4.1,200,2.013483,2.013483,Bank #1 || Task: None,(7.0, 9.8, 357.0)
YBassil,0,-4.1,201,2.020169,2.020169,Bank #1 || Task: None,(7.0, 9.8, 357.1)
YBassil,0,-4.1,202,2.027167,2.027167,Bank #1 || Task: None,(6.9, 9.7, 357.1)
YBassil,0,-4.1,203,2.034306,2.034306,Bank #1 || Task: None,(6.9, 9.7, 357.1)
YBassil,0,-4.1,204,2.04131,2.04131,Bank #1 || Task: None,(6.9, 9.6, 357.1)
YBassil,0,-4.1,205,2.04809,2.04809,Bank #1 || Task: None,(6.9, 9.6, 357.1)
YBassil,0,-4.1,206,2.0549,2.0549,Bank #1 || Task: None,(7.0, 9.6, 357.1)
YBassil,0,-4.1,207,2.061925,2.061925,Bank #1 || Task: None,(7.0, 9.5, 357.1)
YBassil,0,-4.1,208,2.069023,2.069023,Bank #1 || Task: None,(7.0, 9.5, 357.1)
YBassil,0,-4.1,209,2.075843,2.075843,Bank #1 || Task: None,(7.0, 9.5, 357.2)
YBassil,0,-4.1,210,2.082889,2.082889,Bank #1 || Task: None,(7.0, 9.4, 357.2)
YBassil,0,-4.1,211,2.089656,2.089656,Bank #1 || Task: None,(7.0, 9.4, 357.2)
YBassil,0,-4.1,212,2.096626,2.096626,Bank #1 || Task: None,(7.0, 9.3, 357.2)
YBassil,0,-4.1,213,2.103628,2.103628,Bank #1 || Task: None,(7.0, 9.3, 357.2)
YBassil,0,-4.1,214,2.110462,2.110462,Bank #1 || Task: None,(7.0, 9.2, 357.2)
YBassil,0,-4.1,215,2.117491,2.117491,Bank #1 || Task: None,(7.0, 9.2, 357.2)
YBassil,0,-4.1,216,2.124526,2.124526,Bank #1 || Task: None,(7.0, 9.1, 357.2)
