ParticipantID,X,Z,Frame,Total Time,Lapsed Time,Target Name,X Euler Angle,Y Euler Angle,Z Euler Angle
j4748774_t1,0,-4.1,0,0.02,0.02,Bank #1 || Task: None,(0.0, 0.0, 0.0)
j4748774_t1,0,-4.1,1,0.04,0.04,Bank #1 || Task: None,(0.0, 0.0, 0.0)
j4748774_t1,0,-4.1,2,0.06,0.06,Bank #1 || Task: None,(0.0, 0.0, 0.0)
j4748774_t1,0,-4.1,3,0.3933333,0.3933333,Bank #1 || Task: None,(61.6, 261.8, 349.3)
j4748774_t1,0,-4.1,4,0.4275627,0.4275627,Bank #1 || Task: None,(66.3, 260.4, 348.1)
j4748774_t1,0,-4.1,5,0.4322518,0.4322518,Bank #1 || Task: None,(66.5, 260.0, 347.5)
j4748774_t1,0,-4.1,6,0.4370731,0.4370731,Bank #1 || Task: None,(66.5, 259.8, 347.3)
j4748774_t1,0,-4.1,7,0.4440119,0.4440119,Bank #1 || Task: None,(66.6, 259.7, 347.1)
j4748774_t1,0,-4.1,8,0.4516281,0.4516281,Bank #1 || Task: None,(66.6, 259.6, 347.0)
j4748774_t1,0,-4.1,9,0.4580018,0.4580018,Bank #1 || Task: None,(66.5, 259.6, 346.9)
j4748774_t1,0,-4.1,10,0.4648577,0.4648577,Bank #1 || Task: None,(66.5, 259.5, 346.9)
j4748774_t1,0,-4.1,11,0.471816,0.471816,Bank #1 || Task: None,(66.4, 259.6, 346.9)
j4748774_t1,0,-4.1,12,0.4789057,0.4789057,Bank #1 || Task: None,(66.3, 259.6, 347.0)
j4748774_t1,0,-4.1,13,0.4858615,0.4858615,Bank #1 || Task: None,(66.2, 259.8, 347.2)
j4748774_t1,0,-4.1,14,0.4927382,0.4927382,Bank #1 || Task: None,(66.1, 259.9, 347.5)
j4748774_t1,0,-4.1,15,0.4996884,0.4996884,Bank #1 || Task: None,(65.9, 260.1, 347.8)
j4748774_t1,0,-4.1,16,0.5065321,0.5065321,Bank #1 || Task: None,(65.8, 260.4, 348.1)
j4748774_t1,0,-4.1,17,0.5136635,0.5136635,Bank #1 || Task: None,(65.7, 260.6, 348.5)
j4748774_t1,0,-4.1,18,0.520948,0.520948,Bank #1 || Task: None,(65.6, 260.9, 348.9)
j4748774_t1,0,-4.1,19,0.5284042,0.5284042,Bank #1 || Task: None,(65.5, 261.3, 349.4)
j4748774_t1,0,-4.1,20,0.5349141,0.5349141,Bank #1 || Task: None,(65.4, 261.6, 349.8)
j4748774_t1,0,-4.1,21,0.5414319,0.5414319,Bank #1 || Task: None,(65.3, 261.9, 350.3)
j4748774_t1,0,-4.1,22,0.5482734,0.5482734,Bank #1 || Task: None,(65.2, 262.3, 350.8)
j4748774_t1,0,-4.1,23,0.5555464,0.5555464,Bank #1 || Task: None,(65.1, 262.7, 351.2)
j4748774_t1,0,-4.1,24,0.5621136,0.5621136,Bank #1 || Task: None,(64.9, 263.1, 351.8)
j4748774_t1,0,-4.1,25,0.5690432,0.5690432,Bank #1 || Task: None,(64.7, 263.5, 352.3)
j4748774_t1,0,-4.1,26,0.5768574,0.5768574,Bank #1 || Task: None,(64.5, 264.0, 352.9)
