ParticipantID,X,Z,Frame,Total Time,Lapsed Time,Target Name,X Euler Angle,Y Euler Angle,Z Euler Angle
BNC06_Y1,0,-4.1,0,0.02,0.02,Bank #1 || Task: None,(0.0, 0.0, 0.0)
BNC06_Y1,0,-4.1,1,0.04,0.04,Bank #1 || Task: None,(0.0, 0.0, 0.0)
BNC06_Y1,0,-4.1,2,0.06,0.06,Bank #1 || Task: None,(0.0, 0.0, 0.0)
BNC06_Y1,0,-4.1,3,0.3933333,0.3933333,Bank #1 || Task: None,(2.2, 0.9, 1.2)
BNC06_Y1,0,-4.1,4,0.462853,0.462853,Bank #1 || Task: None,(2.1, 1.1, 1.3)
BNC06_Y1,0,-4.1,5,0.490822,0.490822,Bank #1 || Task: None,(2.1, 1.1, 1.3)
BNC06_Y1,0,-4.1,6,0.4972738,0.4972738,Bank #1 || Task: None,(2.2, 1.1, 1.3)
BNC06_Y1,0,-4.1,7,0.5010732,0.5010732,Bank #1 || Task: None,(2.2, 1.1, 1.3)
BNC06_Y1,0,-4.1,8,0.5066239,0.5066239,Bank #1 || Task: None,(2.2, 1.1, 1.3)
BNC06_Y1,0,-4.1,9,0.5132707,0.5132707,Bank #1 || Task: None,(2.2, 1.1, 1.3)
BNC06_Y1,0,-4.1,10,0.5202041,0.5202041,Bank #1 || Task: None,(2.2, 1.1, 1.3)
BNC06_Y1,0,-4.1,11,0.5272242,0.5272242,Bank #1 || Task: None,(2.2, 1.1, 1.3)
BNC06_Y1,0,-4.1,12,0.533969,0.533969,Bank #1 || Task: None,(2.3, 1.1, 1.3)
BNC06_Y1,0,-4.1,13,0.5410811,0.5410811,Bank #1 || Task: None,(2.3, 1.1, 1.3)
BNC06_Y1,0,-4.1,14,0.5479267,0.5479267,Bank #1 || Task: None,(2.3, 1.1, 1.3)
BNC06_Y1,0,-4.1,15,0.5552047,0.5552047,Bank #1 || Task: None,(2.3, 1.1, 1.3)
BNC06_Y1,0,-4.1,16,0.56195,0.56195,Bank #1 || Task: None,(2.3, 1.1, 1.3)
BNC06_Y1,0,-4.1,17,0.568973,0.568973,Bank #1 || Task: None,(2.3, 1.1, 1.3)
