ParticipantID,X,Z,Frame,Total Time,Lapsed Time,Target Name,X Euler Angle,Y Euler Angle,Z Euler Angle
BNC24_Control,0,-4.1,0,0.02,0.02,Bank #1 || Task: None,(0.0, 0.0, 0.0)
BNC24_Control,0,-4.1,1,0.04,0.04,Bank #1 || Task: None,(0.0, 0.0, 0.0)
BNC24_Control,0,-4.1,2,0.06,0.06,Bank #1 || Task: None,(0.0, 0.0, 0.0)
BNC24_Control,0,-4.1,3,0.3933333,0.3933333,Bank #1 || Task: None,(354.0, 6.5, 356.2)
BNC24_Control,0,-4.1,4,0.4667364,0.4667364,Bank #1 || Task: None,(358.6, 7.1, 355.7)
BNC24_Control,0,-4.1,5,0.4998571,0.4998571,Bank #1 || Task: None,(0.1, 7.7, 355.7)
BNC24_Control,0,-4.1,6,0.511893,0.511893,Bank #1 || Task: None,(1.7, 8.5, 355.7)
BNC24_Control,0,-4.1,7,0.5166186,0.5166186,Bank #1 || Task: None,(2.2, 8.7, 355.7)
BNC24_Control,0,-4.1,8,0.5217099,0.5217099,Bank #1 || Task: None,(2.7, 8.8, 355.7)
BNC24_Control,0,-4.1,9,0.5286101,0.5286101,Bank #1 || Task: None,(3.1, 9.0, 355.7)
BNC24_Control,0,-4.1,10,0.5353727,0.5353727,Bank #1 || Task: None,(3.7, 9.2, 355.7)
BNC24_Control,0,-4.1,11,0.5423747,0.5423747,Bank #1 || Task: None,(4.2, 9.4, 355.8)
BNC24_Control,0,-4.1,12,0.5493788,0.5493788,Bank #1 || Task: None,(4.8, 9.6, 355.8)
BNC24_Control,0,-4.1,13,0.5562559,0.5562559,Bank #1 || Task: None,(5.3, 9.7, 355.8)
BNC24_Control,0,-4.1,14,0.563444,0.563444,Bank #1 || Task: None,(5.9, 9.9, 355.9)
BNC24_Control,0,-4.1,15,0.5701528,0.5701528,Bank #1 || Task: None,(6.6, 10.0, 355.9)
BNC24_Control,0,-4.1,16,0.5771633,0.5771633,Bank #1 || Task: None,(7.1, 10.2, 356.0)
BNC24_Control,0,-4.1,17,0.5846713,0.5846713,Bank #1 || Task: None,(7.8, 10.4, 356.0)
BNC24_Control,0,-4.1,18,0.5907956,0.5907956,Bank #1 || Task: None,(8.4, 10.5, 356.1)
BNC24_Control,0,-4.1,19,0.5978494,0.5978494,Bank #1 || Task: None,(8.9, 10.6, 356.1)
BNC24_Control,0,-4.1,20,0.6048375,0.6048375,Bank #1 || Task: None,(9.5, 10.7, 356.2)
BNC24_Control,0,-4.1,21,0.6118107,0.6118107,Bank #1 || Task: None,(10.1, 10.8, 356.2)
BNC24_Control,0,-4.1,22,0.6188452,0.6188452,Bank #1 || Task: None,(10.6, 10.9, 356.3)
BNC24_Control,0,-4.1,23,0.6256787,0.6256787,Bank #1 || Task: None,(11.2, 11.0, 356.4)
BNC24_Control,0,-4.1,24,0.6324666,0.6324666,Bank #1 || Task: None,(11.8, 11.1, 356.5)
BNC24_Control,0,-4.1,25,0.6395077,0.6395077,Bank #1 || Task: None,(12.4, 11.2, 356.6)
BNC24_Control,0,-4.1,26,0.6464784,0.6464784,Bank #1 || Task: None,(13.0, 11.3, 356.6)
BNC24_Control,0,-4.1,27,0.6535379,0.6535379,Bank #1 || Task: None,(13.7, 11.3, 356.7)
BNC24_Control,0,-4.1,28,0.9724048,0.9724048,Bank #1 || Task: None,(25.6, 9.1, 358.3)
BNC24_Control,0,-4.1,29,1.003169,1.003169,Bank #1 || Task: None,(26.1, 8.5, 358.3)
BNC24_Control,0,-4.1,30,1.008464,1.008464,Bank #1 || Task: None,(26.1, 8.4, 358.3)
BNC24_Control,0,-4.1,31,1.014934,1.014934,Bank #1 || Task: None,(26.1, 8.3, 358.3)
BNC24_Control,0,-4.1,32,1.021872,1.021872,Bank #1 || Task: None,(26.2, 8.2, 358.3)
BNC24_Control,0,-4.1,33,1.028631,1.028631,Bank #1 || Task: None,(26.2, 8.2, 358.4)
BNC24_Control,0,-4.1,34,1.035573,1.035573,Bank #1 || Task: None,(26.2, 8.1, 358.4)
BNC24_Control,0,-4.1,35,1.042672,1.042672,Bank #1 || Task: None,(26.2, 8.0, 358.4)
BNC24_Control,0,-4.1,36,1.049431,1.049431,Bank #1 || Task: None,(26.2, 8.0, 358.4)
BNC24_Control,0,-4.1,37,1.056321,1.056321,Bank #1 || Task: None,(26.3, 7.9, 358.4)
BNC24_Control,0,-4.1,38,1.063282,1.063282,Bank #1 || Task: None,(26.3, 7.8, 358.4)
BNC24_Control,0,-4.1,39,1.070184,1.070184,Bank #1 || Task: None,(26.3, 7.8, 358.4)
BNC24_Control,0,-4.1,40,1.077244,1.077244,Bank #1 || Task: None,(26.3, 7.7, 358.4)
BNC24_Control,0,-4.1,41,1.084067,1.084067,Bank #1 || Task: None,(26.4, 7.7, 358.4)
BNC24_Control,0,-4.1,42,1.091353,1.091353,Bank #1 || Task: None,(26.4, 7.6, 358.4)
BNC24_Control,0,-4.1,43,1.098013,1.098013,Bank #1 || Task: None,(26.4, 7.6, 358.4)
BNC24_Control,0,-4.1,44,1.104937,1.104937,Bank #1 || Task: None,(26.4, 7.5, 358.5)
BNC24_Control,0,-4.1,45,1.111871,1.111871,Bank #1 || Task: None,(26.4, 7.5, 358.5)
BNC24_Control,0,-4.1,46,1.118842,1.118842,Bank #1 || Task: None,(26.5, 7.4, 358.5)
BNC24_Control,0,-4.1,47,1.126188,1.126188,Bank #1 || Task: None,(26.4, 7.4, 358.5)
BNC24_Control,0,-4.1,48,1.133075,1.133075,Bank #1 || Task: None,(26.4, 7.4, 358.6)
BNC24_Control,0,-4.1,49,1.139918,1.139918,Bank #1 || Task: None,(26.4, 7.3, 358.6)
BNC24_Control,0,-4.1,50,1.146778,1.146778,Bank #1 || Task: None,(26.4, 7.3, 358.6)
BNC24_Control,0,-4.1,51,1.15359,1.15359,Bank #1 || Task: None,(26.4, 7.3, 358.7)
BNC24_Control,0,-4.1,52,1.160516,1.160516,Bank #1 || Task: None,(26.4, 7.2, 358.7)
BNC24_Control,0,-4.1,53,1.167425,1.167425,Bank #1 || Task: None,(26.4, 7.2, 358.7)
BNC24_Control,0,-4.1,54,1.1746,1.1746,Bank #1 || Task: None,(26.4, 7.2, 358.7)
BNC24_Control,0,-4.1,55,1.182047,1.182047,Bank #1 || Task: None,(26.3, 7.1, 358.8)
BNC24_Control,0,-4.1,56,1.191272,1.191272,Bank #1 || Task: None,(26.3, 7.1, 358.8)
BNC24_Control,0,-4.1,57,1.196462,1.196462,Bank #1 || Task: None,(26.3, 7.1, 358.8)
BNC24_Control,0,-4.1,58,1.202164,1.202164,Bank #1 || Task: None,(26.3, 7.0, 358.8)
