ParticipantID,X,Z,Frame,Total Time,Lapsed Time,Target Name,X Euler Angle,Y Euler Angle,Z Euler Angle
BNC31,0,-4.1,0,0.02,0.02,Bank #1 || Task: None,(0.0, 0.0, 0.0)
BNC31,0,-4.1,1,0.04,0.04,Bank #1 || Task: None,(0.0, 0.0, 0.0)
BNC31,0,-4.1,2,0.06,0.06,Bank #1 || Task: None,(0.0, 0.0, 0.0)
BNC31,0,-4.1,3,0.3933333,0.3933333,Bank #1 || Task: None,(2.8, 3.5, 358.0)
BNC31,0,-4.1,4,0.4774972,0.4774972,Bank #1 || Task: None,(2.6, 4.2, 357.7)
BNC31,0,-4.1,5,0.4938715,0.4938715,Bank #1 || Task: None,(2.6, 4.2, 357.7)
BNC31,0,-4.1,6,0.4988939,0.4988939,Bank #1 || Task: None,(2.6, 4.2, 357.7)
BNC31,0,-4.1,7,0.502573,0.502573,Bank #1 || Task: None,(2.6, 4.2, 357.7)
BNC31,0,-4.1,8,0.5096809,0.5096809,Bank #1 || Task: None,(2.7, 4.2, 357.7)
BNC31,0,-4.1,9,0.5160522,0.5160522,Bank #1 || Task: None,(2.7, 4.2, 357.7)
BNC31,0,-4.1,10,0.5230569,0.5230569,Bank #1 || Task: None,(2.7, 4.1, 357.7)
BNC31,0,-4.1,11,0.5303159,0.5303159,Bank #1 || Task: None,(2.7, 4.1, 357.7)
BNC31,0,-4.1,12,0.5368978,0.5368978,Bank #1 || Task: None,(2.7, 4.1, 357.7)
BNC31,0,-4.1,13,0.5440946,0.5440946,Bank #1 || Task: None,(2.7, 4.1, 357.7)
BNC31,0,-4.1,14,0.5510961,0.5510961,Bank #1 || Task: None,(2.7, 4.1, 357.7)
BNC31,0,-4.1,15,0.5578948,0.5578948,Bank #1 || Task: None,(2.7, 4.1, 357.7)
BNC31,0,-4.1,16,0.5648613,0.5648613,Bank #1 || Task: None,(2.8, 4.1, 357.7)
BNC31,0,-4.1,17,0.5719171,0.5719171,Bank #1 || Task: None,(2.8, 4.1, 357.7)
BNC31,0,-4.1,18,0.5789538,0.5789538,Bank #1 || Task: None,(2.8, 4.1, 357.7)
BNC31,0,-4.1,19,0.5863713,0.5863713,Bank #1 || Task: None,(2.8, 4.1, 357.7)
BNC31,0,-4.1,20,0.592761,0.592761,Bank #1 || Task: None,(2.8, 4.1, 357.7)
