ParticipantID,X,Z,Frame,Total Time,Lapsed Time,Target Name,X Euler Angle,Y Euler Angle,Z Euler Angle
YBassilYBtest10.18.22,0,-4.1,0,0.02,0.02,Bank #1 || Task: None,(0.0, 0.0, 0.0)
YBassilYBtest10.18.22,0,-4.1,1,0.04,0.04,Bank #1 || Task: None,(0.0, 0.0, 0.0)
YBassilYBtest10.18.22,0,-4.1,2,0.06,0.06,Bank #1 || Task: None,(0.0, 0.0, 0.0)
YBassilYBtest10.18.22,0,-4.1,3,0.3933333,0.3933333,Bank #1 || Task: None,(359.9, 346.2, 3.7)
YBassilYBtest10.18.22,0,-4.1,4,0.4665259,0.4665259,Bank #1 || Task: None,(358.7, 347.8, 3.9)
YBassilYBtest10.18.22,0,-4.1,5,0.4976836,0.4976836,Bank #1 || Task: None,(358.7, 347.6, 4.0)
YBassilYBtest10.18.22,0,-4.1,6,0.5033479,0.5033479,Bank #1 || Task: None,(358.7, 347.4, 4.0)
YBassilYBtest10.18.22,0,-4.1,7,0.5071981,0.5071981,Bank #1 || Task: None,(358.7, 347.3, 4.1)
YBassilYBtest10.18.22,0,-4.1,8,0.512179,0.512179,Bank #1 || Task: None,(358.8, 347.2, 4.1)
YBassilYBtest10.18.22,0,-4.1,9,0.5189118,0.5189118,Bank #1 || Task: None,(358.8, 347.1, 4.2)
YBassilYBtest10.18.22,0,-4.1,10,0.5262172,0.5262172,Bank #1 || Task: None,(358.9, 347.0, 4.2)
YBassilYBtest10.18.22,0,-4.1,11,0.533668,0.533668,Bank #1 || Task: None,(358.9, 347.0, 4.2)
YBassilYBtest10.18.22,0,-4.1,12,0.5404674,0.5404674,Bank #1 || Task: None,(359.0, 346.9, 4.3)
YBassilYBtest10.18.22,0,-4.1,13,0.546786,0.546786,Bank #1 || Task: None,(359.0, 346.8, 4.3)
YBassilYBtest10.18.22,0,-4.1,14,0.5536028,0.5536028,Bank #1 || Task: None,(359.0, 346.7, 4.3)
YBassilYBtest10.18.22,0,-4.1,15,0.5606387,0.5606387,Bank #1 || Task: None,(359.1, 346.6, 4.4)
YBassilYBtest10.18.22,0,-4.1,16,0.5676126,0.5676126,Bank #1 || Task: None,(359.1, 346.5, 4.4)
YBassilYBtest10.18.22,0,-4.1,17,0.5747547,0.5747547,Bank #1 || Task: None,(359.2, 346.5, 4.4)
YBassilYBtest10.18.22,0,-4.1,18,0.582217,0.582217,Bank #1 || Task: None,(359.2, 346.4, 4.5)
YBassilYBtest10.18.22,0,-4.1,19,0.5887571,0.5887571,Bank #1 || Task: None,(359.2, 346.3, 4.5)
YBassilYBtest10.18.22,0,-4.1,20,0.5954515,0.5954515,Bank #1 || Task: None,(359.3, 346.2, 4.6)
YBassilYBtest10.18.22,0,-4.1,21,0.6021533,0.6021533,Bank #1 || Task: None,(359.3, 346.1, 4.6)
YBassilYBtest10.18.22,0,-4.1,22,0.6092977,0.6092977,Bank #1 || Task: None,(359.3, 346.0, 4.7)
YBassilYBtest10.18.22,0,-4.1,23,0.6162692,0.6162692,Bank #1 || Task: None,(359.4, 345.9, 4.7)
YBassilYBtest10.18.22,0,-4.1,24,0.6229967,0.6229967,Bank #1 || Task: None,(359.4, 345.8, 4.8)
YBassilYBtest10.18.22,0,-4.1,25,0.6299723,0.6299723,Bank #1 || Task: None,(359.4, 345.7, 4.8)
YBassilYBtest10.18.22,0,-4.1,26,0.6368915,0.6368915,Bank #1 || Task: None,(359.4, 345.6, 4.8)
YBassilYBtest10.18.22,0,-4.1,27,0.6438109,0.6438109,Bank #1 || Task: None,(359.4, 345.5, 4.9)
YBassilYBtest10.18.22,0,-4.1,28,0.65102,0.65102,Bank #1 || Task: None,(359.4, 345.4, 4.9)
YBassilYBtest10.18.22,0,-4.1,29,0.9483787,0.9483787,Bank #1 || Task: None,(359.2, 349.7, 2.4)
YBassilYBtest10.18.22,0,-4.1,30,0.9788922,0.9788922,Bank #1 || Task: None,(359.6, 351.6, 2.1)
YBassilYBtest10.18.22,0,-4.1,31,0.9844534,0.9844534,Bank #1 || Task: None,(359.7, 352.0, 2.0)
YBassilYBtest10.18.22,0,-4.1,32,0.9905993,0.9905993,Bank #1 || Task: None,(359.7, 352.5, 2.0)
YBassilYBtest10.18.22,0,-4.1,33,0.9940238,0.9940238,Bank #1 || Task: None,(359.8, 353.0, 2.0)
YBassilYBtest10.18.22,0,-4.1,34,0.9982468,0.9982468,Bank #1 || Task: None,(359.8, 353.5, 1.9)
YBassilYBtest10.18.22,0,-4.1,35,1.005325,1.005325,Bank #1 || Task: None,(359.8, 354.0, 1.9)
YBassilYBtest10.18.22,0,-4.1,36,1.012254,1.012254,Bank #1 || Task: None,(359.8, 354.5, 1.8)
