ParticipantID,X,Z,Frame,Total Time,Lapsed Time,Target Name,X Euler Angle,Y Euler Angle,Z Euler Angle
YBassil,0,-4.1,0,0.02,0.02,Bank #1 || Task: None,(0.0, 0.0, 0.0)
YBassil,0,-4.1,1,0.04,0.04,Bank #1 || Task: None,(0.0, 0.0, 0.0)
YBassil,0,-4.1,2,0.06,0.06,Bank #1 || Task: None,(0.0, 0.0, 0.0)
YBassil,0,-4.1,3,0.3933333,0.3933333,Bank #1 || Task: None,(2.6, 5.1, 358.7)
YBassil,0,-4.1,4,0.5111758,0.5111758,Bank #1 || Task: None,(2.2, 4.2, 359.5)
YBassil,0,-4.1,5,0.5441071,0.5441071,Bank #1 || Task: None,(2.4, 4.2, 359.5)
YBassil,0,-4.1,6,0.5522503,0.5522503,Bank #1 || Task: None,(2.6, 4.3, 359.5)
YBassil,0,-4.1,7,0.5567676,0.5567676,Bank #1 || Task: None,(2.6, 4.3, 359.4)
YBassil,0,-4.1,8,0.5628851,0.5628851,Bank #1 || Task: None,(2.7, 4.3, 359.4)
YBassil,0,-4.1,9,0.569637,0.569637,Bank #1 || Task: None,(2.7, 4.3, 359.4)
YBassil,0,-4.1,10,0.5765666,0.5765666,Bank #1 || Task: None,(2.7, 4.3, 359.4)
YBassil,0,-4.1,11,0.5842139,0.5842139,Bank #1 || Task: None,(2.7, 4.3, 359.4)
YBassil,0,-4.1,12,0.5905945,0.5905945,Bank #1 || Task: None,(2.7, 4.3, 359.4)
YBassil,0,-4.1,13,0.5976174,0.5976174,Bank #1 || Task: None,(2.7, 4.3, 359.4)
YBassil,0,-4.1,14,0.6046092,0.6046092,Bank #1 || Task: None,(2.7, 4.3, 359.4)
YBassil,0,-4.1,15,0.6113963,0.6113963,Bank #1 || Task: None,(2.7, 4.3, 359.4)
YBassil,0,-4.1,16,0.6188695,0.6188695,Bank #1 || Task: None,(2.7, 4.3, 359.4)
YBassil,0,-4.1,17,0.62518,0.62518,Bank #1 || Task: None,(2.7, 4.3, 359.4)
YBassil,0,-4.1,18,0.6323807,0.6323807,Bank #1 || Task: None,(2.7, 4.3, 359.4)
YBassil,0,-4.1,19,0.6391511,0.6391511,Bank #1 || Task: None,(2.7, 4.4, 359.4)
YBassil,0,-4.1,20,0.6461207,0.6461207,Bank #1 || Task: None,(2.7, 4.4, 359.4)
YBassil,0,-4.1,21,0.653181,0.653181,Bank #1 || Task: None,(2.7, 4.4, 359.4)
YBassil,0,-4.1,22,0.6599467,0.6599467,Bank #1 || Task: None,(2.7, 4.4, 359.4)
YBassil,0,-4.1,23,0.6667323,0.6667323,Bank #1 || Task: None,(2.7, 4.4, 359.4)
YBassil,0,-4.1,24,0.6737115,0.6737115,Bank #1 || Task: None,(2.7, 4.4, 359.4)
YBassil,0,-4.1,25,0.6807072,0.6807072,Bank #1 || Task: None,(2.7, 4.4, 359.4)
YBassil,0,-4.1,26,0.6875433,0.6875433,Bank #1 || Task: None,(2.7, 4.4, 359.4)
YBassil,0,-4.1,27,0.9760844,0.9760844,Bank #1 || Task: None,(3.4, 4.2, 359.4)
YBassil,0,-4.1,28,1.006352,1.006352,Bank #1 || Task: None,(3.5, 4.1, 359.3)
YBassil,0,-4.1,29,1.012113,1.012113,Bank #1 || Task: None,(3.5, 4.1, 359.3)
YBassil,0,-4.1,30,1.015712,1.015712,Bank #1 || Task: None,(3.6, 4.0, 359.3)
YBassil,0,-4.1,31,1.021179,1.021179,Bank #1 || Task: None,(3.6, 4.0, 359.3)
YBassil,0,-4.1,32,1.028227,1.028227,Bank #1 || Task: None,(3.7, 4.0, 359.3)
YBassil,0,-4.1,33,1.035084,1.035084,Bank #1 || Task: None,(3.7, 3.9, 359.3)
YBassil,0,-4.1,34,1.042054,1.042054,Bank #1 || Task: None,(3.8, 3.9, 359.3)
YBassil,0,-4.1,35,1.049131,1.049131,Bank #1 || Task: None,(3.9, 3.9, 359.3)
YBassil,0,-4.1,36,1.055925,1.055925,Bank #1 || Task: None,(3.9, 3.9, 359.3)
YBassil,0,-4.1,37,1.062843,1.062843,Bank #1 || Task: None,(4.0, 3.8, 359.3)
YBassil,0,-4.1,38,1.069827,1.069827,Bank #1 || Task: None,(4.1, 3.8, 359.3)
YBassil,0,-4.1,39,1.076758,1.076758,Bank #1 || Task: None,(4.1, 3.8, 359.3)
YBassil,0,-4.1,40,1.08414,1.08414,Bank #1 || Task: None,(4.2, 3.8, 359.3)
YBassil,0,-4.1,41,1.09102,1.09102,Bank #1 || Task: None,(4.3, 3.7, 359.3)
YBassil,0,-4.1,42,1.097543,1.097543,Bank #1 || Task: None,(4.3, 3.7, 359.3)
YBassil,0,-4.1,43,1.104476,1.104476,Bank #1 || Task: None,(4.3, 3.7, 359.3)
YBassil,0,-4.1,44,1.111517,1.111517,Bank #1 || Task: None,(4.4, 3.7, 359.3)
YBassil,0,-4.1,45,1.118388,1.118388,Bank #1 || Task: None,(4.4, 3.7, 359.3)
YBassil,0,-4.1,46,1.125469,1.125469,Bank #1 || Task: None,(4.5, 3.6, 359.3)
YBassil,0,-4.1,47,1.132705,1.132705,Bank #1 || Task: None,(4.5, 3.6, 359.3)
YBassil,0,-4.1,48,1.140098,1.140098,Bank #1 || Task: None,(4.6, 3.6, 359.4)
YBassil,0,-4.1,49,1.146933,1.146933,Bank #1 || Task: None,(4.6, 3.6, 359.4)
YBassil,0,-4.1,50,1.153089,1.153089,Bank #1 || Task: None,(4.7, 3.5, 359.4)
YBassil,0,-4.1,51,1.160082,1.160082,Bank #1 || Task: None,(4.7, 3.5, 359.4)
YBassil,0,-4.1,52,1.169671,1.169671,Bank #1 || Task: None,(4.8, 3.5, 359.4)
YBassil,0,-4.1,53,1.173912,1.173912,Bank #1 || Task: None,(4.8, 3.4, 359.4)
YBassil,0,-4.1,54,1.180859,1.180859,Bank #1 || Task: None,(4.8, 3.4, 359.4)
YBassil,0,-4.1,55,1.188572,1.188572,Bank #1 || Task: None,(4.9, 3.4, 359.5)
YBassil,0,-4.1,56,1.19477,1.19477,Bank #1 || Task: None,(4.9, 3.3, 359.5)
YBassil,0,-4.1,57,1.201873,1.201873,Bank #1 || Task: None,(4.9, 3.3, 359.5)
YBassil,0,-4.1,58,1.208836,1.208836,Bank #1 || Task: None,(5.0, 3.3, 359.5)
YBassil,0,-4.1,59,1.215678,1.215678,Bank #1 || Task: None,(5.0, 3.2, 359.5)
YBassil,0,-4.1,60,1.222576,1.222576,Bank #1 || Task: None,(5.0, 3.2, 359.5)
YBassil,0,-4.1,61,1.229543,1.229543,Bank #1 || Task: None,(5.0, 3.2, 359.5)
YBassil,0,-4.1,62,1.236477,1.236477,Bank #1 || Task: None,(5.1, 3.1, 359.5)
YBassil,0,-4.1,63,1.24341,1.24341,Bank #1 || Task: None,(5.1, 3.1, 359.4)
YBassil,0,-4.1,64,1.250317,1.250317,Bank #1 || Task: None,(5.1, 3.0, 359.4)
YBassil,0,-4.1,65,1.257275,1.257275,Bank #1 || Task: None,(5.1, 3.0, 359.4)
YBassil,0,-4.1,66,1.264538,1.264538,Bank #1 || Task: None,(5.1, 3.0, 359.4)
YBassil,0,-4.1,67,1.271397,1.271397,Bank #1 || Task: None,(5.1, 2.9, 359.4)
YBassil,0,-4.1,68,1.278237,1.278237,Bank #1 || Task: None,(5.1, 2.9, 359.4)
YBassil,0,-4.1,69,1.285526,1.285526,Bank #1 || Task: None,(5.1, 2.9, 359.4)
YBassil,0,-4.1,70,1.292327,1.292327,Bank #1 || Task: None,(5.1, 2.8, 359.4)
YBassil,0,-4.1,71,1.299978,1.299978,Bank #1 || Task: None,(5.1, 2.8, 359.4)
YBassil,0,-4.1,72,1.306774,1.306774,Bank #1 || Task: None,(5.1, 2.8, 359.4)
YBassil,0,-4.1,73,1.313643,1.313643,Bank #1 || Task: None,(5.1, 2.8, 359.3)
YBassil,0,-4.1,74,1.320408,1.320408,Bank #1 || Task: None,(5.1, 2.7, 359.3)
YBassil,0,-4.1,75,1.327038,1.327038,Bank #1 || Task: None,(5.1, 2.7, 359.3)
YBassil,0,-4.1,76,1.334208,1.334208,Bank #1 || Task: None,(5.2, 2.7, 359.3)
YBassil,0,-4.1,77,1.340977,1.340977,Bank #1 || Task: None,(5.2, 2.7, 359.3)
YBassil,0,-4.1,78,1.347928,1.347928,Bank #1 || Task: None,(5.2, 2.7, 359.3)
YBassil,0,-4.1,79,1.354784,1.354784,Bank #1 || Task: None,(5.2, 2.7, 359.3)
YBassil,0,-4.1,80,1.361742,1.361742,Bank #1 || Task: None,(5.2, 2.6, 359.3)
YBassil,0,-4.1,81,1.368666,1.368666,Bank #1 || Task: None,(5.2, 2.6, 359.3)
YBassil,0,-4.1,82,1.37565,1.37565,Bank #1 || Task: None,(5.3, 2.6, 359.3)
YBassil,0,-4.1,83,1.382743,1.382743,Bank #1 || Task: None,(5.3, 2.6, 359.2)
YBassil,0,-4.1,84,1.390231,1.390231,Bank #1 || Task: None,(5.3, 2.6, 359.2)
YBassil,0,-4.1,85,1.396901,1.396901,Bank #1 || Task: None,(5.3, 2.5, 359.2)
YBassil,0,-4.1,86,1.403634,1.403634,Bank #1 || Task: None,(5.4, 2.5, 359.2)
YBassil,0,-4.1,87,1.410733,1.410733,Bank #1 || Task: None,(5.4, 2.5, 359.2)
YBassil,0,-4.1,88,1.417899,1.417899,Bank #1 || Task: None,(5.4, 2.5, 359.2)
YBassil,0,-4.1,89,1.424831,1.424831,Bank #1 || Task: None,(5.4, 2.5, 359.2)
YBassil,0,-4.1,90,1.431887,1.431887,Bank #1 || Task: None,(5.4, 2.4, 359.1)
YBassil,0,-4.1,91,1.438855,1.438855,Bank #1 || Task: None,(5.4, 2.4, 359.1)
YBassil,0,-4.1,92,1.445674,1.445674,Bank #1 || Task: None,(5.5, 2.4, 359.2)
YBassil,0,-4.1,93,1.452765,1.452765,Bank #1 || Task: None,(5.5, 2.4, 359.2)
YBassil,0,-4.1,94,1.459478,1.459478,Bank #1 || Task: None,(5.5, 2.4, 359.2)
YBassil,0,-4.1,95,1.4665,1.4665,Bank #1 || Task: None,(5.5, 2.4, 359.2)
YBassil,0,-4.1,96,1.473493,1.473493,Bank #1 || Task: None,(5.6, 2.3, 359.1)
YBassil,0,-4.1,97,1.480362,1.480362,Bank #1 || Task: None,(5.6, 2.3, 359.1)
YBassil,0,-4.1,98,1.487578,1.487578,Bank #1 || Task: None,(5.6, 2.3, 359.1)
YBassil,0,-4.1,99,1.494226,1.494226,Bank #1 || Task: None,(5.6, 2.3, 359.1)
YBassil,0,-4.1,100,1.50116,1.50116,Bank #1 || Task: None,(5.6, 2.3, 359.1)
YBassil,0,-4.1,101,1.508295,1.508295,Bank #1 || Task: None,(5.6, 2.3, 359.1)
YBassil,0,-4.1,102,1.515053,1.515053,Bank #1 || Task: None,(5.6, 2.3, 359.1)
YBassil,0,-4.1,103,1.522213,1.522213,Bank #1 || Task: None,(5.6, 2.3, 359.1)
YBassil,0,-4.1,104,1.529005,1.529005,Bank #1 || Task: None,(5.7, 2.3, 359.1)
YBassil,0,-4.1,105,1.535979,1.535979,Bank #1 || Task: None,(5.7, 2.3, 359.1)
YBassil,0,-4.1,106,1.542893,1.542893,Bank #1 || Task: None,(5.7, 2.3, 359.1)
YBassil,0,-4.1,107,1.549811,1.549811,Bank #1 || Task: None,(5.7, 2.3, 359.1)
YBassil,0,-4.1,108,1.556772,1.556772,Bank #1 || Task: None,(5.7, 2.3, 359.2)
YBassil,0,-4.1,109,1.563728,1.563728,Bank #1 || Task: None,(5.7, 2.3, 359.2)
YBassil,0,-4.1,110,1.570617,1.570617,Bank #1 || Task: None,(5.7, 2.2, 359.2)
YBassil,0,-4.1,111,1.577597,1.577597,Bank #1 || Task: None,(5.7, 2.2, 359.2)
YBassil,0,-4.1,112,1.584557,1.584557,Bank #1 || Task: None,(5.8, 2.2, 359.2)
YBassil,0,-4.1,113,1.592244,1.592244,Bank #1 || Task: None,(5.8, 2.2, 359.2)
YBassil,0,-4.1,114,1.598662,1.598662,Bank #1 || Task: None,(5.8, 2.2, 359.2)
YBassil,0,-4.1,115,1.605723,1.605723,Bank #1 || Task: None,(5.8, 2.1, 359.2)
YBassil,0,-4.1,116,1.61268,1.61268,Bank #1 || Task: None,(5.8, 2.1, 359.2)
YBassil,0,-4.1,117,1.620079,1.620079,Bank #1 || Task: None,(5.8, 2.1, 359.3)
YBassil,0,-4.1,118,1.626425,1.626425,Bank #1 || Task: None,(5.8, 2.1, 359.3)
YBassil,0,-4.1,119,1.633479,1.633479,Bank #1 || Task: None,(5.8, 2.0, 359.3)
YBassil,0,-4.1,120,1.640466,1.640466,Bank #1 || Task: None,(5.8, 2.0, 359.3)
YBassil,0,-4.1,121,1.647158,1.647158,Bank #1 || Task: None,(5.8, 2.0, 359.3)
YBassil,0,-4.1,122,1.653996,1.653996,Bank #1 || Task: None,(5.8, 1.9, 359.3)
YBassil,0,-4.1,123,1.66094,1.66094,Bank #1 || Task: None,(5.8, 1.9, 359.3)
YBassil,0,-4.1,124,1.667873,1.667873,Bank #1 || Task: None,(5.8, 1.9, 359.3)
YBassil,0,-4.1,125,1.674828,1.674828,Bank #1 || Task: None,(5.8, 1.9, 359.3)
YBassil,0,-4.1,126,1.681759,1.681759,Bank #1 || Task: None,(5.8, 1.8, 359.3)
YBassil,0,-4.1,127,1.688753,1.688753,Bank #1 || Task: None,(5.8, 1.8, 359.3)
YBassil,0,-4.1,128,1.695699,1.695699,Bank #1 || Task: None,(5.8, 1.8, 359.3)
YBassil,0,-4.1,129,1.702589,1.702589,Bank #1 || Task: None,(5.8, 1.8, 359.3)
YBassil,0,-4.1,130,1.709744,1.709744,Bank #1 || Task: None,(5.8, 1.8, 359.3)
YBassil,0,-4.1,131,1.716439,1.716439,Bank #1 || Task: None,(5.8, 1.8, 359.3)
YBassil,0,-4.1,132,1.723376,1.723376,Bank #1 || Task: None,(5.8, 1.8, 359.3)
YBassil,0,-4.1,133,1.730476,1.730476,Bank #1 || Task: None,(5.9, 1.7, 359.3)
YBassil,0,-4.1,134,1.737283,1.737283,Bank #1 || Task: None,(5.9, 1.7, 359.3)
YBassil,0,-4.1,135,1.744276,1.744276,Bank #1 || Task: None,(5.9, 1.7, 359.3)
YBassil,0,-4.1,136,1.751174,1.751174,Bank #1 || Task: None,(5.9, 1.7, 359.3)
YBassil,0,-4.1,137,1.758134,1.758134,Bank #1 || Task: None,(5.9, 1.7, 359.3)
YBassil,0,-4.1,138,1.765093,1.765093,Bank #1 || Task: None,(5.9, 1.7, 359.3)
YBassil,0,-4.1,139,1.772078,1.772078,Bank #1 || Task: None,(5.9, 1.7, 359.3)
YBassil,0,-4.1,140,1.778904,1.778904,Bank #1 || Task: None,(5.9, 1.7, 359.3)
YBassil,0,-4.1,141,1.786067,1.786067,Bank #1 || Task: None,(6.0, 1.7, 359.3)
YBassil,0,-4.1,142,1.793617,1.793617,Bank #1 || Task: None,(6.0, 1.7, 359.3)
YBassil,0,-4.1,143,1.799799,1.799799,Bank #1 || Task: None,(6.0, 1.7, 359.3)
YBassil,0,-4.1,144,1.806751,1.806751,Bank #1 || Task: None,(6.0, 1.7, 359.3)
YBassil,0,-4.1,145,1.813689,1.813689,Bank #1 || Task: None,(6.0, 1.7, 359.3)
YBassil,0,-4.1,146,1.820611,1.820611,Bank #1 || Task: None,(6.0, 1.7, 359.3)
YBassil,0,-4.1,147,1.827627,1.827627,Bank #1 || Task: None,(6.0, 1.7, 359.3)
YBassil,0,-4.1,148,1.834506,1.834506,Bank #1 || Task: None,(6.0, 1.7, 359.3)
YBassil,0,-4.1,149,1.841436,1.841436,Bank #1 || Task: None,(6.0, 1.7, 359.3)
YBassil,0,-4.1,150,1.848445,1.848445,Bank #1 || Task: None,(6.0, 1.6, 359.3)
YBassil,0,-4.1,151,1.855362,1.855362,Bank #1 || Task: None,(6.0, 1.6, 359.3)
YBassil,0,-4.1,152,1.862468,1.862468,Bank #1 || Task: None,(6.0, 1.6, 359.3)
YBassil,0,-4.1,153,1.869453,1.869453,Bank #1 || Task: None,(6.0, 1.6, 359.3)
YBassil,0,-4.1,154,1.876168,1.876168,Bank #1 || Task: None,(6.0, 1.6, 359.3)
YBassil,0,-4.1,155,1.883206,1.883206,Bank #1 || Task: None,(6.0, 1.6, 359.3)
YBassil,0,-4.1,156,1.890067,1.890067,Bank #1 || Task: None,(6.0, 1.6, 359.3)
YBassil,0,-4.1,157,1.897271,1.897271,Bank #1 || Task: None,(6.0, 1.6, 359.3)
YBassil,0,-4.1,158,1.904798,1.904798,Bank #1 || Task: None,(6.0, 1.6, 359.3)
YBassil,0,-4.1,159,1.91158,1.91158,Bank #1 || Task: None,(6.0, 1.6, 359.3)
YBassil,0,-4.1,160,1.918093,1.918093,Bank #1 || Task: None,(5.9, 1.6, 359.3)
YBassil,0,-4.1,161,1.924793,1.924793,Bank #1 || Task: None,(5.9, 1.6, 359.3)
YBassil,0,-4.1,162,1.931705,1.931705,Bank #1 || Task: None,(5.9, 1.5, 359.3)
YBassil,0,-4.1,163,1.939074,1.939074,Bank #1 || Task: None,(5.9, 1.5, 359.3)
YBassil,0,-4.1,164,1.945634,1.945634,Bank #1 || Task: None,(5.9, 1.5, 359.3)
YBassil,0,-4.1,165,1.95265,1.95265,Bank #1 || Task: None,(5.9, 1.5, 359.3)
YBassil,0,-4.1,166,1.959529,1.959529,Bank #1 || Task: None,(5.9, 1.5, 359.3)
YBassil,0,-4.1,167,1.966598,1.966598,Bank #1 || Task: None,(5.9, 1.5, 359.3)
YBassil,0,-4.1,168,1.973567,1.973567,Bank #1 || Task: None,(5.9, 1.5, 359.3)
YBassil,0,-4.1,169,1.980481,1.980481,Bank #1 || Task: None,(5.9, 1.5, 359.3)
YBassil,0,-4.1,170,1.987452,1.987452,Bank #1 || Task: None,(5.9, 1.5, 359.3)
YBassil,0,-4.1,171,1.995097,1.995097,Bank #1 || Task: None,(5.9, 1.5, 359.3)
YBassil,0,-4.1,172,2.001281,2.001281,Bank #1 || Task: None,(5.8, 1.5, 359.3)
YBassil,0,-4.1,173,2.008247,2.008247,Bank #1 || Task: None,(5.8, 1.5, 359.3)
YBassil,0,-4.1,174,2.01527,2.01527,Bank #1 || Task: None,(5.8, 1.5, 359.3)
YBassil,0,-4.1,175,2.022055,2.022055,Bank #1 || Task: None,(5.8, 1.5, 359.3)
YBassil,0,-4.1,176,2.029143,2.029143,Bank #1 || Task: None,(5.8, 1.5, 359.3)
YBassil,0,-4.1,177,2.036193,2.036193,Bank #1 || Task: None,(5.8, 1.5, 359.3)
YBassil,0,-4.1,178,2.043035,2.043035,Bank #1 || Task: None,(5.8, 1.5, 359.3)
YBassil,0,-4.1,179,2.050092,2.050092,Bank #1 || Task: None,(5.8, 1.5, 359.3)
YBassil,0,-4.1,180,2.057028,2.057028,Bank #1 || Task: None,(5.8, 1.5, 359.3)
YBassil,0,-4.1,181,2.06386,2.06386,Bank #1 || Task: None,(5.8, 1.5, 359.3)
YBassil,0,-4.1,182,2.070703,2.070703,Bank #1 || Task: None,(5.8, 1.5, 359.3)
YBassil,0,-4.1,183,2.077824,2.077824,Bank #1 || Task: None,(5.8, 1.5, 359.3)
YBassil,0,-4.1,184,2.084656,2.084656,Bank #1 || Task: None,(5.9, 1.4, 359.3)
YBassil,0,-4.1,185,2.091537,2.091537,Bank #1 || Task: None,(5.9, 1.4, 359.3)
YBassil,0,-4.1,186,2.098903,2.098903,Bank #1 || Task: None,(5.9, 1.4, 359.3)
YBassil,0,-4.1,187,2.105707,2.105707,Bank #1 || Task: None,(5.9, 1.4, 359.3)
YBassil,0,-4.1,188,2.112374,2.112374,Bank #1 || Task: None,(5.9, 1.4, 359.3)
YBassil,0,-4.1,189,2.119586,2.119586,Bank #1 || Task: None,(5.9, 1.4, 359.3)
YBassil,0,-4.1,190,2.126245,2.126245,Bank #1 || Task: None,(5.9, 1.4, 359.3)
YBassil,0,-4.1,191,2.133318,2.133318,Bank #1 || Task: None,(5.9, 1.4, 359.3)
YBassil,0,-4.1,192,2.140418,2.140418,Bank #1 || Task: None,(5.9, 1.4, 359.3)
YBassil,0,-4.1,193,2.147066,2.147066,Bank #1 || Task: None,(5.9, 1.3, 359.3)
YBassil,0,-4.1,194,2.154114,2.154114,Bank #1 || Task: None,(6.0, 1.3, 359.3)
YBassil,0,-4.1,195,2.161162,2.161162,Bank #1 || Task: None,(6.0, 1.3, 359.3)
YBassil,0,-4.1,196,2.168037,2.168037,Bank #1 || Task: None,(6.0, 1.3, 359.3)
YBassil,0,-4.1,197,2.174907,2.174907,Bank #1 || Task: None,(6.0, 1.3, 359.3)
YBassil,0,-4.1,198,2.181961,2.181961,Bank #1 || Task: None,(6.0, 1.3, 359.3)
YBassil,0,-4.1,199,2.18871,2.18871,Bank #1 || Task: None,(6.0, 1.2, 359.3)
YBassil,0,-4.1,200,2.196561,2.196561,Bank #1 || Task: None,(6.0, 1.2, 359.3)
YBassil,0,-4.1,201,2.203029,2.203029,Bank #1 || Task: None,(6.1, 1.2, 359.3)
YBassil,0,-4.1,202,2.210362,2.210362,Bank #1 || Task: None,(6.1, 1.2, 359.3)
YBassil,0,-4.1,203,2.217355,2.217355,Bank #1 || Task: None,(6.1, 1.1, 359.3)
YBassil,0,-4.1,204,2.223563,2.223563,Bank #1 || Task: None,(6.1, 1.1, 359.2)
YBassil,0,-4.1,205,2.23049,2.23049,Bank #1 || Task: None,(6.1, 1.1, 359.2)
YBassil,0,-4.1,206,2.2375,2.2375,Bank #1 || Task: None,(6.1, 1.1, 359.2)
YBassil,0,-4.1,207,2.244321,2.244321,Bank #1 || Task: None,(6.2, 1.1, 359.2)
YBassil,0,-4.1,208,2.251468,2.251468,Bank #1 || Task: None,(6.2, 1.1, 359.2)
YBassil,0,-4.1,209,2.258331,2.258331,Bank #1 || Task: None,(6.2, 1.0, 359.2)
YBassil,0,-4.1,210,2.265503,2.265503,Bank #1 || Task: None,(6.3, 1.0, 359.1)
YBassil,0,-4.1,211,2.272332,2.272332,Bank #1 || Task: None,(6.3, 1.0, 359.1)
YBassil,0,-4.1,212,2.278975,2.278975,Bank #1 || Task: None,(6.3, 1.0, 359.1)
YBassil,0,-4.1,213,2.286037,2.286037,Bank #1 || Task: None,(6.4, 1.0, 359.1)
YBassil,0,-4.1,214,2.293078,2.293078,Bank #1 || Task: None,(6.4, 0.9, 359.1)
YBassil,0,-4.1,215,2.299985,2.299985,Bank #1 || Task: None,(6.5, 0.9, 359.1)
YBassil,0,-4.1,216,2.306852,2.306852,Bank #1 || Task: None,(6.6, 0.9, 359.1)
YBassil,0,-4.1,217,2.314024,2.314024,Bank #1 || Task: None,(6.7, 0.9, 359.1)
