ParticipantID,X,Z,Frame,Total Time,Lapsed Time,Target Name,X Euler Angle,Y Euler Angle,Z Euler Angle
BNC06_Y1,0,-4.1,0,0.02,0.02,Bank #1 || Task: None,(0.0, 0.0, 0.0)
BNC06_Y1,0,-4.1,1,0.04,0.04,Bank #1 || Task: None,(0.0, 0.0, 0.0)
BNC06_Y1,0,-4.1,2,0.06,0.06,Bank #1 || Task: None,(0.0, 0.0, 0.0)
BNC06_Y1,0,-4.1,3,0.3933333,0.3933333,Bank #1 || Task: None,(350.0, 2.8, 1.3)
BNC06_Y1,0,-4.1,4,0.4788944,0.4788944,Bank #1 || Task: None,(350.0, 3.2, 2.0)
BNC06_Y1,0,-4.1,5,0.5165229,0.5165229,Bank #1 || Task: None,(350.0, 3.2, 2.1)
BNC06_Y1,0,-4.1,6,0.5288365,0.5288365,Bank #1 || Task: None,(350.0, 3.1, 2.1)
BNC06_Y1,0,-4.1,7,0.5344589,0.5344589,Bank #1 || Task: None,(350.0, 3.1, 2.1)
BNC06_Y1,0,-4.1,8,0.5392248,0.5392248,Bank #1 || Task: None,(350.0, 3.1, 2.1)
BNC06_Y1,0,-4.1,9,0.5438057,0.5438057,Bank #1 || Task: None,(350.0, 3.0, 2.1)
BNC06_Y1,0,-4.1,10,0.551219,0.551219,Bank #1 || Task: None,(350.0, 3.0, 2.1)
BNC06_Y1,0,-4.1,11,0.557757,0.557757,Bank #1 || Task: None,(349.9, 3.0, 2.1)
BNC06_Y1,0,-4.1,12,0.5648929,0.5648929,Bank #1 || Task: None,(349.9, 3.0, 2.1)
BNC06_Y1,0,-4.1,13,0.5717803,0.5717803,Bank #1 || Task: None,(349.9, 3.0, 2.1)
BNC06_Y1,0,-4.1,14,0.5788162,0.5788162,Bank #1 || Task: None,(349.9, 2.9, 2.1)
BNC06_Y1,0,-4.1,15,0.5909021,0.5909021,Bank #1 || Task: None,(349.9, 2.9, 2.1)
BNC06_Y1,0,-4.1,16,0.5969056,0.5969056,Bank #1 || Task: None,(349.8, 2.9, 2.1)
BNC06_Y1,0,-4.1,17,0.6010014,0.6010014,Bank #1 || Task: None,(349.8, 2.9, 2.1)
