ParticipantID,X,Z,Frame,Total Time,Lapsed Time,Target Name,X Euler Angle,Y Euler Angle,Z Euler Angle
BNC19_bankpractice,0,-4.1,0,0.02,0.02,Bank #1 || Task: None,(0.0, 0.0, 0.0)
BNC19_bankpractice,0,-4.1,1,0.04,0.04,Bank #1 || Task: None,(0.0, 0.0, 0.0)
BNC19_bankpractice,0,-4.1,2,0.06,0.06,Bank #1 || Task: None,(0.0, 0.0, 0.0)
BNC19_bankpractice,0,-4.1,3,0.3933333,0.3933333,Bank #1 || Task: None,(356.0, 312.4, 358.5)
BNC19_bankpractice,0,-4.1,4,0.4645936,0.4645936,Bank #1 || Task: None,(355.9, 310.9, 358.1)
BNC19_bankpractice,0,-4.1,5,0.4912083,0.4912083,Bank #1 || Task: None,(355.7, 310.8, 358.1)
BNC19_bankpractice,0,-4.1,6,0.4995835,0.4995835,Bank #1 || Task: None,(355.6, 310.8, 358.1)
BNC19_bankpractice,0,-4.1,7,0.5032377,0.5032377,Bank #1 || Task: None,(355.5, 310.8, 358.1)
BNC19_bankpractice,0,-4.1,8,0.5103149,0.5103149,Bank #1 || Task: None,(355.5, 310.8, 358.1)
BNC19_bankpractice,0,-4.1,9,0.5167669,0.5167669,Bank #1 || Task: None,(355.4, 310.8, 358.1)
BNC19_bankpractice,0,-4.1,10,0.5236456,0.5236456,Bank #1 || Task: None,(355.4, 310.8, 358.1)
BNC19_bankpractice,0,-4.1,11,0.5307599,0.5307599,Bank #1 || Task: None,(355.4, 310.8, 358.1)
BNC19_bankpractice,0,-4.1,12,0.5384076,0.5384076,Bank #1 || Task: None,(355.3, 310.8, 358.1)
BNC19_bankpractice,0,-4.1,13,0.5451241,0.5451241,Bank #1 || Task: None,(355.3, 310.8, 358.1)
BNC19_bankpractice,0,-4.1,14,0.5516328,0.5516328,Bank #1 || Task: None,(355.3, 310.9, 358.1)
BNC19_bankpractice,0,-4.1,15,0.5585502,0.5585502,Bank #1 || Task: None,(355.3, 310.9, 358.1)
BNC19_bankpractice,0,-4.1,16,0.5655831,0.5655831,Bank #1 || Task: None,(355.3, 310.9, 358.1)
BNC19_bankpractice,0,-4.1,17,0.5724595,0.5724595,Bank #1 || Task: None,(355.3, 310.9, 358.1)
BNC19_bankpractice,0,-4.1,18,0.5794148,0.5794148,Bank #1 || Task: None,(355.4, 310.9, 358.1)
BNC19_bankpractice,0,-4.1,19,0.5873491,0.5873491,Bank #1 || Task: None,(355.4, 310.9, 358.1)
BNC19_bankpractice,0,-4.1,20,0.5931287,0.5931287,Bank #1 || Task: None,(355.4, 310.9, 358.1)
BNC19_bankpractice,0,-4.1,21,0.6001865,0.6001865,Bank #1 || Task: None,(355.4, 311.0, 358.1)
BNC19_bankpractice,0,-4.1,22,0.6071728,0.6071728,Bank #1 || Task: None,(355.5, 311.0, 358.1)
BNC19_bankpractice,0,-4.1,23,0.6141636,0.6141636,Bank #1 || Task: None,(355.5, 311.0, 358.1)
BNC19_bankpractice,0,-4.1,24,0.6212155,0.6212155,Bank #1 || Task: None,(355.5, 311.0, 358.1)
BNC19_bankpractice,0,-4.1,25,0.6279162,0.6279162,Bank #1 || Task: None,(355.5, 311.0, 358.1)
BNC19_bankpractice,0,-4.1,26,0.634761,0.634761,Bank #1 || Task: None,(355.6, 311.1, 358.1)
BNC19_bankpractice,0,-4.1,27,0.6418222,0.6418222,Bank #1 || Task: None,(355.6, 311.1, 358.1)
BNC19_bankpractice,0,-4.1,28,0.6489857,0.6489857,Bank #1 || Task: None,(355.6, 311.1, 358.1)
BNC19_bankpractice,0,-4.1,29,0.9351245,0.9351245,Bank #1 || Task: None,(355.4, 311.9, 358.1)
BNC19_bankpractice,0,-4.1,30,0.9646934,0.9646934,Bank #1 || Task: None,(355.5, 312.0, 358.1)
BNC19_bankpractice,0,-4.1,31,0.9703806,0.9703806,Bank #1 || Task: None,(355.5, 312.0, 358.1)
BNC19_bankpractice,0,-4.1,32,0.9754137,0.9754137,Bank #1 || Task: None,(355.6, 312.1, 358.2)
BNC19_bankpractice,0,-4.1,33,0.9822922,0.9822922,Bank #1 || Task: None,(355.6, 312.1, 358.2)
BNC19_bankpractice,0,-4.1,34,0.9893101,0.9893101,Bank #1 || Task: None,(355.6, 312.1, 358.2)
BNC19_bankpractice,0,-4.1,35,0.9980612,0.9980612,Bank #1 || Task: None,(355.7, 312.1, 358.2)
BNC19_bankpractice,0,-4.1,36,1.003238,1.003238,Bank #1 || Task: None,(355.7, 312.2, 358.2)
BNC19_bankpractice,0,-4.1,37,1.010023,1.010023,Bank #1 || Task: None,(355.7, 312.2, 358.2)
BNC19_bankpractice,0,-4.1,38,1.016954,1.016954,Bank #1 || Task: None,(355.8, 312.2, 358.2)
BNC19_bankpractice,0,-4.1,39,1.023978,1.023978,Bank #1 || Task: None,(355.8, 312.2, 358.2)
BNC19_bankpractice,0,-4.1,40,1.030918,1.030918,Bank #1 || Task: None,(355.8, 312.2, 358.2)
BNC19_bankpractice,0,-4.1,41,1.037877,1.037877,Bank #1 || Task: None,(355.9, 312.2, 358.3)
BNC19_bankpractice,0,-4.1,42,1.044858,1.044858,Bank #1 || Task: None,(355.9, 312.2, 358.3)
BNC19_bankpractice,0,-4.1,43,1.051785,1.051785,Bank #1 || Task: None,(355.9, 312.3, 358.3)
BNC19_bankpractice,0,-4.1,44,1.058631,1.058631,Bank #1 || Task: None,(355.9, 312.3, 358.3)
BNC19_bankpractice,0,-4.1,45,1.065718,1.065718,Bank #1 || Task: None,(356.0, 312.3, 358.3)
BNC19_bankpractice,0,-4.1,46,1.0754,1.0754,Bank #1 || Task: None,(356.0, 312.3, 358.3)
BNC19_bankpractice,0,-4.1,47,1.080008,1.080008,Bank #1 || Task: None,(356.0, 312.4, 358.3)
BNC19_bankpractice,0,-4.1,48,1.086761,1.086761,Bank #1 || Task: None,(356.1, 312.4, 358.3)
BNC19_bankpractice,0,-4.1,49,1.094276,1.094276,Bank #1 || Task: None,(356.1, 312.4, 358.3)
BNC19_bankpractice,0,-4.1,50,1.101107,1.101107,Bank #1 || Task: None,(356.2, 312.4, 358.3)
BNC19_bankpractice,0,-4.1,51,1.107327,1.107327,Bank #1 || Task: None,(356.2, 312.5, 358.3)
BNC19_bankpractice,0,-4.1,52,1.114271,1.114271,Bank #1 || Task: None,(356.3, 312.5, 358.3)
BNC19_bankpractice,0,-4.1,53,1.121232,1.121232,Bank #1 || Task: None,(356.3, 312.5, 358.3)
BNC19_bankpractice,0,-4.1,54,1.128076,1.128076,Bank #1 || Task: None,(356.4, 312.6, 358.3)
BNC19_bankpractice,0,-4.1,55,1.135057,1.135057,Bank #1 || Task: None,(356.5, 312.6, 358.3)
BNC19_bankpractice,0,-4.1,56,1.142797,1.142797,Bank #1 || Task: None,(356.5, 312.6, 358.3)
BNC19_bankpractice,0,-4.1,57,1.14891,1.14891,Bank #1 || Task: None,(356.6, 312.7, 358.3)
BNC19_bankpractice,0,-4.1,58,1.156138,1.156138,Bank #1 || Task: None,(356.7, 312.7, 358.3)
BNC19_bankpractice,0,-4.1,59,1.162822,1.162822,Bank #1 || Task: None,(356.7, 312.8, 358.2)
BNC19_bankpractice,0,-4.1,60,1.169912,1.169912,Bank #1 || Task: None,(356.8, 312.8, 358.2)
BNC19_bankpractice,0,-4.1,61,1.176757,1.176757,Bank #1 || Task: None,(356.9, 312.9, 358.2)
BNC19_bankpractice,0,-4.1,62,1.1837,1.1837,Bank #1 || Task: None,(357.0, 313.0, 358.2)
BNC19_bankpractice,0,-4.1,63,1.190675,1.190675,Bank #1 || Task: None,(357.1, 313.0, 358.2)
BNC19_bankpractice,0,-4.1,64,1.197595,1.197595,Bank #1 || Task: None,(357.2, 313.2, 358.2)
BNC19_bankpractice,0,-4.1,65,1.204474,1.204474,Bank #1 || Task: None,(357.3, 313.3, 358.2)
BNC19_bankpractice,0,-4.1,66,1.21168,1.21168,Bank #1 || Task: None,(357.4, 313.5, 358.2)
BNC19_bankpractice,0,-4.1,67,1.218396,1.218396,Bank #1 || Task: None,(357.5, 313.7, 358.1)
BNC19_bankpractice,0,-4.1,68,1.225376,1.225376,Bank #1 || Task: None,(357.7, 313.9, 358.1)
BNC19_bankpractice,0,-4.1,69,1.232423,1.232423,Bank #1 || Task: None,(357.9, 314.2, 358.0)
BNC19_bankpractice,0,-4.1,70,1.23943,1.23943,Bank #1 || Task: None,(358.0, 314.5, 358.0)
BNC19_bankpractice,0,-4.1,71,1.246137,1.246137,Bank #1 || Task: None,(358.3, 314.9, 357.9)
BNC19_bankpractice,0,-4.1,72,1.25312,1.25312,Bank #1 || Task: None,(358.5, 315.3, 357.9)
BNC19_bankpractice,0,-4.1,73,1.26017,1.26017,Bank #1 || Task: None,(358.7, 315.8, 357.8)
BNC19_bankpractice,0,-4.1,74,1.267344,1.267344,Bank #1 || Task: None,(359.0, 316.3, 357.8)
BNC19_bankpractice,0,-4.1,75,1.27458,1.27458,Bank #1 || Task: None,(359.3, 316.9, 357.7)
BNC19_bankpractice,0,-4.1,76,1.281589,1.281589,Bank #1 || Task: None,(359.5, 317.5, 357.6)
BNC19_bankpractice,0,-4.1,77,1.28863,1.28863,Bank #1 || Task: None,(359.8, 318.1, 357.5)
BNC19_bankpractice,0,-4.1,78,1.295607,1.295607,Bank #1 || Task: None,(0.1, 318.8, 357.4)
BNC19_bankpractice,0,-4.1,79,1.302626,1.302626,Bank #1 || Task: None,(0.3, 319.5, 357.3)
BNC19_bankpractice,0,-4.1,80,1.309631,1.309631,Bank #1 || Task: None,(0.6, 320.2, 357.2)
BNC19_bankpractice,0,-4.1,81,1.316595,1.316595,Bank #1 || Task: None,(0.8, 321.0, 357.0)
BNC19_bankpractice,0,-4.1,82,1.32355,1.32355,Bank #1 || Task: None,(1.1, 321.8, 356.9)
BNC19_bankpractice,0,-4.1,83,1.330405,1.330405,Bank #1 || Task: None,(1.2, 322.6, 356.8)
BNC19_bankpractice,0,-4.1,84,1.337439,1.337439,Bank #1 || Task: None,(1.4, 323.4, 356.7)
BNC19_bankpractice,0,-4.1,85,1.345337,1.345337,Bank #1 || Task: None,(1.6, 324.3, 356.5)
BNC19_bankpractice,0,-4.1,86,1.351208,1.351208,Bank #1 || Task: None,(1.7, 325.1, 356.4)
BNC19_bankpractice,0,-4.1,87,1.358158,1.358158,Bank #1 || Task: None,(1.8, 326.0, 356.3)
BNC19_bankpractice,0,-4.1,88,1.365243,1.365243,Bank #1 || Task: None,(1.9, 326.9, 356.2)
BNC19_bankpractice,0,-4.1,89,1.372093,1.372093,Bank #1 || Task: None,(2.0, 327.7, 356.1)
BNC19_bankpractice,0,-4.1,90,1.379063,1.379063,Bank #1 || Task: None,(2.1, 328.6, 356.1)
BNC19_bankpractice,0,-4.1,91,1.385919,1.385919,Bank #1 || Task: None,(2.2, 329.5, 356.0)
BNC19_bankpractice,0,-4.1,92,1.392993,1.392993,Bank #1 || Task: None,(2.2, 330.4, 356.0)
BNC19_bankpractice,0,-4.1,93,1.39993,1.39993,Bank #1 || Task: None,(2.3, 331.3, 355.9)
BNC19_bankpractice,0,-4.1,94,1.40679,1.40679,Bank #1 || Task: None,(2.4, 332.2, 355.9)
BNC19_bankpractice,0,-4.1,95,1.413758,1.413758,Bank #1 || Task: None,(2.5, 333.0, 355.9)
BNC19_bankpractice,0,-4.1,96,1.42076,1.42076,Bank #1 || Task: None,(2.6, 333.9, 355.8)
BNC19_bankpractice,0,-4.1,97,1.428049,1.428049,Bank #1 || Task: None,(2.7, 334.8, 355.8)
BNC19_bankpractice,0,-4.1,98,1.434675,1.434675,Bank #1 || Task: None,(2.8, 335.6, 355.8)
BNC19_bankpractice,0,-4.1,99,1.441565,1.441565,Bank #1 || Task: None,(3.0, 336.5, 355.8)
BNC19_bankpractice,0,-4.1,100,1.448502,1.448502,Bank #1 || Task: None,(3.1, 337.3, 355.8)
BNC19_bankpractice,0,-4.1,101,1.455375,1.455375,Bank #1 || Task: None,(3.3, 338.1, 355.8)
BNC19_bankpractice,0,-4.1,102,1.46238,1.46238,Bank #1 || Task: None,(3.4, 338.9, 355.8)
BNC19_bankpractice,0,-4.1,103,1.469277,1.469277,Bank #1 || Task: None,(3.6, 339.7, 355.8)
BNC19_bankpractice,0,-4.1,104,1.476347,1.476347,Bank #1 || Task: None,(3.8, 340.4, 355.8)
BNC19_bankpractice,0,-4.1,105,1.48322,1.48322,Bank #1 || Task: None,(4.0, 341.1, 355.8)
BNC19_bankpractice,0,-4.1,106,1.490186,1.490186,Bank #1 || Task: None,(4.2, 341.9, 355.8)
BNC19_bankpractice,0,-4.1,107,1.497132,1.497132,Bank #1 || Task: None,(4.4, 342.6, 355.8)
BNC19_bankpractice,0,-4.1,108,1.503981,1.503981,Bank #1 || Task: None,(4.7, 343.3, 355.8)
BNC19_bankpractice,0,-4.1,109,1.51096,1.51096,Bank #1 || Task: None,(4.9, 343.9, 355.8)
BNC19_bankpractice,0,-4.1,110,1.517976,1.517976,Bank #1 || Task: None,(5.2, 344.6, 355.8)
