ParticipantID,X,Z,Frame,Total Time,Lapsed Time,Target Name,X Euler Angle,Y Euler Angle,Z Euler Angle
BNCTour,0,-4.1,0,0.02,0.02,Bank #1 || Task: None,(0.0, 0.0, 0.0)
BNCTour,0,-4.1,1,0.04,0.04,Bank #1 || Task: None,(0.0, 0.0, 0.0)
BNCTour,0,-4.1,2,0.06,0.06,Bank #1 || Task: None,(0.0, 0.0, 0.0)
BNCTour,0,-4.1,3,0.3933333,0.3933333,Bank #1 || Task: None,(0.0, 0.0, 0.0)
BNCTour,0,-4.1,4,0.4369868,0.4369868,Bank #1 || Task: None,(0.0, 0.0, 0.0)
BNCTour,0,-4.1,5,0.4425477,0.4425477,Bank #1 || Task: None,(0.0, 0.0, 0.0)
BNCTour,0,-4.1,6,0.4454506,0.4454506,Bank #1 || Task: None,(0.0, 0.0, 0.0)
BNCTour,0,-4.1,7,0.452171,0.452171,Bank #1 || Task: None,(0.0, 0.0, 0.0)
BNCTour,0,-4.1,8,0.459314,0.459314,Bank #1 || Task: None,(0.0, 0.0, 0.0)
BNCTour,0,-4.1,9,0.4660129,0.4660129,Bank #1 || Task: None,(0.0, 0.0, 0.0)
BNCTour,0,-4.1,10,0.4729512,0.4729512,Bank #1 || Task: None,(0.0, 0.0, 0.0)
BNCTour,0,-4.1,11,0.4798444,0.4798444,Bank #1 || Task: None,(0.0, 0.0, 0.0)
BNCTour,0,-4.1,12,0.4867359,0.4867359,Bank #1 || Task: None,(0.0, 0.0, 0.0)
BNCTour,0,-4.1,13,0.4937468,0.4937468,Bank #1 || Task: None,(0.0, 0.0, 0.0)
BNCTour,0,-4.1,14,0.5008733,0.5008733,Bank #1 || Task: None,(0.0, 0.0, 0.0)
BNCTour,0,-4.1,15,0.5076414,0.5076414,Bank #1 || Task: None,(0.0, 0.0, 0.0)
BNCTour,0,-4.1,16,0.5147092,0.5147092,Bank #1 || Task: None,(0.0, 0.0, 0.0)
BNCTour,0,-4.1,17,0.5215096,0.5215096,Bank #1 || Task: None,(0.0, 0.0, 0.0)
BNCTour,0,-4.1,18,0.5287308,0.5287308,Bank #1 || Task: None,(0.0, 0.0, 0.0)
BNCTour,0,-4.1,19,0.5367689,0.5367689,Bank #1 || Task: None,(0.0, 0.0, 0.0)
BNCTour,0,-4.1,20,0.5431213,0.5431213,Bank #1 || Task: None,(0.0, 0.0, 0.0)
BNCTour,0,-4.1,21,0.5494357,0.5494357,Bank #1 || Task: None,(0.0, 0.0, 0.0)
BNCTour,0,-4.1,22,0.5563127,0.5563127,Bank #1 || Task: None,(0.0, 0.0, 0.0)
BNCTour,0,-4.1,23,0.5632677,0.5632677,Bank #1 || Task: None,(0.0, 0.0, 0.0)
BNCTour,0,-4.1,24,0.5702393,0.5702393,Bank #1 || Task: None,(0.0, 0.0, 0.0)
BNCTour,0,-4.1,25,0.5771914,0.5771914,Bank #1 || Task: None,(0.0, 0.0, 0.0)
