ParticipantID,X,Z,Frame,Total Time,Lapsed Time,Target Name,X Euler Angle,Y Euler Angle,Z Euler Angle
YBassil,0,-4.1,0,0.02,0.02,Bank #1 || Task: None,(0.0, 0.0, 0.0)
YBassil,0,-4.1,1,0.04,0.04,Bank #1 || Task: None,(0.0, 0.0, 0.0)
YBassil,0,-4.1,2,0.06,0.06,Bank #1 || Task: None,(0.0, 0.0, 0.0)
YBassil,0,-4.1,3,0.3933333,0.3933333,Bank #1 || Task: None,(359.2, 14.9, 359.1)
YBassil,0,-4.1,4,0.4444146,0.4444146,Bank #1 || Task: None,(358.6, 10.1, 359.5)
YBassil,0,-4.1,5,0.455182,0.455182,Bank #1 || Task: None,(358.6, 10.1, 359.5)
YBassil,0,-4.1,6,0.4612527,0.4612527,Bank #1 || Task: None,(358.6, 10.1, 359.5)
YBassil,0,-4.1,7,0.466223,0.466223,Bank #1 || Task: None,(358.6, 10.1, 359.5)
YBassil,0,-4.1,8,0.4735261,0.4735261,Bank #1 || Task: None,(358.6, 10.1, 359.5)
YBassil,0,-4.1,9,0.4803891,0.4803891,Bank #1 || Task: None,(358.5, 10.1, 359.5)
YBassil,0,-4.1,10,0.487035,0.487035,Bank #1 || Task: None,(358.5, 10.1, 359.5)
YBassil,0,-4.1,11,0.4939983,0.4939983,Bank #1 || Task: None,(358.5, 10.1, 359.5)
YBassil,0,-4.1,12,0.5012618,0.5012618,Bank #1 || Task: None,(358.5, 10.2, 359.5)
YBassil,0,-4.1,13,0.5081429,0.5081429,Bank #1 || Task: None,(358.5, 10.2, 359.5)
YBassil,0,-4.1,14,0.5147812,0.5147812,Bank #1 || Task: None,(358.5, 10.2, 359.5)
YBassil,0,-4.1,15,0.5218643,0.5218643,Bank #1 || Task: None,(358.5, 10.2, 359.5)
YBassil,0,-4.1,16,0.5289622,0.5289622,Bank #1 || Task: None,(358.4, 10.3, 359.5)
YBassil,0,-4.1,17,0.5364667,0.5364667,Bank #1 || Task: None,(358.4, 10.3, 359.5)
YBassil,0,-4.1,18,0.5434211,0.5434211,Bank #1 || Task: None,(358.4, 10.3, 359.6)
YBassil,0,-4.1,19,0.5497515,0.5497515,Bank #1 || Task: None,(358.4, 10.4, 359.6)
YBassil,0,-4.1,20,0.5564893,0.5564893,Bank #1 || Task: None,(358.4, 10.4, 359.6)
YBassil,0,-4.1,21,0.5633908,0.5633908,Bank #1 || Task: None,(358.4, 10.4, 359.6)
YBassil,0,-4.1,22,0.5703571,0.5703571,Bank #1 || Task: None,(358.4, 10.5, 359.6)
YBassil,0,-4.1,23,0.5772055,0.5772055,Bank #1 || Task: None,(358.3, 10.5, 359.6)
YBassil,0,-4.1,24,0.585171,0.585171,Bank #1 || Task: None,(358.3, 10.5, 359.6)
YBassil,0,-4.1,25,0.5910623,0.5910623,Bank #1 || Task: None,(358.3, 10.6, 359.6)
YBassil,0,-4.1,26,0.5980823,0.5980823,Bank #1 || Task: None,(358.3, 10.6, 359.6)
YBassil,0,-4.1,27,0.605587,0.605587,Bank #1 || Task: None,(358.4, 10.6, 359.6)
YBassil,0,-4.1,28,0.6120414,0.6120414,Bank #1 || Task: None,(358.4, 10.6, 359.6)
YBassil,0,-4.1,29,0.6189965,0.6189965,Bank #1 || Task: None,(358.4, 10.7, 359.6)
YBassil,0,-4.1,30,0.6355134,0.6355134,Bank #1 || Task: None,(358.4, 10.7, 359.6)
YBassil,0,-4.1,31,0.6396449,0.6396449,Bank #1 || Task: None,(358.4, 10.7, 359.6)
YBassil,0,-4.1,32,0.9498929,0.9498929,Bank #1 || Task: None,(359.3, 10.6, 359.7)
YBassil,0,-4.1,33,0.9815521,0.9815521,Bank #1 || Task: None,(359.4, 10.5, 359.8)
YBassil,0,-4.1,34,0.9871461,0.9871461,Bank #1 || Task: None,(359.4, 10.5, 359.8)
YBassil,0,-4.1,35,0.9911766,0.9911766,Bank #1 || Task: None,(359.4, 10.5, 359.8)
YBassil,0,-4.1,36,0.994496,0.994496,Bank #1 || Task: None,(359.4, 10.5, 359.8)
YBassil,0,-4.1,37,1.001328,1.001328,Bank #1 || Task: None,(359.4, 10.5, 359.8)
YBassil,0,-4.1,38,1.008064,1.008064,Bank #1 || Task: None,(359.5, 10.5, 359.8)
YBassil,0,-4.1,39,1.015102,1.015102,Bank #1 || Task: None,(359.5, 10.5, 359.8)
YBassil,0,-4.1,40,1.022347,1.022347,Bank #1 || Task: None,(359.5, 10.5, 359.8)
YBassil,0,-4.1,41,1.028777,1.028777,Bank #1 || Task: None,(359.5, 10.5, 359.8)
YBassil,0,-4.1,42,1.035911,1.035911,Bank #1 || Task: None,(359.5, 10.4, 359.8)
YBassil,0,-4.1,43,1.042765,1.042765,Bank #1 || Task: None,(359.5, 10.4, 359.9)
YBassil,0,-4.1,44,1.049708,1.049708,Bank #1 || Task: None,(359.6, 10.4, 359.9)
YBassil,0,-4.1,45,1.056707,1.056707,Bank #1 || Task: None,(359.6, 10.4, 359.9)
YBassil,0,-4.1,46,1.063558,1.063558,Bank #1 || Task: None,(359.6, 10.4, 359.9)
YBassil,0,-4.1,47,1.070548,1.070548,Bank #1 || Task: None,(359.6, 10.4, 359.9)
YBassil,0,-4.1,48,1.077447,1.077447,Bank #1 || Task: None,(359.6, 10.4, 359.9)
YBassil,0,-4.1,49,1.0847,1.0847,Bank #1 || Task: None,(359.7, 10.4, 359.9)
YBassil,0,-4.1,50,1.091339,1.091339,Bank #1 || Task: None,(359.7, 10.4, 359.9)
YBassil,0,-4.1,51,1.098377,1.098377,Bank #1 || Task: None,(359.7, 10.4, 359.9)
YBassil,0,-4.1,52,1.105489,1.105489,Bank #1 || Task: None,(359.7, 10.4, 359.9)
YBassil,0,-4.1,53,1.113071,1.113071,Bank #1 || Task: None,(359.8, 10.4, 359.9)
YBassil,0,-4.1,54,1.119856,1.119856,Bank #1 || Task: None,(359.8, 10.3, 359.9)
YBassil,0,-4.1,55,1.126067,1.126067,Bank #1 || Task: None,(359.8, 10.3, 359.9)
YBassil,0,-4.1,56,1.132967,1.132967,Bank #1 || Task: None,(359.9, 10.3, 359.9)
YBassil,0,-4.1,57,1.140401,1.140401,Bank #1 || Task: None,(359.9, 10.3, 359.9)
YBassil,0,-4.1,58,1.14694,1.14694,Bank #1 || Task: None,(359.9, 10.3, 359.9)
YBassil,0,-4.1,59,1.15389,1.15389,Bank #1 || Task: None,(360.0, 10.2, 359.9)
YBassil,0,-4.1,60,1.161791,1.161791,Bank #1 || Task: None,(360.0, 10.2, 359.9)
YBassil,0,-4.1,61,1.167742,1.167742,Bank #1 || Task: None,(0.0, 10.2, 359.9)
YBassil,0,-4.1,62,1.174634,1.174634,Bank #1 || Task: None,(0.0, 10.2, 359.9)
YBassil,0,-4.1,63,1.18169,1.18169,Bank #1 || Task: None,(0.1, 10.1, 359.9)
YBassil,0,-4.1,64,1.188616,1.188616,Bank #1 || Task: None,(0.1, 10.1, 359.9)
YBassil,0,-4.1,65,1.19549,1.19549,Bank #1 || Task: None,(0.1, 10.1, 359.9)
YBassil,0,-4.1,66,1.202571,1.202571,Bank #1 || Task: None,(0.1, 10.1, 359.9)
YBassil,0,-4.1,67,1.209441,1.209441,Bank #1 || Task: None,(0.2, 10.1, 359.9)
YBassil,0,-4.1,68,1.216359,1.216359,Bank #1 || Task: None,(0.2, 10.0, 359.9)
YBassil,0,-4.1,69,1.224097,1.224097,Bank #1 || Task: None,(0.2, 10.0, 359.9)
YBassil,0,-4.1,70,1.230174,1.230174,Bank #1 || Task: None,(0.2, 10.0, 359.9)
YBassil,0,-4.1,71,1.237219,1.237219,Bank #1 || Task: None,(0.2, 10.0, 359.9)
YBassil,0,-4.1,72,1.244169,1.244169,Bank #1 || Task: None,(0.2, 9.9, 359.9)
YBassil,0,-4.1,73,1.264622,1.264622,Bank #1 || Task: None,(0.3, 9.9, 359.9)
YBassil,0,-4.1,74,1.270463,1.270463,Bank #1 || Task: None,(0.3, 9.9, 359.9)
YBassil,0,-4.1,75,1.274335,1.274335,Bank #1 || Task: None,(0.3, 9.8, 359.9)
YBassil,0,-4.1,76,1.278754,1.278754,Bank #1 || Task: None,(0.3, 9.8, 359.9)
YBassil,0,-4.1,77,1.286076,1.286076,Bank #1 || Task: None,(0.3, 9.8, 359.9)
YBassil,0,-4.1,78,1.293096,1.293096,Bank #1 || Task: None,(0.3, 9.8, 359.9)
YBassil,0,-4.1,79,1.300178,1.300178,Bank #1 || Task: None,(0.3, 9.7, 359.9)
YBassil,0,-4.1,80,1.306733,1.306733,Bank #1 || Task: None,(0.4, 9.7, 359.9)
YBassil,0,-4.1,81,1.313495,1.313495,Bank #1 || Task: None,(0.4, 9.7, 359.9)
YBassil,0,-4.1,82,1.320847,1.320847,Bank #1 || Task: None,(0.4, 9.7, 359.9)
YBassil,0,-4.1,83,1.327399,1.327399,Bank #1 || Task: None,(0.4, 9.6, 360.0)
YBassil,0,-4.1,84,1.334433,1.334433,Bank #1 || Task: None,(0.5, 9.6, 360.0)
YBassil,0,-4.1,85,1.341479,1.341479,Bank #1 || Task: None,(0.6, 9.6, 360.0)
YBassil,0,-4.1,86,1.348305,1.348305,Bank #1 || Task: None,(0.6, 9.6, 360.0)
YBassil,0,-4.1,87,1.356163,1.356163,Bank #1 || Task: None,(0.6, 9.6, 359.9)
YBassil,0,-4.1,88,1.364054,1.364054,Bank #1 || Task: None,(0.6, 9.6, 359.9)
YBassil,0,-4.1,89,1.369857,1.369857,Bank #1 || Task: None,(0.7, 9.6, 359.9)
YBassil,0,-4.1,90,1.376906,1.376906,Bank #1 || Task: None,(0.7, 9.5, 359.9)
YBassil,0,-4.1,91,1.383581,1.383581,Bank #1 || Task: None,(0.7, 9.5, 359.9)
YBassil,0,-4.1,92,1.390124,1.390124,Bank #1 || Task: None,(0.7, 9.5, 359.9)
YBassil,0,-4.1,93,1.397127,1.397127,Bank #1 || Task: None,(0.7, 9.5, 359.9)
YBassil,0,-4.1,94,1.403924,1.403924,Bank #1 || Task: None,(0.7, 9.5, 359.9)
YBassil,0,-4.1,95,1.410779,1.410779,Bank #1 || Task: None,(0.8, 9.5, 359.9)
YBassil,0,-4.1,96,1.417862,1.417862,Bank #1 || Task: None,(0.8, 9.5, 359.9)
YBassil,0,-4.1,97,1.424687,1.424687,Bank #1 || Task: None,(0.8, 9.4, 359.9)
YBassil,0,-4.1,98,1.431681,1.431681,Bank #1 || Task: None,(0.8, 9.4, 359.9)
YBassil,0,-4.1,99,1.438969,1.438969,Bank #1 || Task: None,(0.8, 9.4, 359.9)
YBassil,0,-4.1,100,1.445624,1.445624,Bank #1 || Task: None,(0.8, 9.4, 359.9)
YBassil,0,-4.1,101,1.452805,1.452805,Bank #1 || Task: None,(0.8, 9.4, 359.9)
YBassil,0,-4.1,102,1.459587,1.459587,Bank #1 || Task: None,(0.8, 9.4, 359.9)
YBassil,0,-4.1,103,1.466357,1.466357,Bank #1 || Task: None,(0.8, 9.4, 359.9)
YBassil,0,-4.1,104,1.473547,1.473547,Bank #1 || Task: None,(0.8, 9.3, 359.9)
YBassil,0,-4.1,105,1.480204,1.480204,Bank #1 || Task: None,(0.8, 9.3, 359.9)
YBassil,0,-4.1,106,1.487531,1.487531,Bank #1 || Task: None,(0.8, 9.3, 359.9)
YBassil,0,-4.1,107,1.494075,1.494075,Bank #1 || Task: None,(0.8, 9.3, 359.9)
YBassil,0,-4.1,108,1.501117,1.501117,Bank #1 || Task: None,(0.8, 9.3, 359.9)
YBassil,0,-4.1,109,1.507989,1.507989,Bank #1 || Task: None,(0.7, 9.3, 359.9)
YBassil,0,-4.1,110,1.514892,1.514892,Bank #1 || Task: None,(0.7, 9.3, 359.9)
YBassil,0,-4.1,111,1.522827,1.522827,Bank #1 || Task: None,(0.7, 9.2, 359.9)
YBassil,0,-4.1,112,1.528973,1.528973,Bank #1 || Task: None,(0.7, 9.2, 359.9)
YBassil,0,-4.1,113,1.535901,1.535901,Bank #1 || Task: None,(0.7, 9.2, 359.9)
YBassil,0,-4.1,114,1.542772,1.542772,Bank #1 || Task: None,(0.7, 9.2, 359.9)
YBassil,0,-4.1,115,1.549718,1.549718,Bank #1 || Task: None,(0.7, 9.1, 359.9)
YBassil,0,-4.1,116,1.556857,1.556857,Bank #1 || Task: None,(0.7, 9.1, 359.9)
YBassil,0,-4.1,117,1.564992,1.564992,Bank #1 || Task: None,(0.7, 9.1, 359.9)
YBassil,0,-4.1,118,1.570718,1.570718,Bank #1 || Task: None,(0.7, 9.1, 359.9)
YBassil,0,-4.1,119,1.577419,1.577419,Bank #1 || Task: None,(0.7, 9.1, 359.9)
YBassil,0,-4.1,120,1.584771,1.584771,Bank #1 || Task: None,(0.7, 9.0, 359.9)
YBassil,0,-4.1,121,1.600547,1.600547,Bank #1 || Task: None,(0.7, 9.0, 359.9)
YBassil,0,-4.1,122,1.605243,1.605243,Bank #1 || Task: None,(0.7, 9.0, 359.9)
YBassil,0,-4.1,123,1.609177,1.609177,Bank #1 || Task: None,(0.7, 8.9, 359.9)
YBassil,0,-4.1,124,1.612332,1.612332,Bank #1 || Task: None,(0.7, 8.9, 359.9)
YBassil,0,-4.1,125,1.619599,1.619599,Bank #1 || Task: None,(0.7, 8.9, 359.9)
YBassil,0,-4.1,126,1.626198,1.626198,Bank #1 || Task: None,(0.7, 8.9, 359.9)
YBassil,0,-4.1,127,1.63325,1.63325,Bank #1 || Task: None,(0.7, 8.8, 359.9)
YBassil,0,-4.1,128,1.640122,1.640122,Bank #1 || Task: None,(0.7, 8.8, 359.9)
YBassil,0,-4.1,129,1.647476,1.647476,Bank #1 || Task: None,(0.7, 8.8, 359.9)
YBassil,0,-4.1,130,1.654111,1.654111,Bank #1 || Task: None,(0.7, 8.8, 359.9)
YBassil,0,-4.1,131,1.661612,1.661612,Bank #1 || Task: None,(0.7, 8.7, 359.9)
YBassil,0,-4.1,132,1.668012,1.668012,Bank #1 || Task: None,(0.7, 8.7, 359.9)
YBassil,0,-4.1,133,1.674959,1.674959,Bank #1 || Task: None,(0.7, 8.7, 359.9)
YBassil,0,-4.1,134,1.681761,1.681761,Bank #1 || Task: None,(0.7, 8.6, 359.9)
YBassil,0,-4.1,135,1.688881,1.688881,Bank #1 || Task: None,(0.7, 8.6, 359.9)
YBassil,0,-4.1,136,1.695663,1.695663,Bank #1 || Task: None,(0.7, 8.6, 359.9)
YBassil,0,-4.1,137,1.702638,1.702638,Bank #1 || Task: None,(0.7, 8.6, 359.9)
YBassil,0,-4.1,138,1.709433,1.709433,Bank #1 || Task: None,(0.8, 8.5, 359.9)
YBassil,0,-4.1,139,1.71781,1.71781,Bank #1 || Task: None,(0.8, 8.5, 360.0)
YBassil,0,-4.1,140,1.724223,1.724223,Bank #1 || Task: None,(0.8, 8.4, 360.0)
YBassil,0,-4.1,141,1.730493,1.730493,Bank #1 || Task: None,(0.8, 8.4, 360.0)
YBassil,0,-4.1,142,1.737509,1.737509,Bank #1 || Task: None,(0.8, 8.3, 360.0)
YBassil,0,-4.1,143,1.744326,1.744326,Bank #1 || Task: None,(0.8, 8.3, 360.0)
YBassil,0,-4.1,144,1.751323,1.751323,Bank #1 || Task: None,(0.8, 8.2, 0.0)
YBassil,0,-4.1,145,1.75851,1.75851,Bank #1 || Task: None,(0.9, 8.2, 360.0)
YBassil,0,-4.1,146,1.766479,1.766479,Bank #1 || Task: None,(0.9, 8.2, 360.0)
YBassil,0,-4.1,147,1.77182,1.77182,Bank #1 || Task: None,(0.9, 8.1, 360.0)
YBassil,0,-4.1,148,1.779038,1.779038,Bank #1 || Task: None,(0.9, 8.1, 360.0)
YBassil,0,-4.1,149,1.786782,1.786782,Bank #1 || Task: None,(0.9, 8.1, 360.0)
YBassil,0,-4.1,150,1.792752,1.792752,Bank #1 || Task: None,(0.9, 8.0, 359.9)
YBassil,0,-4.1,151,1.799719,1.799719,Bank #1 || Task: None,(0.9, 8.0, 359.9)
YBassil,0,-4.1,152,1.81039,1.81039,Bank #1 || Task: None,(0.9, 8.0, 359.9)
YBassil,0,-4.1,153,1.814242,1.814242,Bank #1 || Task: None,(1.0, 8.0, 359.9)
YBassil,0,-4.1,154,1.82057,1.82057,Bank #1 || Task: None,(1.0, 7.9, 359.9)
YBassil,0,-4.1,155,1.827524,1.827524,Bank #1 || Task: None,(1.0, 7.9, 359.9)
YBassil,0,-4.1,156,1.83465,1.83465,Bank #1 || Task: None,(1.0, 7.9, 359.9)
YBassil,0,-4.1,157,1.841329,1.841329,Bank #1 || Task: None,(1.1, 7.9, 359.9)
YBassil,0,-4.1,158,1.848285,1.848285,Bank #1 || Task: None,(1.1, 7.9, 359.9)
YBassil,0,-4.1,159,1.855464,1.855464,Bank #1 || Task: None,(1.1, 7.8, 359.9)
YBassil,0,-4.1,160,1.862147,1.862147,Bank #1 || Task: None,(1.1, 7.8, 359.9)
YBassil,0,-4.1,161,1.869068,1.869068,Bank #1 || Task: None,(1.2, 7.8, 359.9)
YBassil,0,-4.1,162,1.876588,1.876588,Bank #1 || Task: None,(1.2, 7.8, 359.9)
YBassil,0,-4.1,163,1.883138,1.883138,Bank #1 || Task: None,(1.2, 7.8, 359.9)
YBassil,0,-4.1,164,1.890195,1.890195,Bank #1 || Task: None,(1.2, 7.8, 359.9)
YBassil,0,-4.1,165,1.897015,1.897015,Bank #1 || Task: None,(1.2, 7.7, 359.9)
YBassil,0,-4.1,166,1.904098,1.904098,Bank #1 || Task: None,(1.1, 7.7, 359.9)
YBassil,0,-4.1,167,1.911041,1.911041,Bank #1 || Task: None,(1.1, 7.7, 359.9)
YBassil,0,-4.1,168,1.917791,1.917791,Bank #1 || Task: None,(1.1, 7.7, 359.9)
YBassil,0,-4.1,169,1.924844,1.924844,Bank #1 || Task: None,(1.1, 7.7, 359.9)
YBassil,0,-4.1,170,1.932002,1.932002,Bank #1 || Task: None,(1.1, 7.7, 359.9)
YBassil,0,-4.1,171,1.938814,1.938814,Bank #1 || Task: None,(1.1, 7.7, 359.9)
YBassil,0,-4.1,172,1.946882,1.946882,Bank #1 || Task: None,(1.1, 7.7, 359.9)
YBassil,0,-4.1,173,1.952615,1.952615,Bank #1 || Task: None,(1.1, 7.6, 359.9)
YBassil,0,-4.1,174,1.959749,1.959749,Bank #1 || Task: None,(1.1, 7.6, 359.9)
YBassil,0,-4.1,175,1.967438,1.967438,Bank #1 || Task: None,(1.1, 7.6, 359.9)
YBassil,0,-4.1,176,1.973351,1.973351,Bank #1 || Task: None,(1.1, 7.6, 359.9)
YBassil,0,-4.1,177,1.980531,1.980531,Bank #1 || Task: None,(1.2, 7.6, 359.9)
YBassil,0,-4.1,178,1.987489,1.987489,Bank #1 || Task: None,(1.2, 7.6, 359.9)
YBassil,0,-4.1,179,1.994207,1.994207,Bank #1 || Task: None,(1.2, 7.6, 359.9)
YBassil,0,-4.1,180,2.001221,2.001221,Bank #1 || Task: None,(1.2, 7.6, 359.9)
YBassil,0,-4.1,181,2.008307,2.008307,Bank #1 || Task: None,(1.3, 7.5, 359.9)
YBassil,0,-4.1,182,2.015007,2.015007,Bank #1 || Task: None,(1.3, 7.5, 359.9)
YBassil,0,-4.1,183,2.022179,2.022179,Bank #1 || Task: None,(1.4, 7.5, 359.9)
YBassil,0,-4.1,184,2.028895,2.028895,Bank #1 || Task: None,(1.4, 7.5, 359.9)
YBassil,0,-4.1,185,2.035838,2.035838,Bank #1 || Task: None,(1.4, 7.5, 359.9)
YBassil,0,-4.1,186,2.043009,2.043009,Bank #1 || Task: None,(1.4, 7.5, 359.9)
YBassil,0,-4.1,187,2.049617,2.049617,Bank #1 || Task: None,(1.5, 7.5, 359.9)
YBassil,0,-4.1,188,2.056546,2.056546,Bank #1 || Task: None,(1.5, 7.5, 359.9)
YBassil,0,-4.1,189,2.063817,2.063817,Bank #1 || Task: None,(1.5, 7.4, 359.9)
YBassil,0,-4.1,190,2.070617,2.070617,Bank #1 || Task: None,(1.6, 7.4, 360.0)
YBassil,0,-4.1,191,2.077689,2.077689,Bank #1 || Task: None,(1.6, 7.4, 360.0)
YBassil,0,-4.1,192,2.084806,2.084806,Bank #1 || Task: None,(1.6, 7.4, 360.0)
YBassil,0,-4.1,193,2.091826,2.091826,Bank #1 || Task: None,(1.7, 7.4, 360.0)
YBassil,0,-4.1,194,2.098951,2.098951,Bank #1 || Task: None,(1.7, 7.3, 360.0)
YBassil,0,-4.1,195,2.106614,2.106614,Bank #1 || Task: None,(1.8, 7.3, 0.0)
YBassil,0,-4.1,196,2.112908,2.112908,Bank #1 || Task: None,(1.8, 7.3, 360.0)
YBassil,0,-4.1,197,2.119967,2.119967,Bank #1 || Task: None,(1.8, 7.3, 0.0)
YBassil,0,-4.1,198,2.126901,2.126901,Bank #1 || Task: None,(1.9, 7.3, 0.0)
YBassil,0,-4.1,199,2.13383,2.13383,Bank #1 || Task: None,(1.9, 7.2, 0.0)
YBassil,0,-4.1,200,2.141135,2.141135,Bank #1 || Task: None,(2.0, 7.2, 0.0)
YBassil,0,-4.1,201,2.147772,2.147772,Bank #1 || Task: None,(2.0, 7.2, 0.0)
YBassil,0,-4.1,202,2.154783,2.154783,Bank #1 || Task: None,(2.1, 7.2, 0.0)
YBassil,0,-4.1,203,2.161649,2.161649,Bank #1 || Task: None,(2.1, 7.1, 0.0)
YBassil,0,-4.1,204,2.169993,2.169993,Bank #1 || Task: None,(2.1, 7.1, 0.0)
YBassil,0,-4.1,205,2.175486,2.175486,Bank #1 || Task: None,(2.2, 7.0, 0.0)
YBassil,0,-4.1,206,2.182533,2.182533,Bank #1 || Task: None,(2.2, 7.0, 0.0)
YBassil,0,-4.1,207,2.189547,2.189547,Bank #1 || Task: None,(2.2, 7.0, 0.0)
YBassil,0,-4.1,208,2.196363,2.196363,Bank #1 || Task: None,(2.3, 7.0, 0.0)
YBassil,0,-4.1,209,2.203382,2.203382,Bank #1 || Task: None,(2.3, 6.9, 0.1)
YBassil,0,-4.1,210,2.210481,2.210481,Bank #1 || Task: None,(2.3, 6.9, 0.1)
YBassil,0,-4.1,211,2.217223,2.217223,Bank #1 || Task: None,(2.4, 6.9, 0.1)
YBassil,0,-4.1,212,2.22418,2.22418,Bank #1 || Task: None,(2.4, 6.8, 0.1)
YBassil,0,-4.1,213,2.231051,2.231051,Bank #1 || Task: None,(2.4, 6.8, 0.1)
YBassil,0,-4.1,214,2.238008,2.238008,Bank #1 || Task: None,(2.5, 6.7, 0.1)
YBassil,0,-4.1,215,2.244943,2.244943,Bank #1 || Task: None,(2.5, 6.7, 0.1)
YBassil,0,-4.1,216,2.252069,2.252069,Bank #1 || Task: None,(2.5, 6.6, 0.1)
YBassil,0,-4.1,217,2.258901,2.258901,Bank #1 || Task: None,(2.6, 6.6, 0.1)
