ParticipantID,X,Z,Frame,Total Time,Lapsed Time,Target Name,X Euler Angle,Y Euler Angle,Z Euler Angle
BNC17_Y1_t2,0,-4.1,0,0.02,0.02,Automobile shop,(0.0, 0.0, 0.0)
BNC17_Y1_t2,0,-4.1,1,0.04,0.04,Automobile shop,(0.0, 0.0, 0.0)
BNC17_Y1_t2,0,-4.1,2,0.06,0.06,Automobile shop,(0.0, 0.0, 0.0)
BNC17_Y1_t2,0,-4.1,3,0.3933333,0.3933333,Automobile shop,(353.6, 356.1, 1.1)
BNC17_Y1_t2,0,-4.1,4,0.4516048,0.4516048,Automobile shop,(348.2, 357.8, 359.5)
BNC17_Y1_t2,0,-4.1,5,0.4775026,0.4775026,Automobile shop,(347.9, 358.2, 359.4)
BNC17_Y1_t2,0,-4.1,6,0.4825571,0.4825571,Automobile shop,(347.8, 358.3, 359.4)
BNC17_Y1_t2,0,-4.1,7,0.4878487,0.4878487,Automobile shop,(347.8, 358.4, 359.4)
BNC17_Y1_t2,0,-4.1,8,0.4953602,0.4953602,Automobile shop,(347.7, 358.4, 359.4)
BNC17_Y1_t2,0,-4.1,9,0.5018638,0.5018638,Automobile shop,(347.7, 358.5, 359.4)
BNC17_Y1_t2,0,-4.1,10,0.5090885,0.5090885,Automobile shop,(347.6, 358.6, 359.4)
BNC17_Y1_t2,0,-4.1,11,0.515955,0.515955,Automobile shop,(347.6, 358.7, 359.4)
BNC17_Y1_t2,0,-4.1,12,0.5231534,0.5231534,Automobile shop,(347.6, 358.8, 359.3)
BNC17_Y1_t2,0,-4.1,13,0.5298481,0.5298481,Automobile shop,(347.6, 358.9, 359.3)
BNC17_Y1_t2,0,-4.1,14,0.5366788,0.5366788,Automobile shop,(347.6, 359.0, 359.3)
BNC17_Y1_t2,0,-4.1,15,0.5437972,0.5437972,Automobile shop,(347.6, 359.1, 359.3)
BNC17_Y1_t2,0,-4.1,16,0.5508532,0.5508532,Automobile shop,(347.7, 359.2, 359.3)
BNC17_Y1_t2,0,-4.1,17,0.5578143,0.5578143,Automobile shop,(347.8, 359.2, 359.3)
BNC17_Y1_t2,0,-4.1,18,0.564566,0.564566,Automobile shop,(347.9, 359.3, 359.3)
BNC17_Y1_t2,0,-4.1,19,0.5714358,0.5714358,Automobile shop,(347.9, 359.4, 359.3)
BNC17_Y1_t2,0,-4.1,20,0.5786882,0.5786882,Automobile shop,(348.1, 359.4, 359.3)
BNC17_Y1_t2,0,-4.1,21,0.5853632,0.5853632,Automobile shop,(348.2, 359.5, 359.3)
BNC17_Y1_t2,0,-4.1,22,0.5921868,0.5921868,Automobile shop,(348.3, 359.5, 359.4)
BNC17_Y1_t2,0,-4.1,23,0.5995644,0.5995644,Automobile shop,(348.5, 359.6, 359.4)
BNC17_Y1_t2,0,-4.1,24,0.6065378,0.6065378,Automobile shop,(348.7, 359.6, 359.4)
BNC17_Y1_t2,0,-4.1,25,0.6132043,0.6132043,Automobile shop,(348.9, 359.6, 359.4)
BNC17_Y1_t2,0,-4.1,26,0.6202538,0.6202538,Automobile shop,(349.1, 359.6, 359.5)
BNC17_Y1_t2,0,-4.1,27,0.6270392,0.6270392,Automobile shop,(349.3, 359.7, 359.5)
BNC17_Y1_t2,0,-4.1,28,0.6338872,0.6338872,Automobile shop,(349.4, 359.7, 359.5)
BNC17_Y1_t2,0,-4.1,29,0.6409484,0.6409484,Automobile shop,(349.6, 359.7, 359.6)
BNC17_Y1_t2,0,-4.1,30,0.9482682,0.9482682,Automobile shop,(357.5, 357.3, 0.5)
BNC17_Y1_t2,0,-4.1,31,0.9785044,0.9785044,Automobile shop,(0.2, 357.1, 0.4)
BNC17_Y1_t2,0,-4.1,32,0.9834723,0.9834723,Automobile shop,(0.8, 357.0, 0.4)
BNC17_Y1_t2,0,-4.1,33,0.9879633,0.9879633,Automobile shop,(1.3, 357.0, 0.4)
BNC17_Y1_t2,0,-4.1,34,0.9948897,0.9948897,Automobile shop,(1.7, 356.9, 0.3)
BNC17_Y1_t2,0,-4.1,35,1.001898,1.001898,Automobile shop,(2.2, 356.8, 0.3)
BNC17_Y1_t2,0,-4.1,36,1.008916,1.008916,Automobile shop,(2.5, 356.8, 0.3)
BNC17_Y1_t2,0,-4.1,37,1.015845,1.015845,Automobile shop,(2.9, 356.7, 0.2)
BNC17_Y1_t2,0,-4.1,38,1.022858,1.022858,Automobile shop,(3.1, 356.7, 0.2)
BNC17_Y1_t2,0,-4.1,39,1.029746,1.029746,Automobile shop,(3.4, 356.6, 0.1)
BNC17_Y1_t2,0,-4.1,40,1.036634,1.036634,Automobile shop,(3.7, 356.6, 0.1)
BNC17_Y1_t2,0,-4.1,41,1.043544,1.043544,Automobile shop,(3.9, 356.5, 0.0)
BNC17_Y1_t2,0,-4.1,42,1.050525,1.050525,Automobile shop,(4.2, 356.5, 0.0)
BNC17_Y1_t2,0,-4.1,43,1.057579,1.057579,Automobile shop,(4.4, 356.4, 360.0)
BNC17_Y1_t2,0,-4.1,44,1.064419,1.064419,Automobile shop,(4.7, 356.4, 359.9)
BNC17_Y1_t2,0,-4.1,45,1.071446,1.071446,Automobile shop,(4.9, 356.4, 359.9)
BNC17_Y1_t2,0,-4.1,46,1.078323,1.078323,Automobile shop,(5.2, 356.3, 359.9)
BNC17_Y1_t2,0,-4.1,47,1.085452,1.085452,Automobile shop,(5.4, 356.3, 359.8)
BNC17_Y1_t2,0,-4.1,48,1.092219,1.092219,Automobile shop,(5.5, 356.2, 359.8)
BNC17_Y1_t2,0,-4.1,49,1.099274,1.099274,Automobile shop,(5.7, 356.2, 359.7)
BNC17_Y1_t2,0,-4.1,50,1.106354,1.106354,Automobile shop,(5.8, 356.2, 359.7)
BNC17_Y1_t2,0,-4.1,51,1.115966,1.115966,Automobile shop,(5.9, 356.2, 359.7)
BNC17_Y1_t2,0,-4.1,52,1.119976,1.119976,Automobile shop,(6.0, 356.1, 359.6)
BNC17_Y1_t2,0,-4.1,53,1.126893,1.126893,Automobile shop,(6.1, 356.1, 359.6)
BNC17_Y1_t2,0,-4.1,54,1.133783,1.133783,Automobile shop,(6.2, 356.1, 359.6)
BNC17_Y1_t2,0,-4.1,55,1.140916,1.140916,Automobile shop,(6.2, 356.1, 359.6)
BNC17_Y1_t2,0,-4.1,56,1.147783,1.147783,Automobile shop,(6.3, 356.1, 359.6)
BNC17_Y1_t2,0,-4.1,57,1.154826,1.154826,Automobile shop,(6.4, 356.1, 359.6)
BNC17_Y1_t2,0,-4.1,58,1.161627,1.161627,Automobile shop,(6.4, 356.1, 359.6)
BNC17_Y1_t2,0,-4.1,59,1.16858,1.16858,Automobile shop,(6.4, 356.0, 359.6)
BNC17_Y1_t2,0,-4.1,60,1.175578,1.175578,Automobile shop,(6.5, 356.1, 359.6)
BNC17_Y1_t2,0,-4.1,61,1.182418,1.182418,Automobile shop,(6.5, 356.1, 359.6)
BNC17_Y1_t2,0,-4.1,62,1.189578,1.189578,Automobile shop,(6.5, 356.1, 359.6)
BNC17_Y1_t2,0,-4.1,63,1.196563,1.196563,Automobile shop,(6.5, 356.1, 359.6)
BNC17_Y1_t2,0,-4.1,64,1.203542,1.203542,Automobile shop,(6.5, 356.1, 359.6)
BNC17_Y1_t2,0,-4.1,65,1.210319,1.210319,Automobile shop,(6.5, 356.1, 359.6)
BNC17_Y1_t2,0,-4.1,66,1.217229,1.217229,Automobile shop,(6.5, 356.1, 359.6)
BNC17_Y1_t2,0,-4.1,67,1.224245,1.224245,Automobile shop,(6.5, 356.1, 359.6)
BNC17_Y1_t2,0,-4.1,68,1.231312,1.231312,Automobile shop,(6.5, 356.2, 359.6)
BNC17_Y1_t2,0,-4.1,69,1.23858,1.23858,Automobile shop,(6.4, 356.2, 359.6)
BNC17_Y1_t2,0,-4.1,70,1.245253,1.245253,Automobile shop,(6.4, 356.2, 359.6)
BNC17_Y1_t2,0,-4.1,71,1.252447,1.252447,Automobile shop,(6.3, 356.2, 359.6)
BNC17_Y1_t2,0,-4.1,72,1.258997,1.258997,Automobile shop,(6.2, 356.2, 359.6)
BNC17_Y1_t2,0,-4.1,73,1.266233,1.266233,Automobile shop,(6.2, 356.3, 359.6)
BNC17_Y1_t2,0,-4.1,74,1.273487,1.273487,Automobile shop,(6.1, 356.3, 359.7)
BNC17_Y1_t2,0,-4.1,75,1.280389,1.280389,Automobile shop,(5.9, 356.3, 359.7)
BNC17_Y1_t2,0,-4.1,76,1.287694,1.287694,Automobile shop,(5.8, 356.3, 359.7)
BNC17_Y1_t2,0,-4.1,77,1.294626,1.294626,Automobile shop,(5.6, 356.4, 359.7)
BNC17_Y1_t2,0,-4.1,78,1.301682,1.301682,Automobile shop,(5.4, 356.4, 359.7)
BNC17_Y1_t2,0,-4.1,79,1.308714,1.308714,Automobile shop,(5.2, 356.4, 359.7)
BNC17_Y1_t2,0,-4.1,80,1.315559,1.315559,Automobile shop,(4.9, 356.4, 359.7)
BNC17_Y1_t2,0,-4.1,81,1.322683,1.322683,Automobile shop,(4.6, 356.5, 359.8)
BNC17_Y1_t2,0,-4.1,82,1.329467,1.329467,Automobile shop,(4.3, 356.5, 359.8)
BNC17_Y1_t2,0,-4.1,83,1.336136,1.336136,Automobile shop,(4.0, 356.6, 359.8)
BNC17_Y1_t2,0,-4.1,84,1.343424,1.343424,Automobile shop,(3.7, 356.6, 359.8)
BNC17_Y1_t2,0,-4.1,85,1.350301,1.350301,Automobile shop,(3.3, 356.6, 359.8)
BNC17_Y1_t2,0,-4.1,86,1.357322,1.357322,Automobile shop,(3.0, 356.6, 359.9)
BNC17_Y1_t2,0,-4.1,87,1.364183,1.364183,Automobile shop,(2.6, 356.7, 359.9)
BNC17_Y1_t2,0,-4.1,88,1.371273,1.371273,Automobile shop,(2.1, 356.7, 359.9)
BNC17_Y1_t2,0,-4.1,89,1.378159,1.378159,Automobile shop,(1.6, 356.7, 359.9)
BNC17_Y1_t2,0,-4.1,90,1.384882,1.384882,Automobile shop,(1.1, 356.8, 360.0)
BNC17_Y1_t2,0,-4.1,91,1.391785,1.391785,Automobile shop,(0.5, 356.8, 360.0)
BNC17_Y1_t2,0,-4.1,92,1.399102,1.399102,Automobile shop,(360.0, 356.8, 0.0)
BNC17_Y1_t2,0,-4.1,93,1.406186,1.406186,Automobile shop,(359.4, 356.8, 0.0)
BNC17_Y1_t2,0,-4.1,94,1.412766,1.412766,Automobile shop,(358.8, 356.8, 0.0)
BNC17_Y1_t2,0,-4.1,95,1.419707,1.419707,Automobile shop,(358.1, 356.9, 0.0)
BNC17_Y1_t2,0,-4.1,96,1.426713,1.426713,Automobile shop,(357.4, 356.9, 0.1)
BNC17_Y1_t2,0,-4.1,97,1.433769,1.433769,Automobile shop,(356.8, 356.9, 0.1)
BNC17_Y1_t2,0,-4.1,98,1.440524,1.440524,Automobile shop,(356.0, 356.9, 0.1)
BNC17_Y1_t2,0,-4.1,99,1.447666,1.447666,Automobile shop,(355.3, 357.0, 0.1)
BNC17_Y1_t2,0,-4.1,100,1.454449,1.454449,Automobile shop,(354.5, 357.0, 0.1)
BNC17_Y1_t2,0,-4.1,101,1.461362,1.461362,Automobile shop,(353.8, 357.0, 0.1)
BNC17_Y1_t2,0,-4.1,102,1.468379,1.468379,Automobile shop,(353.0, 357.0, 0.1)
BNC17_Y1_t2,0,-4.1,103,1.475336,1.475336,Automobile shop,(352.3, 357.1, 0.1)
