ParticipantID,X,Z,Frame,Total Time,Lapsed Time,Target Name,X Euler Angle,Y Euler Angle,Z Euler Angle
BNC26_B3,0,-4.1,0,0.02,0.02,Automobile shop,(0.0, 0.0, 0.0)
BNC26_B3,0,-4.1,1,0.04,0.04,Automobile shop,(0.0, 0.0, 0.0)
BNC26_B3,0,-4.1,2,0.06,0.06,Automobile shop,(0.0, 0.0, 0.0)
BNC26_B3,0,-4.1,3,0.3933333,0.3933333,Automobile shop,(354.6, 7.6, 359.4)
BNC26_B3,0,-4.1,4,0.4412346,0.4412346,Automobile shop,(354.5, 5.7, 0.3)
BNC26_B3,0,-4.1,5,0.4505743,0.4505743,Automobile shop,(354.5, 5.6, 0.3)
BNC26_B3,0,-4.1,6,0.4557552,0.4557552,Automobile shop,(354.5, 5.6, 0.3)
BNC26_B3,0,-4.1,7,0.4619187,0.4619187,Automobile shop,(354.5, 5.6, 0.3)
BNC26_B3,0,-4.1,8,0.4688292,0.4688292,Automobile shop,(354.5, 5.6, 0.3)
BNC26_B3,0,-4.1,9,0.4755507,0.4755507,Automobile shop,(354.5, 5.6, 0.3)
BNC26_B3,0,-4.1,10,0.4824286,0.4824286,Automobile shop,(354.5, 5.6, 0.3)
BNC26_B3,0,-4.1,11,0.4893807,0.4893807,Automobile shop,(354.6, 5.6, 0.4)
BNC26_B3,0,-4.1,12,0.496186,0.496186,Automobile shop,(354.6, 5.5, 0.4)
BNC26_B3,0,-4.1,13,0.5031705,0.5031705,Automobile shop,(354.6, 5.5, 0.4)
BNC26_B3,0,-4.1,14,0.5104101,0.5104101,Automobile shop,(354.6, 5.5, 0.4)
BNC26_B3,0,-4.1,15,0.5170951,0.5170951,Automobile shop,(354.6, 5.5, 0.4)
BNC26_B3,0,-4.1,16,0.5241867,0.5241867,Automobile shop,(354.6, 5.5, 0.4)
BNC26_B3,0,-4.1,17,0.5311508,0.5311508,Automobile shop,(354.6, 5.5, 0.4)
BNC26_B3,0,-4.1,18,0.5381899,0.5381899,Automobile shop,(354.6, 5.4, 0.4)
BNC26_B3,0,-4.1,19,0.5451774,0.5451774,Automobile shop,(354.6, 5.4, 0.4)
BNC26_B3,0,-4.1,20,0.5518519,0.5518519,Automobile shop,(354.6, 5.4, 0.4)
BNC26_B3,0,-4.1,21,0.5590446,0.5590446,Automobile shop,(354.6, 5.4, 0.4)
BNC26_B3,0,-4.1,22,0.565865,0.565865,Automobile shop,(354.6, 5.4, 0.4)
BNC26_B3,0,-4.1,23,0.5731014,0.5731014,Automobile shop,(354.6, 5.4, 0.4)
BNC26_B3,0,-4.1,24,0.5797683,0.5797683,Automobile shop,(354.6, 5.4, 0.4)
BNC26_B3,0,-4.1,25,0.5868482,0.5868482,Automobile shop,(354.6, 5.4, 0.4)
BNC26_B3,0,-4.1,26,0.5939114,0.5939114,Automobile shop,(354.7, 5.3, 0.4)
BNC26_B3,0,-4.1,27,0.6008085,0.6008085,Automobile shop,(354.7, 5.3, 0.4)
BNC26_B3,0,-4.1,28,0.6076882,0.6076882,Automobile shop,(354.7, 5.3, 0.4)
BNC26_B3,0,-4.1,29,0.6144571,0.6144571,Automobile shop,(354.7, 5.3, 0.4)
BNC26_B3,0,-4.1,30,0.6216029,0.6216029,Automobile shop,(354.7, 5.3, 0.4)
BNC26_B3,0,-4.1,31,0.6284574,0.6284574,Automobile shop,(354.7, 5.3, 0.4)
BNC26_B3,0,-4.1,32,0.6352453,0.6352453,Automobile shop,(354.7, 5.3, 0.4)
BNC26_B3,0,-4.1,33,0.9551505,0.9551505,Automobile shop,(354.4, 5.9, 0.5)
BNC26_B3,0,-4.1,34,0.9846141,0.9846141,Automobile shop,(354.4, 6.0, 0.5)
BNC26_B3,0,-4.1,35,0.990037,0.990037,Automobile shop,(354.4, 6.1, 0.5)
BNC26_B3,0,-4.1,36,0.996489,0.996489,Automobile shop,(354.4, 6.1, 0.5)
BNC26_B3,0,-4.1,37,1.003657,1.003657,Automobile shop,(354.4, 6.1, 0.5)
BNC26_B3,0,-4.1,38,1.010573,1.010573,Automobile shop,(354.5, 6.2, 0.5)
BNC26_B3,0,-4.1,39,1.017363,1.017363,Automobile shop,(354.5, 6.2, 0.5)
BNC26_B3,0,-4.1,40,1.024588,1.024588,Automobile shop,(354.5, 6.2, 0.5)
BNC26_B3,0,-4.1,41,1.031251,1.031251,Automobile shop,(354.5, 6.2, 0.5)
BNC26_B3,0,-4.1,42,1.038476,1.038476,Automobile shop,(354.5, 6.3, 0.5)
BNC26_B3,0,-4.1,43,1.045276,1.045276,Automobile shop,(354.5, 6.3, 0.5)
BNC26_B3,0,-4.1,44,1.052082,1.052082,Automobile shop,(354.5, 6.3, 0.5)
BNC26_B3,0,-4.1,45,1.059186,1.059186,Automobile shop,(354.5, 6.3, 0.5)
BNC26_B3,0,-4.1,46,1.066012,1.066012,Automobile shop,(354.6, 6.3, 0.5)
BNC26_B3,0,-4.1,47,1.072921,1.072921,Automobile shop,(354.6, 6.4, 0.5)
BNC26_B3,0,-4.1,48,1.079999,1.079999,Automobile shop,(354.6, 6.4, 0.5)
BNC26_B3,0,-4.1,49,1.086907,1.086907,Automobile shop,(354.6, 6.4, 0.6)
BNC26_B3,0,-4.1,50,1.093822,1.093822,Automobile shop,(354.6, 6.4, 0.6)
BNC26_B3,0,-4.1,51,1.100855,1.100855,Automobile shop,(354.6, 6.4, 0.6)
BNC26_B3,0,-4.1,52,1.107851,1.107851,Automobile shop,(354.6, 6.5, 0.6)
BNC26_B3,0,-4.1,53,1.11469,1.11469,Automobile shop,(354.6, 6.5, 0.5)
BNC26_B3,0,-4.1,54,1.121591,1.121591,Automobile shop,(354.5, 6.5, 0.5)
BNC26_B3,0,-4.1,55,1.128521,1.128521,Automobile shop,(354.5, 6.5, 0.5)
BNC26_B3,0,-4.1,56,1.135434,1.135434,Automobile shop,(354.5, 6.5, 0.5)
BNC26_B3,0,-4.1,57,1.142462,1.142462,Automobile shop,(354.5, 6.5, 0.5)
BNC26_B3,0,-4.1,58,1.149351,1.149351,Automobile shop,(354.5, 6.5, 0.5)
BNC26_B3,0,-4.1,59,1.156347,1.156347,Automobile shop,(354.5, 6.6, 0.5)
BNC26_B3,0,-4.1,60,1.163505,1.163505,Automobile shop,(354.5, 6.6, 0.5)
