ParticipantID,X,Z,Frame,Total Time,Lapsed Time,Target Name,X Euler Angle,Y Euler Angle,Z Euler Angle
BNC39_t2,0,-4.1,0,0.02,0.02,Automobile shop,(0.0, 0.0, 0.0)
BNC39_t2,0,-4.1,1,0.04,0.04,Automobile shop,(0.0, 0.0, 0.0)
BNC39_t2,0,-4.1,2,0.06,0.06,Automobile shop,(0.0, 0.0, 0.0)
BNC39_t2,0,-4.1,3,0.3933333,0.3933333,Automobile shop,(358.6, 0.1, 353.2)
BNC39_t2,0,-4.1,4,0.4466957,0.4466957,Automobile shop,(352.6, 2.9, 352.1)
BNC39_t2,0,-4.1,5,0.457358,0.457358,Automobile shop,(352.7, 2.8, 352.1)
BNC39_t2,0,-4.1,6,0.461748,0.461748,Automobile shop,(352.7, 2.8, 352.1)
BNC39_t2,0,-4.1,7,0.4654125,0.4654125,Automobile shop,(352.8, 2.8, 352.1)
BNC39_t2,0,-4.1,8,0.4729055,0.4729055,Automobile shop,(352.8, 2.7, 352.1)
BNC39_t2,0,-4.1,9,0.4794955,0.4794955,Automobile shop,(352.8, 2.7, 352.1)
BNC39_t2,0,-4.1,10,0.4863308,0.4863308,Automobile shop,(352.9, 2.6, 352.1)
BNC39_t2,0,-4.1,11,0.4934803,0.4934803,Automobile shop,(352.9, 2.6, 352.2)
BNC39_t2,0,-4.1,12,0.5006067,0.5006067,Automobile shop,(353.0, 2.5, 352.2)
BNC39_t2,0,-4.1,13,0.5072171,0.5072171,Automobile shop,(353.0, 2.4, 352.2)
BNC39_t2,0,-4.1,14,0.5143656,0.5143656,Automobile shop,(353.1, 2.3, 352.2)
BNC39_t2,0,-4.1,15,0.5210326,0.5210326,Automobile shop,(353.1, 2.3, 352.2)
BNC39_t2,0,-4.1,16,0.5281705,0.5281705,Automobile shop,(353.1, 2.2, 352.2)
BNC39_t2,0,-4.1,17,0.5374493,0.5374493,Automobile shop,(353.2, 2.1, 352.2)
BNC39_t2,0,-4.1,18,0.5448703,0.5448703,Automobile shop,(353.2, 1.9, 352.2)
BNC39_t2,0,-4.1,19,0.5490798,0.5490798,Automobile shop,(353.3, 1.8, 352.2)
BNC39_t2,0,-4.1,20,0.555934,0.555934,Automobile shop,(353.3, 1.7, 352.2)
BNC39_t2,0,-4.1,21,0.5629723,0.5629723,Automobile shop,(353.3, 1.6, 352.2)
BNC39_t2,0,-4.1,22,0.5696559,0.5696559,Automobile shop,(353.3, 1.5, 352.2)
BNC39_t2,0,-4.1,23,0.5768069,0.5768069,Automobile shop,(353.3, 1.3, 352.2)
BNC39_t2,0,-4.1,24,0.5835896,0.5835896,Automobile shop,(353.3, 1.2, 352.2)
BNC39_t2,0,-4.1,25,0.590554,0.590554,Automobile shop,(353.3, 1.1, 352.2)
BNC39_t2,0,-4.1,26,0.5975332,0.5975332,Automobile shop,(353.3, 1.0, 352.2)
BNC39_t2,0,-4.1,27,0.6044638,0.6044638,Automobile shop,(353.4, 0.9, 352.2)
BNC39_t2,0,-4.1,28,0.6116919,0.6116919,Automobile shop,(353.4, 0.8, 352.2)
BNC39_t2,0,-4.1,29,0.6182042,0.6182042,Automobile shop,(353.4, 0.7, 352.2)
BNC39_t2,0,-4.1,30,0.6254014,0.6254014,Automobile shop,(353.4, 0.6, 352.2)
