ParticipantID,X,Z,Frame,Total Time,Lapsed Time,Target Name,X Euler Angle,Y Euler Angle,Z Euler Angle
j4748774_t1,0,-4.1,0,0.02,0.02,Automobile shop,(0.0, 0.0, 0.0)
j4748774_t1,0,-4.1,1,0.04,0.04,Automobile shop,(0.0, 0.0, 0.0)
j4748774_t1,0,-4.1,2,0.06,0.06,Automobile shop,(0.0, 0.0, 0.0)
j4748774_t1,0,-4.1,3,0.3933333,0.3933333,Automobile shop,(341.7, 308.5, 359.2)
j4748774_t1,0,-4.1,4,0.4501874,0.4501874,Automobile shop,(341.7, 308.5, 359.2)
j4748774_t1,0,-4.1,5,0.4610637,0.4610637,Automobile shop,(341.7, 308.5, 359.2)
j4748774_t1,0,-4.1,6,0.4657394,0.4657394,Automobile shop,(341.7, 308.5, 359.2)
j4748774_t1,0,-4.1,7,0.471877,0.471877,Automobile shop,(341.7, 308.5, 359.2)
j4748774_t1,0,-4.1,8,0.4790928,0.4790928,Automobile shop,(341.7, 308.5, 359.2)
j4748774_t1,0,-4.1,9,0.4853954,0.4853954,Automobile shop,(341.7, 308.5, 359.2)
j4748774_t1,0,-4.1,10,0.4925831,0.4925831,Automobile shop,(341.7, 308.5, 359.2)
j4748774_t1,0,-4.1,11,0.4998418,0.4998418,Automobile shop,(341.7, 308.5, 359.2)
j4748774_t1,0,-4.1,12,0.5062798,0.5062798,Automobile shop,(341.7, 308.5, 359.2)
j4748774_t1,0,-4.1,13,0.5132487,0.5132487,Automobile shop,(341.7, 308.5, 359.2)
j4748774_t1,0,-4.1,14,0.5199879,0.5199879,Automobile shop,(341.7, 308.5, 359.2)
j4748774_t1,0,-4.1,15,0.5273102,0.5273102,Automobile shop,(341.7, 308.5, 359.2)
j4748774_t1,0,-4.1,16,0.534291,0.534291,Automobile shop,(341.7, 308.5, 359.2)
j4748774_t1,0,-4.1,17,0.541105,0.541105,Automobile shop,(341.7, 308.5, 359.2)
j4748774_t1,0,-4.1,18,0.5481763,0.5481763,Automobile shop,(341.7, 308.5, 359.2)
j4748774_t1,0,-4.1,19,0.5551292,0.5551292,Automobile shop,(341.7, 308.5, 359.2)
j4748774_t1,0,-4.1,20,0.5620441,0.5620441,Automobile shop,(341.7, 308.5, 359.2)
j4748774_t1,0,-4.1,21,0.5691086,0.5691086,Automobile shop,(341.7, 308.5, 359.2)
j4748774_t1,0,-4.1,22,0.5760321,0.5760321,Automobile shop,(341.7, 308.5, 359.2)
j4748774_t1,0,-4.1,23,0.5828648,0.5828648,Automobile shop,(341.7, 308.5, 359.2)
j4748774_t1,0,-4.1,24,0.5897247,0.5897247,Automobile shop,(341.7, 308.5, 359.2)
j4748774_t1,0,-4.1,25,0.5967962,0.5967962,Automobile shop,(341.7, 308.5, 359.2)
j4748774_t1,0,-4.1,26,0.6037003,0.6037003,Automobile shop,(341.7, 308.5, 359.2)
j4748774_t1,0,-4.1,27,0.6105087,0.6105087,Automobile shop,(341.7, 308.5, 359.2)
j4748774_t1,0,-4.1,28,0.617457,0.617457,Automobile shop,(341.7, 308.5, 359.2)
j4748774_t1,0,-4.1,29,0.6244435,0.6244435,Automobile shop,(341.7, 308.5, 359.2)
j4748774_t1,0,-4.1,30,0.6314387,0.6314387,Automobile shop,(341.7, 308.5, 359.2)
j4748774_t1,0,-4.1,31,0.6384853,0.6384853,Automobile shop,(341.7, 308.5, 359.2)
j4748774_t1,0,-4.1,32,0.8058305,0.8058305,Automobile shop,(341.7, 308.5, 359.2)
j4748774_t1,0,-4.1,33,0.8347778,0.8347778,Automobile shop,(341.7, 308.5, 359.2)
j4748774_t1,0,-4.1,34,0.847434,0.847434,Automobile shop,(341.7, 308.5, 359.2)
j4748774_t1,0,-4.1,35,0.8539023,0.8539023,Automobile shop,(341.7, 308.5, 359.2)
j4748774_t1,0,-4.1,36,0.8606687,0.8606687,Automobile shop,(341.7, 308.5, 359.2)
j4748774_t1,0,-4.1,37,0.8677715,0.8677715,Automobile shop,(341.7, 308.5, 359.2)
j4748774_t1,0,-4.1,38,0.8747576,0.8747576,Automobile shop,(341.7, 308.5, 359.2)
j4748774_t1,0,-4.1,39,0.8817836,0.8817836,Automobile shop,(341.7, 308.5, 359.2)
j4748774_t1,0,-4.1,40,0.8884696,0.8884696,Automobile shop,(341.7, 308.5, 359.2)
j4748774_t1,0,-4.1,41,0.8953874,0.8953874,Automobile shop,(341.7, 308.5, 359.2)
j4748774_t1,0,-4.1,42,0.9023412,0.9023412,Automobile shop,(341.7, 308.5, 359.2)
j4748774_t1,0,-4.1,43,0.9093516,0.9093516,Automobile shop,(341.7, 308.5, 359.2)
j4748774_t1,0,-4.1,44,0.9162533,0.9162533,Automobile shop,(341.7, 308.5, 359.2)
j4748774_t1,0,-4.1,45,0.9231488,0.9231488,Automobile shop,(341.7, 308.5, 359.2)
j4748774_t1,0,-4.1,46,0.9302198,0.9302198,Automobile shop,(341.7, 308.5, 359.2)
j4748774_t1,0,-4.1,47,0.9369971,0.9369971,Automobile shop,(341.7, 308.5, 359.2)
j4748774_t1,0,-4.1,48,0.9441534,0.9441534,Automobile shop,(341.7, 308.5, 359.2)
j4748774_t1,0,-4.1,49,0.951088,0.951088,Automobile shop,(341.7, 308.5, 359.2)
j4748774_t1,0,-4.1,50,0.9582168,0.9582168,Automobile shop,(341.7, 308.5, 359.2)
j4748774_t1,0,-4.1,51,0.9648754,0.9648754,Automobile shop,(341.7, 308.5, 359.2)
j4748774_t1,0,-4.1,52,0.971924,0.971924,Automobile shop,(341.7, 308.5, 359.2)
j4748774_t1,0,-4.1,53,0.9787978,0.9787978,Automobile shop,(341.7, 308.5, 359.2)
j4748774_t1,0,-4.1,54,0.9856784,0.9856784,Automobile shop,(341.7, 308.5, 359.2)
j4748774_t1,0,-4.1,55,0.9927599,0.9927599,Automobile shop,(341.7, 308.5, 359.2)
j4748774_t1,0,-4.1,56,0.9995649,0.9995649,Automobile shop,(341.7, 308.5, 359.2)
j4748774_t1,0,-4.1,57,1.00653,1.00653,Automobile shop,(341.7, 308.5, 359.2)
j4748774_t1,0,-4.1,58,1.013634,1.013634,Automobile shop,(341.7, 308.5, 359.2)
j4748774_t1,0,-4.1,59,1.020387,1.020387,Automobile shop,(341.7, 308.5, 359.2)
j4748774_t1,0,-4.1,60,1.027334,1.027334,Automobile shop,(341.7, 308.5, 359.2)
j4748774_t1,0,-4.1,61,1.03431,1.03431,Automobile shop,(341.7, 308.5, 359.2)
j4748774_t1,0,-4.1,62,1.041183,1.041183,Automobile shop,(341.7, 308.5, 359.2)
j4748774_t1,0,-4.1,63,1.048147,1.048147,Automobile shop,(341.7, 308.5, 359.2)
j4748774_t1,0,-4.1,64,1.055342,1.055342,Automobile shop,(341.7, 308.5, 359.2)
j4748774_t1,0,-4.1,65,1.062473,1.062473,Automobile shop,(341.7, 308.5, 359.2)
j4748774_t1,0,-4.1,66,1.069539,1.069539,Automobile shop,(341.7, 308.5, 359.2)
j4748774_t1,0,-4.1,67,1.076594,1.076594,Automobile shop,(341.7, 308.5, 359.2)
j4748774_t1,0,-4.1,68,1.083906,1.083906,Automobile shop,(341.7, 308.5, 359.2)
j4748774_t1,0,-4.1,69,1.090667,1.090667,Automobile shop,(341.7, 308.5, 359.2)
j4748774_t1,0,-4.1,70,1.097794,1.097794,Automobile shop,(341.7, 308.5, 359.2)
j4748774_t1,0,-4.1,71,1.104685,1.104685,Automobile shop,(341.7, 308.5, 359.2)
j4748774_t1,0,-4.1,72,1.111589,1.111589,Automobile shop,(341.7, 308.5, 359.2)
j4748774_t1,0,-4.1,73,1.118567,1.118567,Automobile shop,(341.7, 308.5, 359.2)
j4748774_t1,0,-4.1,74,1.125458,1.125458,Automobile shop,(341.7, 308.5, 359.2)
j4748774_t1,0,-4.1,75,1.132385,1.132385,Automobile shop,(341.7, 308.5, 359.2)
j4748774_t1,0,-4.1,76,1.139363,1.139363,Automobile shop,(341.7, 308.5, 359.2)
j4748774_t1,0,-4.1,77,1.146364,1.146364,Automobile shop,(341.7, 308.5, 359.2)
