ParticipantID,X,Z,Frame,Total Time,Lapsed Time,Target Name,X Euler Angle,Y Euler Angle,Z Euler Angle
BNC29_t3,0,-4.1,0,0.02,0.02,Automobile shop,(0.0, 0.0, 0.0)
BNC29_t3,0,-4.1,1,0.04,0.04,Automobile shop,(0.0, 0.0, 0.0)
BNC29_t3,0,-4.1,2,0.06,0.06,Automobile shop,(0.0, 0.0, 0.0)
BNC29_t3,0,-4.1,3,0.3933333,0.3933333,Automobile shop,(331.9, 299.6, 358.6)
BNC29_t3,0,-4.1,4,0.4462377,0.4462377,Automobile shop,(349.8, 336.3, 355.4)
BNC29_t3,0,-4.1,5,0.4561947,0.4561947,Automobile shop,(350.0, 336.9, 355.4)
BNC29_t3,0,-4.1,6,0.4619561,0.4619561,Automobile shop,(350.2, 337.6, 355.4)
BNC29_t3,0,-4.1,7,0.46588,0.46588,Automobile shop,(350.4, 338.2, 355.4)
BNC29_t3,0,-4.1,8,0.4699654,0.4699654,Automobile shop,(350.6, 338.7, 355.5)
BNC29_t3,0,-4.1,9,0.4763531,0.4763531,Automobile shop,(350.8, 339.3, 355.5)
BNC29_t3,0,-4.1,10,0.483363,0.483363,Automobile shop,(350.9, 339.8, 355.5)
BNC29_t3,0,-4.1,11,0.4903426,0.4903426,Automobile shop,(351.1, 340.3, 355.5)
BNC29_t3,0,-4.1,12,0.4973859,0.4973859,Automobile shop,(351.2, 340.9, 355.6)
BNC29_t3,0,-4.1,13,0.5041505,0.5041505,Automobile shop,(351.3, 341.3, 355.6)
BNC29_t3,0,-4.1,14,0.5111284,0.5111284,Automobile shop,(351.4, 341.8, 355.6)
BNC29_t3,0,-4.1,15,0.5181364,0.5181364,Automobile shop,(351.5, 342.2, 355.6)
BNC29_t3,0,-4.1,16,0.5249707,0.5249707,Automobile shop,(351.6, 342.6, 355.6)
BNC29_t3,0,-4.1,17,0.5321497,0.5321497,Automobile shop,(351.7, 343.0, 355.5)
BNC29_t3,0,-4.1,18,0.5389404,0.5389404,Automobile shop,(351.8, 343.4, 355.5)
BNC29_t3,0,-4.1,19,0.5462065,0.5462065,Automobile shop,(351.9, 343.7, 355.5)
BNC29_t3,0,-4.1,20,0.55278,0.55278,Automobile shop,(352.1, 344.1, 355.5)
BNC29_t3,0,-4.1,21,0.5596157,0.5596157,Automobile shop,(352.2, 344.4, 355.5)
BNC29_t3,0,-4.1,22,0.566656,0.566656,Automobile shop,(352.2, 344.7, 355.5)
BNC29_t3,0,-4.1,23,0.5737468,0.5737468,Automobile shop,(352.3, 344.9, 355.5)
BNC29_t3,0,-4.1,24,0.5806972,0.5806972,Automobile shop,(352.4, 345.2, 355.4)
BNC29_t3,0,-4.1,25,0.5875037,0.5875037,Automobile shop,(352.4, 345.4, 355.4)
BNC29_t3,0,-4.1,26,0.5944576,0.5944576,Automobile shop,(352.5, 345.7, 355.4)
BNC29_t3,0,-4.1,27,0.6014308,0.6014308,Automobile shop,(352.6, 345.9, 355.4)
BNC29_t3,0,-4.1,28,0.6084695,0.6084695,Automobile shop,(352.6, 346.2, 355.4)
BNC29_t3,0,-4.1,29,0.6152381,0.6152381,Automobile shop,(352.7, 346.4, 355.4)
BNC29_t3,0,-4.1,30,0.6220773,0.6220773,Automobile shop,(352.7, 346.6, 355.4)
BNC29_t3,0,-4.1,31,0.6291921,0.6291921,Automobile shop,(352.8, 346.8, 355.4)
BNC29_t3,0,-4.1,32,0.6360468,0.6360468,Automobile shop,(352.8, 347.0, 355.4)
BNC29_t3,0,-4.1,33,0.642891,0.642891,Automobile shop,(352.8, 347.1, 355.4)
BNC29_t3,0,-4.1,34,0.9470676,0.9470676,Automobile shop,(356.2, 355.1, 356.0)
BNC29_t3,0,-4.1,35,0.9753609,0.9753609,Automobile shop,(356.2, 355.9, 356.0)
BNC29_t3,0,-4.1,36,0.9827439,0.9827439,Automobile shop,(356.0, 356.0, 356.1)
BNC29_t3,0,-4.1,37,0.9866615,0.9866615,Automobile shop,(355.9, 356.2, 356.1)
BNC29_t3,0,-4.1,38,0.9905042,0.9905042,Automobile shop,(355.6, 356.3, 356.2)
BNC29_t3,0,-4.1,39,0.997484,0.997484,Automobile shop,(355.2, 356.4, 356.2)
BNC29_t3,0,-4.1,40,1.004378,1.004378,Automobile shop,(354.8, 356.5, 356.3)
BNC29_t3,0,-4.1,41,1.011312,1.011312,Automobile shop,(354.3, 356.7, 356.3)
BNC29_t3,0,-4.1,42,1.018213,1.018213,Automobile shop,(353.7, 356.8, 356.4)
BNC29_t3,0,-4.1,43,1.025289,1.025289,Automobile shop,(353.1, 356.9, 356.4)
BNC29_t3,0,-4.1,44,1.032169,1.032169,Automobile shop,(352.3, 357.0, 356.4)
BNC29_t3,0,-4.1,45,1.03907,1.03907,Automobile shop,(351.6, 357.1, 356.4)
BNC29_t3,0,-4.1,46,1.046104,1.046104,Automobile shop,(350.8, 357.1, 356.4)
BNC29_t3,0,-4.1,47,1.053057,1.053057,Automobile shop,(350.0, 357.2, 356.4)
BNC29_t3,0,-4.1,48,1.05996,1.05996,Automobile shop,(349.2, 357.2, 356.4)
BNC29_t3,0,-4.1,49,1.066911,1.066911,Automobile shop,(348.5, 357.3, 356.5)
BNC29_t3,0,-4.1,50,1.073807,1.073807,Automobile shop,(347.7, 357.3, 356.4)
BNC29_t3,0,-4.1,51,1.080862,1.080862,Automobile shop,(347.0, 357.3, 356.4)
BNC29_t3,0,-4.1,52,1.087657,1.087657,Automobile shop,(346.4, 357.3, 356.4)
BNC29_t3,0,-4.1,53,1.094751,1.094751,Automobile shop,(345.8, 357.3, 356.4)
BNC29_t3,0,-4.1,54,1.101841,1.101841,Automobile shop,(345.2, 357.3, 356.4)
BNC29_t3,0,-4.1,55,1.108581,1.108581,Automobile shop,(344.6, 357.3, 356.3)
BNC29_t3,0,-4.1,56,1.115669,1.115669,Automobile shop,(344.1, 357.2, 356.3)
BNC29_t3,0,-4.1,57,1.122425,1.122425,Automobile shop,(343.6, 357.2, 356.3)
BNC29_t3,0,-4.1,58,1.129397,1.129397,Automobile shop,(343.2, 357.2, 356.2)
BNC29_t3,0,-4.1,59,1.136326,1.136326,Automobile shop,(342.7, 357.2, 356.2)
BNC29_t3,0,-4.1,60,1.143412,1.143412,Automobile shop,(342.3, 357.1, 356.2)
BNC29_t3,0,-4.1,61,1.150226,1.150226,Automobile shop,(341.9, 357.1, 356.3)
BNC29_t3,0,-4.1,62,1.157107,1.157107,Automobile shop,(341.5, 357.1, 356.3)
BNC29_t3,0,-4.1,63,1.164237,1.164237,Automobile shop,(341.2, 357.0, 356.3)
BNC29_t3,0,-4.1,64,1.171036,1.171036,Automobile shop,(340.9, 357.0, 356.3)
BNC29_t3,0,-4.1,65,1.178269,1.178269,Automobile shop,(340.6, 356.9, 356.3)
BNC29_t3,0,-4.1,66,1.184945,1.184945,Automobile shop,(340.3, 356.9, 356.3)
BNC29_t3,0,-4.1,67,1.191931,1.191931,Automobile shop,(340.1, 356.8, 356.3)
BNC29_t3,0,-4.1,68,1.19907,1.19907,Automobile shop,(339.8, 356.8, 356.4)
BNC29_t3,0,-4.1,69,1.205921,1.205921,Automobile shop,(339.6, 356.8, 356.4)
BNC29_t3,0,-4.1,70,1.21281,1.21281,Automobile shop,(339.4, 356.7, 356.4)
BNC29_t3,0,-4.1,71,1.21973,1.21973,Automobile shop,(339.3, 356.7, 356.4)
BNC29_t3,0,-4.1,72,1.226799,1.226799,Automobile shop,(339.1, 356.6, 356.5)
BNC29_t3,0,-4.1,73,1.23363,1.23363,Automobile shop,(338.9, 356.6, 356.5)
BNC29_t3,0,-4.1,74,1.240538,1.240538,Automobile shop,(338.8, 356.6, 356.5)
BNC29_t3,0,-4.1,75,1.247747,1.247747,Automobile shop,(338.6, 356.5, 356.5)
BNC29_t3,0,-4.1,76,1.254547,1.254547,Automobile shop,(338.4, 356.5, 356.5)
BNC29_t3,0,-4.1,77,1.261327,1.261327,Automobile shop,(338.2, 356.5, 356.5)
BNC29_t3,0,-4.1,78,1.268265,1.268265,Automobile shop,(337.9, 356.5, 356.6)
BNC29_t3,0,-4.1,79,1.275216,1.275216,Automobile shop,(337.7, 356.5, 356.6)
BNC29_t3,0,-4.1,80,1.282107,1.282107,Automobile shop,(337.5, 356.5, 356.6)
BNC29_t3,0,-4.1,81,1.289114,1.289114,Automobile shop,(337.3, 356.5, 356.6)
BNC29_t3,0,-4.1,82,1.296095,1.296095,Automobile shop,(337.1, 356.5, 356.7)
BNC29_t3,0,-4.1,83,1.30315,1.30315,Automobile shop,(336.9, 356.4, 356.7)
BNC29_t3,0,-4.1,84,1.310142,1.310142,Automobile shop,(336.8, 356.4, 356.7)
BNC29_t3,0,-4.1,85,1.317336,1.317336,Automobile shop,(336.6, 356.4, 356.7)
BNC29_t3,0,-4.1,86,1.324376,1.324376,Automobile shop,(336.5, 356.5, 356.7)
BNC29_t3,0,-4.1,87,1.331803,1.331803,Automobile shop,(336.4, 356.5, 356.7)
BNC29_t3,0,-4.1,88,1.338663,1.338663,Automobile shop,(336.2, 356.5, 356.7)
BNC29_t3,0,-4.1,89,1.345579,1.345579,Automobile shop,(336.1, 356.5, 356.7)
BNC29_t3,0,-4.1,90,1.352664,1.352664,Automobile shop,(335.9, 356.5, 356.7)
BNC29_t3,0,-4.1,91,1.359478,1.359478,Automobile shop,(335.8, 356.5, 356.7)
BNC29_t3,0,-4.1,92,1.366489,1.366489,Automobile shop,(335.6, 356.5, 356.7)
BNC29_t3,0,-4.1,93,1.373511,1.373511,Automobile shop,(335.4, 356.5, 356.7)
BNC29_t3,0,-4.1,94,1.380511,1.380511,Automobile shop,(335.2, 356.6, 356.6)
BNC29_t3,0,-4.1,95,1.387277,1.387277,Automobile shop,(335.0, 356.6, 356.6)
BNC29_t3,0,-4.1,96,1.394111,1.394111,Automobile shop,(334.9, 356.6, 356.6)
BNC29_t3,0,-4.1,97,1.401199,1.401199,Automobile shop,(334.7, 356.7, 356.6)
BNC29_t3,0,-4.1,98,1.408213,1.408213,Automobile shop,(334.5, 356.7, 356.5)
BNC29_t3,0,-4.1,99,1.415464,1.415464,Automobile shop,(334.4, 356.7, 356.5)
BNC29_t3,0,-4.1,100,1.421941,1.421941,Automobile shop,(334.2, 356.8, 356.4)
BNC29_t3,0,-4.1,101,1.4289,1.4289,Automobile shop,(334.1, 356.8, 356.4)
BNC29_t3,0,-4.1,102,1.435836,1.435836,Automobile shop,(334.0, 356.8, 356.3)
BNC29_t3,0,-4.1,103,1.442785,1.442785,Automobile shop,(333.9, 356.8, 356.3)
BNC29_t3,0,-4.1,104,1.449681,1.449681,Automobile shop,(333.8, 356.9, 356.2)
BNC29_t3,0,-4.1,105,1.456855,1.456855,Automobile shop,(333.6, 356.9, 356.2)
BNC29_t3,0,-4.1,106,1.463663,1.463663,Automobile shop,(333.6, 356.9, 356.1)
BNC29_t3,0,-4.1,107,1.470537,1.470537,Automobile shop,(333.5, 357.0, 356.0)
BNC29_t3,0,-4.1,108,1.477374,1.477374,Automobile shop,(333.4, 357.0, 356.0)
BNC29_t3,0,-4.1,109,1.48468,1.48468,Automobile shop,(333.3, 357.0, 355.9)
BNC29_t3,0,-4.1,110,1.491437,1.491437,Automobile shop,(333.2, 357.1, 355.8)
BNC29_t3,0,-4.1,111,1.498259,1.498259,Automobile shop,(333.1, 357.1, 355.8)
BNC29_t3,0,-4.1,112,1.505261,1.505261,Automobile shop,(333.0, 357.2, 355.7)
BNC29_t3,0,-4.1,113,1.512186,1.512186,Automobile shop,(332.9, 357.3, 355.6)
BNC29_t3,0,-4.1,114,1.519102,1.519102,Automobile shop,(332.8, 357.3, 355.6)
BNC29_t3,0,-4.1,115,1.526192,1.526192,Automobile shop,(332.7, 357.4, 355.5)
BNC29_t3,0,-4.1,116,1.533006,1.533006,Automobile shop,(332.6, 357.4, 355.5)
BNC29_t3,0,-4.1,117,1.539941,1.539941,Automobile shop,(332.5, 357.5, 355.4)
BNC29_t3,0,-4.1,118,1.546947,1.546947,Automobile shop,(332.4, 357.6, 355.3)
BNC29_t3,0,-4.1,119,1.553879,1.553879,Automobile shop,(332.4, 357.7, 355.3)
BNC29_t3,0,-4.1,120,1.560768,1.560768,Automobile shop,(332.3, 357.7, 355.2)
BNC29_t3,0,-4.1,121,1.567827,1.567827,Automobile shop,(332.2, 357.8, 355.2)
BNC29_t3,0,-4.1,122,1.574743,1.574743,Automobile shop,(332.2, 357.9, 355.2)
BNC29_t3,0,-4.1,123,1.581738,1.581738,Automobile shop,(332.1, 357.9, 355.1)
BNC29_t3,0,-4.1,124,1.588668,1.588668,Automobile shop,(332.1, 358.0, 355.1)
BNC29_t3,0,-4.1,125,1.595565,1.595565,Automobile shop,(332.0, 358.1, 355.1)
BNC29_t3,0,-4.1,126,1.602502,1.602502,Automobile shop,(332.0, 358.2, 355.0)
BNC29_t3,0,-4.1,127,1.609391,1.609391,Automobile shop,(332.0, 358.2, 355.0)
BNC29_t3,0,-4.1,128,1.616339,1.616339,Automobile shop,(331.9, 358.3, 355.0)
BNC29_t3,0,-4.1,129,1.6233,1.6233,Automobile shop,(331.9, 358.4, 354.9)
BNC29_t3,0,-4.1,130,1.630238,1.630238,Automobile shop,(331.9, 358.4, 354.9)
BNC29_t3,0,-4.1,131,1.637254,1.637254,Automobile shop,(331.9, 358.5, 354.9)
BNC29_t3,0,-4.1,132,1.644202,1.644202,Automobile shop,(331.9, 358.6, 354.8)
BNC29_t3,0,-4.1,133,1.65106,1.65106,Automobile shop,(331.9, 358.6, 354.8)
BNC29_t3,0,-4.1,134,1.657997,1.657997,Automobile shop,(332.0, 358.7, 354.8)
BNC29_t3,0,-4.1,135,1.664972,1.664972,Automobile shop,(332.0, 358.7, 354.7)
BNC29_t3,0,-4.1,136,1.671854,1.671854,Automobile shop,(332.1, 358.8, 354.7)
BNC29_t3,0,-4.1,137,1.678932,1.678932,Automobile shop,(332.1, 358.8, 354.6)
BNC29_t3,0,-4.1,138,1.685765,1.685765,Automobile shop,(332.2, 358.9, 354.6)
BNC29_t3,0,-4.1,139,1.692718,1.692718,Automobile shop,(332.3, 358.9, 354.6)
BNC29_t3,0,-4.1,140,1.69979,1.69979,Automobile shop,(332.4, 358.9, 354.6)
BNC29_t3,0,-4.1,141,1.706621,1.706621,Automobile shop,(332.5, 358.9, 354.5)
BNC29_t3,0,-4.1,142,1.713688,1.713688,Automobile shop,(332.6, 358.9, 354.5)
BNC29_t3,0,-4.1,143,1.720556,1.720556,Automobile shop,(332.8, 359.0, 354.4)
BNC29_t3,0,-4.1,144,1.727492,1.727492,Automobile shop,(332.9, 359.0, 354.4)
BNC29_t3,0,-4.1,145,1.734334,1.734334,Automobile shop,(333.1, 359.0, 354.4)
BNC29_t3,0,-4.1,146,1.74146,1.74146,Automobile shop,(333.2, 359.0, 354.3)
BNC29_t3,0,-4.1,147,1.748283,1.748283,Automobile shop,(333.4, 359.0, 354.3)
BNC29_t3,0,-4.1,148,1.755504,1.755504,Automobile shop,(333.6, 359.0, 354.3)
BNC29_t3,0,-4.1,149,1.762286,1.762286,Automobile shop,(333.9, 359.0, 354.2)
BNC29_t3,0,-4.1,150,1.769091,1.769091,Automobile shop,(334.1, 359.0, 354.2)
BNC29_t3,0,-4.1,151,1.776267,1.776267,Automobile shop,(334.4, 359.0, 354.1)
BNC29_t3,0,-4.1,152,1.783016,1.783016,Automobile shop,(334.7, 359.0, 354.1)
BNC29_t3,0,-4.1,153,1.789963,1.789963,Automobile shop,(334.9, 359.0, 354.1)
BNC29_t3,0,-4.1,154,1.796863,1.796863,Automobile shop,(335.2, 359.0, 354.1)
BNC29_t3,0,-4.1,155,1.803874,1.803874,Automobile shop,(335.5, 359.0, 354.0)
BNC29_t3,0,-4.1,156,1.810778,1.810778,Automobile shop,(335.8, 359.1, 354.0)
BNC29_t3,0,-4.1,157,1.817739,1.817739,Automobile shop,(336.0, 359.1, 354.0)
BNC29_t3,0,-4.1,158,1.824653,1.824653,Automobile shop,(336.3, 359.1, 354.0)
BNC29_t3,0,-4.1,159,1.831748,1.831748,Automobile shop,(336.6, 359.2, 354.0)
BNC29_t3,0,-4.1,160,1.838667,1.838667,Automobile shop,(337.0, 359.2, 354.0)
BNC29_t3,0,-4.1,161,1.845701,1.845701,Automobile shop,(337.3, 359.2, 354.0)
BNC29_t3,0,-4.1,162,1.85243,1.85243,Automobile shop,(337.6, 359.3, 354.0)
BNC29_t3,0,-4.1,163,1.859568,1.859568,Automobile shop,(338.0, 359.3, 354.0)
BNC29_t3,0,-4.1,164,1.866364,1.866364,Automobile shop,(338.3, 359.4, 354.0)
BNC29_t3,0,-4.1,165,1.873334,1.873334,Automobile shop,(338.7, 359.4, 354.0)
BNC29_t3,0,-4.1,166,1.880245,1.880245,Automobile shop,(339.1, 359.5, 354.0)
BNC29_t3,0,-4.1,167,1.887425,1.887425,Automobile shop,(339.4, 359.5, 354.0)
BNC29_t3,0,-4.1,168,1.894228,1.894228,Automobile shop,(339.8, 359.6, 354.0)
BNC29_t3,0,-4.1,169,1.901131,1.901131,Automobile shop,(340.2, 359.6, 354.0)
BNC29_t3,0,-4.1,170,1.908014,1.908014,Automobile shop,(340.5, 359.6, 354.0)
BNC29_t3,0,-4.1,171,1.914905,1.914905,Automobile shop,(340.9, 359.7, 354.0)
BNC29_t3,0,-4.1,172,1.921944,1.921944,Automobile shop,(341.3, 359.7, 354.1)
BNC29_t3,0,-4.1,173,1.92898,1.92898,Automobile shop,(341.7, 359.7, 354.1)
BNC29_t3,0,-4.1,174,1.935793,1.935793,Automobile shop,(342.0, 359.8, 354.1)
BNC29_t3,0,-4.1,175,1.942746,1.942746,Automobile shop,(342.4, 359.8, 354.1)
BNC29_t3,0,-4.1,176,1.949652,1.949652,Automobile shop,(342.8, 359.8, 354.1)
BNC29_t3,0,-4.1,177,1.956709,1.956709,Automobile shop,(343.1, 359.8, 354.1)
BNC29_t3,0,-4.1,178,1.963727,1.963727,Automobile shop,(343.5, 359.9, 354.2)
BNC29_t3,0,-4.1,179,1.970666,1.970666,Automobile shop,(343.9, 359.9, 354.2)
BNC29_t3,0,-4.1,180,1.977485,1.977485,Automobile shop,(344.3, 359.9, 354.2)
BNC29_t3,0,-4.1,181,1.984443,1.984443,Automobile shop,(344.6, 359.9, 354.2)
BNC29_t3,0,-4.1,182,1.991363,1.991363,Automobile shop,(345.0, 359.9, 354.2)
BNC29_t3,0,-4.1,183,1.998368,1.998368,Automobile shop,(345.4, 359.9, 354.2)
BNC29_t3,0,-4.1,184,2.005234,2.005234,Automobile shop,(345.8, 360.0, 354.2)
BNC29_t3,0,-4.1,185,2.012232,2.012232,Automobile shop,(346.2, 360.0, 354.2)
BNC29_t3,0,-4.1,186,2.019211,2.019211,Automobile shop,(346.5, 0.0, 354.2)
BNC29_t3,0,-4.1,187,2.026176,2.026176,Automobile shop,(346.9, 0.0, 354.2)
BNC29_t3,0,-4.1,188,2.036168,2.036168,Automobile shop,(347.3, 0.0, 354.2)
BNC29_t3,0,-4.1,189,2.040976,2.040976,Automobile shop,(347.6, 0.1, 354.2)
BNC29_t3,0,-4.1,190,2.046102,2.046102,Automobile shop,(348.0, 0.1, 354.3)
BNC29_t3,0,-4.1,191,2.053023,2.053023,Automobile shop,(348.3, 0.1, 354.3)
BNC29_t3,0,-4.1,192,2.059941,2.059941,Automobile shop,(348.6, 0.1, 354.4)
BNC29_t3,0,-4.1,193,2.06703,2.06703,Automobile shop,(349.0, 0.1, 354.4)
BNC29_t3,0,-4.1,194,2.073893,2.073893,Automobile shop,(349.3, 0.1, 354.5)
BNC29_t3,0,-4.1,195,2.08084,2.08084,Automobile shop,(349.6, 0.1, 354.5)
BNC29_t3,0,-4.1,196,2.087909,2.087909,Automobile shop,(349.9, 0.1, 354.6)
BNC29_t3,0,-4.1,197,2.094703,2.094703,Automobile shop,(350.1, 0.1, 354.6)
BNC29_t3,0,-4.1,198,2.101728,2.101728,Automobile shop,(350.4, 0.1, 354.7)
BNC29_t3,0,-4.1,199,2.108824,2.108824,Automobile shop,(350.7, 0.0, 354.7)
BNC29_t3,0,-4.1,200,2.115668,2.115668,Automobile shop,(351.0, 360.0, 354.8)
BNC29_t3,0,-4.1,201,2.122503,2.122503,Automobile shop,(351.2, 359.9, 354.8)
BNC29_t3,0,-4.1,202,2.129535,2.129535,Automobile shop,(351.5, 359.9, 354.9)
