ParticipantID,X,Z,Frame,Total Time,Lapsed Time,Target Name,X Euler Angle,Y Euler Angle,Z Euler Angle
AkanukolanuT1,0,-4.1,0,0.02,0.02,Automobile shop,(0.0, 0.0, 0.0)
AkanukolanuT1,0,-4.1,1,0.04,0.04,Automobile shop,(0.0, 0.0, 0.0)
AkanukolanuT1,0,-4.1,2,0.06,0.06,Automobile shop,(0.0, 0.0, 0.0)
AkanukolanuT1,0,-4.1,3,0.3933333,0.3933333,Automobile shop,(356.4, 339.5, 1.0)
AkanukolanuT1,0,-4.1,4,0.5050514,0.5050514,Automobile shop,(356.7, 339.1, 1.3)
AkanukolanuT1,0,-4.1,5,0.5336168,0.5336168,Automobile shop,(356.7, 339.1, 1.3)
AkanukolanuT1,0,-4.1,6,0.5406113,0.5406113,Automobile shop,(356.7, 339.1, 1.3)
AkanukolanuT1,0,-4.1,7,0.5454266,0.5454266,Automobile shop,(356.7, 339.1, 1.3)
AkanukolanuT1,0,-4.1,8,0.5485787,0.5485787,Automobile shop,(356.7, 339.1, 1.3)
AkanukolanuT1,0,-4.1,9,0.5550363,0.5550363,Automobile shop,(356.7, 339.1, 1.3)
AkanukolanuT1,0,-4.1,10,0.5618832,0.5618832,Automobile shop,(356.7, 339.1, 1.3)
AkanukolanuT1,0,-4.1,11,0.568699,0.568699,Automobile shop,(356.7, 339.1, 1.3)
AkanukolanuT1,0,-4.1,12,0.5758351,0.5758351,Automobile shop,(356.7, 339.1, 1.3)
AkanukolanuT1,0,-4.1,13,0.5828131,0.5828131,Automobile shop,(356.7, 339.1, 1.3)
AkanukolanuT1,0,-4.1,14,0.5894817,0.5894817,Automobile shop,(356.7, 339.1, 1.3)
AkanukolanuT1,0,-4.1,15,0.5966519,0.5966519,Automobile shop,(356.7, 339.0, 1.3)
AkanukolanuT1,0,-4.1,16,0.6035729,0.6035729,Automobile shop,(356.7, 339.0, 1.3)
AkanukolanuT1,0,-4.1,17,0.610481,0.610481,Automobile shop,(356.8, 339.0, 1.3)
