ParticipantID,X,Z,Frame,Total Time,Lapsed Time,Target Name,X Euler Angle,Y Euler Angle,Z Euler Angle
BNC06_Y1_T3,0,-4.1,0,0.02,0.02,Automobile shop,(0.0, 0.0, 0.0)
BNC06_Y1_T3,0,-4.1,1,0.04,0.04,Automobile shop,(0.0, 0.0, 0.0)
BNC06_Y1_T3,0,-4.1,2,0.06,0.06,Automobile shop,(0.0, 0.0, 0.0)
BNC06_Y1_T3,0,-4.1,3,0.3933333,0.3933333,Automobile shop,(354.6, 357.6, 2.1)
BNC06_Y1_T3,0,-4.1,4,0.4581142,0.4581142,Automobile shop,(354.1, 357.9, 1.4)
BNC06_Y1_T3,0,-4.1,5,0.4692422,0.4692422,Automobile shop,(354.1, 358.0, 1.4)
BNC06_Y1_T3,0,-4.1,6,0.4745036,0.4745036,Automobile shop,(354.1, 358.0, 1.4)
BNC06_Y1_T3,0,-4.1,7,0.4786938,0.4786938,Automobile shop,(354.1, 358.0, 1.4)
BNC06_Y1_T3,0,-4.1,8,0.4826979,0.4826979,Automobile shop,(354.1, 358.0, 1.4)
BNC06_Y1_T3,0,-4.1,9,0.4891992,0.4891992,Automobile shop,(354.1, 358.0, 1.4)
BNC06_Y1_T3,0,-4.1,10,0.4962034,0.4962034,Automobile shop,(354.1, 358.0, 1.4)
BNC06_Y1_T3,0,-4.1,11,0.5032919,0.5032919,Automobile shop,(354.1, 358.0, 1.3)
BNC06_Y1_T3,0,-4.1,12,0.509863,0.509863,Automobile shop,(354.1, 358.0, 1.3)
BNC06_Y1_T3,0,-4.1,13,0.5170815,0.5170815,Automobile shop,(354.1, 358.0, 1.3)
BNC06_Y1_T3,0,-4.1,14,0.5240704,0.5240704,Automobile shop,(354.1, 358.0, 1.3)
BNC06_Y1_T3,0,-4.1,15,0.5305932,0.5305932,Automobile shop,(354.0, 358.0, 1.3)
BNC06_Y1_T3,0,-4.1,16,0.5376965,0.5376965,Automobile shop,(354.0, 358.0, 1.3)
BNC06_Y1_T3,0,-4.1,17,0.544902,0.544902,Automobile shop,(354.0, 358.0, 1.3)
BNC06_Y1_T3,0,-4.1,18,0.5519253,0.5519253,Automobile shop,(354.0, 358.0, 1.3)
BNC06_Y1_T3,0,-4.1,19,0.5586985,0.5586985,Automobile shop,(354.0, 358.0, 1.3)
BNC06_Y1_T3,0,-4.1,20,0.5657676,0.5657676,Automobile shop,(354.0, 358.0, 1.3)
BNC06_Y1_T3,0,-4.1,21,0.5726585,0.5726585,Automobile shop,(354.0, 358.0, 1.3)
BNC06_Y1_T3,0,-4.1,22,0.5795974,0.5795974,Automobile shop,(354.0, 358.0, 1.3)
BNC06_Y1_T3,0,-4.1,23,0.5868391,0.5868391,Automobile shop,(354.1, 358.0, 1.3)
BNC06_Y1_T3,0,-4.1,24,0.5935975,0.5935975,Automobile shop,(354.1, 358.0, 1.3)
BNC06_Y1_T3,0,-4.1,25,0.60092,0.60092,Automobile shop,(354.0, 358.0, 1.3)
BNC06_Y1_T3,0,-4.1,26,0.6074889,0.6074889,Automobile shop,(354.0, 358.0, 1.3)
BNC06_Y1_T3,0,-4.1,27,0.6151049,0.6151049,Automobile shop,(354.1, 358.0, 1.3)
BNC06_Y1_T3,0,-4.1,28,0.621253,0.621253,Automobile shop,(354.1, 357.9, 1.3)
BNC06_Y1_T3,0,-4.1,29,0.6282052,0.6282052,Automobile shop,(354.2, 357.9, 1.3)
BNC06_Y1_T3,0,-4.1,30,0.634966,0.634966,Automobile shop,(354.2, 357.9, 1.3)
BNC06_Y1_T3,0,-4.1,31,0.6420234,0.6420234,Automobile shop,(354.3, 357.9, 1.3)
BNC06_Y1_T3,0,-4.1,32,0.652284,0.652284,Automobile shop,(354.4, 357.9, 1.3)
BNC06_Y1_T3,0,-4.1,33,0.9472603,0.9472603,Automobile shop,(347.8, 357.5, 1.4)
BNC06_Y1_T3,0,-4.1,34,0.9759254,0.9759254,Automobile shop,(346.6, 357.8, 1.4)
BNC06_Y1_T3,0,-4.1,35,0.9823424,0.9823424,Automobile shop,(346.4, 357.8, 1.3)
BNC06_Y1_T3,0,-4.1,36,0.9894766,0.9894766,Automobile shop,(346.2, 357.9, 1.3)
BNC06_Y1_T3,0,-4.1,37,0.9963852,0.9963852,Automobile shop,(346.0, 357.9, 1.3)
BNC06_Y1_T3,0,-4.1,38,1.002964,1.002964,Automobile shop,(345.8, 358.0, 1.3)
BNC06_Y1_T3,0,-4.1,39,1.010182,1.010182,Automobile shop,(345.7, 358.0, 1.3)
