ParticipantID,X,Z,Frame,Total Time,Lapsed Time,Target Name,X Euler Angle,Y Euler Angle,Z Euler Angle
BNC18_Y1_t2,0,-4.1,0,0.02,0.02,Automobile shop,(0.0, 0.0, 0.0)
BNC18_Y1_t2,0,-4.1,1,0.04,0.04,Automobile shop,(0.0, 0.0, 0.0)
BNC18_Y1_t2,0,-4.1,2,0.06,0.06,Automobile shop,(0.0, 0.0, 0.0)
BNC18_Y1_t2,0,-4.1,3,0.3933333,0.3933333,Automobile shop,(5.3, 8.8, 1.0)
BNC18_Y1_t2,0,-4.1,4,0.4513763,0.4513763,Automobile shop,(10.1, 3.0, 1.8)
BNC18_Y1_t2,0,-4.1,5,0.4787163,0.4787163,Automobile shop,(11.6, 2.9, 2.0)
BNC18_Y1_t2,0,-4.1,6,0.4838878,0.4838878,Automobile shop,(11.7, 3.0, 1.9)
BNC18_Y1_t2,0,-4.1,7,0.4896488,0.4896488,Automobile shop,(11.8, 3.0, 1.9)
BNC18_Y1_t2,0,-4.1,8,0.4970559,0.4970559,Automobile shop,(11.8, 3.0, 1.9)
BNC18_Y1_t2,0,-4.1,9,0.5032983,0.5032983,Automobile shop,(11.8, 3.1, 1.8)
BNC18_Y1_t2,0,-4.1,10,0.510626,0.510626,Automobile shop,(11.7, 3.1, 1.8)
BNC18_Y1_t2,0,-4.1,11,0.5173408,0.5173408,Automobile shop,(11.5, 3.2, 1.7)
BNC18_Y1_t2,0,-4.1,12,0.5245439,0.5245439,Automobile shop,(11.4, 3.2, 1.7)
BNC18_Y1_t2,0,-4.1,13,0.5314447,0.5314447,Automobile shop,(11.1, 3.3, 1.7)
BNC18_Y1_t2,0,-4.1,14,0.5382726,0.5382726,Automobile shop,(10.9, 3.4, 1.7)
BNC18_Y1_t2,0,-4.1,15,0.5455398,0.5455398,Automobile shop,(10.6, 3.4, 1.8)
BNC18_Y1_t2,0,-4.1,16,0.5522596,0.5522596,Automobile shop,(10.4, 3.5, 1.8)
BNC18_Y1_t2,0,-4.1,17,0.5600101,0.5600101,Automobile shop,(10.2, 3.5, 1.9)
BNC18_Y1_t2,0,-4.1,18,0.5659959,0.5659959,Automobile shop,(10.0, 3.6, 1.9)
BNC18_Y1_t2,0,-4.1,19,0.5731146,0.5731146,Automobile shop,(9.7, 3.6, 2.0)
BNC18_Y1_t2,0,-4.1,20,0.5803359,0.5803359,Automobile shop,(9.5, 3.6, 2.0)
BNC18_Y1_t2,0,-4.1,21,0.5870101,0.5870101,Automobile shop,(9.4, 3.7, 2.1)
BNC18_Y1_t2,0,-4.1,22,0.5938953,0.5938953,Automobile shop,(9.2, 3.7, 2.1)
BNC18_Y1_t2,0,-4.1,23,0.6008942,0.6008942,Automobile shop,(9.1, 3.7, 2.2)
BNC18_Y1_t2,0,-4.1,24,0.6078036,0.6078036,Automobile shop,(8.9, 3.7, 2.2)
BNC18_Y1_t2,0,-4.1,25,0.6145392,0.6145392,Automobile shop,(8.8, 3.8, 2.3)
BNC18_Y1_t2,0,-4.1,26,0.621852,0.621852,Automobile shop,(8.7, 3.8, 2.3)
BNC18_Y1_t2,0,-4.1,27,0.628339,0.628339,Automobile shop,(8.5, 3.8, 2.3)
