ParticipantID,X,Z,Frame,Total Time,Lapsed Time,Target Name,X Euler Angle,Y Euler Angle,Z Euler Angle
BNC24_B2,0,-4.1,0,0.02,0.02,Automobile shop,(0.0, 0.0, 0.0)
BNC24_B2,0,-4.1,1,0.04,0.04,Automobile shop,(0.0, 0.0, 0.0)
BNC24_B2,0,-4.1,2,0.06,0.06,Automobile shop,(0.0, 0.0, 0.0)
BNC24_B2,0,-4.1,3,0.3933333,0.3933333,Automobile shop,(358.4, 3.4, 355.4)
BNC24_B2,0,-4.1,4,0.4449821,0.4449821,Automobile shop,(24.6, 1.8, 357.3)
BNC24_B2,0,-4.1,5,0.4573702,0.4573702,Automobile shop,(24.6, 1.7, 357.3)
BNC24_B2,0,-4.1,6,0.4631293,0.4631293,Automobile shop,(24.6, 1.6, 357.3)
BNC24_B2,0,-4.1,7,0.4661925,0.4661925,Automobile shop,(24.5, 1.5, 357.4)
BNC24_B2,0,-4.1,8,0.4705871,0.4705871,Automobile shop,(24.5, 1.5, 357.4)
BNC24_B2,0,-4.1,9,0.4774232,0.4774232,Automobile shop,(24.4, 1.4, 357.4)
BNC24_B2,0,-4.1,10,0.4843245,0.4843245,Automobile shop,(24.4, 1.3, 357.4)
BNC24_B2,0,-4.1,11,0.4913935,0.4913935,Automobile shop,(24.4, 1.3, 357.4)
BNC24_B2,0,-4.1,12,0.4980767,0.4980767,Automobile shop,(24.3, 1.2, 357.5)
BNC24_B2,0,-4.1,13,0.5053254,0.5053254,Automobile shop,(24.3, 1.2, 357.5)
BNC24_B2,0,-4.1,14,0.5120831,0.5120831,Automobile shop,(24.2, 1.2, 357.5)
BNC24_B2,0,-4.1,15,0.5189768,0.5189768,Automobile shop,(24.2, 1.1, 357.5)
BNC24_B2,0,-4.1,16,0.5262553,0.5262553,Automobile shop,(24.1, 1.1, 357.5)
BNC24_B2,0,-4.1,17,0.533005,0.533005,Automobile shop,(24.1, 1.1, 357.5)
BNC24_B2,0,-4.1,18,0.5400346,0.5400346,Automobile shop,(24.1, 1.0, 357.5)
BNC24_B2,0,-4.1,19,0.5470535,0.5470535,Automobile shop,(24.0, 1.0, 357.5)
BNC24_B2,0,-4.1,20,0.5538842,0.5538842,Automobile shop,(24.0, 1.0, 357.5)
BNC24_B2,0,-4.1,21,0.5608738,0.5608738,Automobile shop,(24.0, 1.0, 357.5)
BNC24_B2,0,-4.1,22,0.5676984,0.5676984,Automobile shop,(24.0, 1.0, 357.5)
BNC24_B2,0,-4.1,23,0.5746132,0.5746132,Automobile shop,(24.0, 1.0, 357.4)
BNC24_B2,0,-4.1,24,0.5818664,0.5818664,Automobile shop,(24.0, 1.0, 357.4)
BNC24_B2,0,-4.1,25,0.5884802,0.5884802,Automobile shop,(24.0, 1.0, 357.4)
BNC24_B2,0,-4.1,26,0.5955922,0.5955922,Automobile shop,(23.9, 1.0, 357.4)
BNC24_B2,0,-4.1,27,0.6030045,0.6030045,Automobile shop,(23.9, 1.0, 357.3)
BNC24_B2,0,-4.1,28,0.6095477,0.6095477,Automobile shop,(23.9, 1.0, 357.3)
BNC24_B2,0,-4.1,29,0.6161467,0.6161467,Automobile shop,(23.8, 1.0, 357.3)
BNC24_B2,0,-4.1,30,0.6231551,0.6231551,Automobile shop,(23.8, 1.1, 357.2)
BNC24_B2,0,-4.1,31,0.6300757,0.6300757,Automobile shop,(23.7, 1.1, 357.2)
BNC24_B2,0,-4.1,32,0.6369113,0.6369113,Automobile shop,(23.6, 1.1, 357.2)
BNC24_B2,0,-4.1,33,0.9649076,0.9649076,Automobile shop,(22.5, 3.4, 357.1)
BNC24_B2,0,-4.1,34,0.9938533,0.9938533,Automobile shop,(22.5, 3.4, 357.1)
BNC24_B2,0,-4.1,35,0.9987255,0.9987255,Automobile shop,(22.6, 3.4, 357.1)
BNC24_B2,0,-4.1,36,1.005153,1.005153,Automobile shop,(22.6, 3.4, 357.1)
BNC24_B2,0,-4.1,37,1.012266,1.012266,Automobile shop,(22.7, 3.4, 357.1)
BNC24_B2,0,-4.1,38,1.019092,1.019092,Automobile shop,(22.8, 3.4, 357.1)
BNC24_B2,0,-4.1,39,1.026088,1.026088,Automobile shop,(22.9, 3.4, 357.1)
BNC24_B2,0,-4.1,40,1.033177,1.033177,Automobile shop,(23.0, 3.4, 357.1)
BNC24_B2,0,-4.1,41,1.040141,1.040141,Automobile shop,(23.1, 3.4, 357.1)
BNC24_B2,0,-4.1,42,1.047038,1.047038,Automobile shop,(23.2, 3.5, 357.1)
BNC24_B2,0,-4.1,43,1.053959,1.053959,Automobile shop,(23.3, 3.5, 357.1)
BNC24_B2,0,-4.1,44,1.061403,1.061403,Automobile shop,(23.5, 3.5, 357.1)
BNC24_B2,0,-4.1,45,1.067883,1.067883,Automobile shop,(23.7, 3.5, 357.1)
BNC24_B2,0,-4.1,46,1.074687,1.074687,Automobile shop,(23.9, 3.5, 357.1)
BNC24_B2,0,-4.1,47,1.081844,1.081844,Automobile shop,(24.0, 3.5, 357.1)
BNC24_B2,0,-4.1,48,1.088525,1.088525,Automobile shop,(24.2, 3.5, 357.1)
BNC24_B2,0,-4.1,49,1.095836,1.095836,Automobile shop,(24.4, 3.5, 357.1)
BNC24_B2,0,-4.1,50,1.102497,1.102497,Automobile shop,(24.6, 3.5, 357.1)
BNC24_B2,0,-4.1,51,1.1095,1.1095,Automobile shop,(24.8, 3.5, 357.2)
BNC24_B2,0,-4.1,52,1.11728,1.11728,Automobile shop,(25.0, 3.5, 357.2)
BNC24_B2,0,-4.1,53,1.123406,1.123406,Automobile shop,(25.2, 3.5, 357.2)
BNC24_B2,0,-4.1,54,1.13028,1.13028,Automobile shop,(25.3, 3.5, 357.2)
BNC24_B2,0,-4.1,55,1.137179,1.137179,Automobile shop,(25.5, 3.5, 357.2)
BNC24_B2,0,-4.1,56,1.144315,1.144315,Automobile shop,(25.6, 3.5, 357.1)
BNC24_B2,0,-4.1,57,1.151066,1.151066,Automobile shop,(25.8, 3.5, 357.1)
BNC24_B2,0,-4.1,58,1.158065,1.158065,Automobile shop,(25.9, 3.6, 357.1)
BNC24_B2,0,-4.1,59,1.164927,1.164927,Automobile shop,(26.0, 3.6, 357.1)
BNC24_B2,0,-4.1,60,1.172016,1.172016,Automobile shop,(26.1, 3.6, 357.1)
BNC24_B2,0,-4.1,61,1.178852,1.178852,Automobile shop,(26.2, 3.7, 357.1)
BNC24_B2,0,-4.1,62,1.185937,1.185937,Automobile shop,(26.3, 3.7, 357.2)
BNC24_B2,0,-4.1,63,1.192792,1.192792,Automobile shop,(26.4, 3.7, 357.2)
BNC24_B2,0,-4.1,64,1.199575,1.199575,Automobile shop,(26.5, 3.8, 357.2)
BNC24_B2,0,-4.1,65,1.206602,1.206602,Automobile shop,(26.6, 3.8, 357.2)
BNC24_B2,0,-4.1,66,1.213753,1.213753,Automobile shop,(26.7, 3.9, 357.2)
BNC24_B2,0,-4.1,67,1.220582,1.220582,Automobile shop,(26.7, 3.9, 357.2)
BNC24_B2,0,-4.1,68,1.227463,1.227463,Automobile shop,(26.8, 3.9, 357.3)
BNC24_B2,0,-4.1,69,1.234589,1.234589,Automobile shop,(26.9, 4.0, 357.3)
BNC24_B2,0,-4.1,70,1.24138,1.24138,Automobile shop,(27.0, 4.0, 357.3)
BNC24_B2,0,-4.1,71,1.248338,1.248338,Automobile shop,(27.1, 4.1, 357.4)
BNC24_B2,0,-4.1,72,1.255275,1.255275,Automobile shop,(27.2, 4.2, 357.4)
BNC24_B2,0,-4.1,73,1.262168,1.262168,Automobile shop,(27.3, 4.2, 357.4)
BNC24_B2,0,-4.1,74,1.269169,1.269169,Automobile shop,(27.3, 4.2, 357.4)
BNC24_B2,0,-4.1,75,1.276253,1.276253,Automobile shop,(27.4, 4.3, 357.5)
BNC24_B2,0,-4.1,76,1.282985,1.282985,Automobile shop,(27.5, 4.3, 357.5)
BNC24_B2,0,-4.1,77,1.290013,1.290013,Automobile shop,(27.6, 4.4, 357.5)
BNC24_B2,0,-4.1,78,1.297004,1.297004,Automobile shop,(27.7, 4.4, 357.6)
BNC24_B2,0,-4.1,79,1.304082,1.304082,Automobile shop,(27.8, 4.5, 357.6)
BNC24_B2,0,-4.1,80,1.311272,1.311272,Automobile shop,(27.9, 4.5, 357.6)
BNC24_B2,0,-4.1,81,1.318403,1.318403,Automobile shop,(28.1, 4.5, 357.7)
BNC24_B2,0,-4.1,82,1.325604,1.325604,Automobile shop,(28.1, 4.6, 357.7)
BNC24_B2,0,-4.1,83,1.332665,1.332665,Automobile shop,(28.2, 4.6, 357.7)
BNC24_B2,0,-4.1,84,1.339738,1.339738,Automobile shop,(28.3, 4.6, 357.8)
BNC24_B2,0,-4.1,85,1.346489,1.346489,Automobile shop,(28.4, 4.6, 357.8)
BNC24_B2,0,-4.1,86,1.353496,1.353496,Automobile shop,(28.4, 4.7, 357.8)
BNC24_B2,0,-4.1,87,1.360394,1.360394,Automobile shop,(28.5, 4.7, 357.9)
BNC24_B2,0,-4.1,88,1.367247,1.367247,Automobile shop,(28.5, 4.7, 357.9)
BNC24_B2,0,-4.1,89,1.374247,1.374247,Automobile shop,(28.5, 4.8, 357.9)
BNC24_B2,0,-4.1,90,1.38123,1.38123,Automobile shop,(28.5, 4.8, 358.0)
BNC24_B2,0,-4.1,91,1.388068,1.388068,Automobile shop,(28.5, 4.8, 358.0)
BNC24_B2,0,-4.1,92,1.394988,1.394988,Automobile shop,(28.5, 4.8, 358.0)
BNC24_B2,0,-4.1,93,1.402161,1.402161,Automobile shop,(28.6, 4.9, 358.1)
BNC24_B2,0,-4.1,94,1.409023,1.409023,Automobile shop,(28.6, 4.9, 358.1)
BNC24_B2,0,-4.1,95,1.415785,1.415785,Automobile shop,(28.6, 4.9, 358.2)
BNC24_B2,0,-4.1,96,1.422905,1.422905,Automobile shop,(28.6, 4.9, 358.2)
BNC24_B2,0,-4.1,97,1.429792,1.429792,Automobile shop,(28.6, 4.9, 358.3)
BNC24_B2,0,-4.1,98,1.436599,1.436599,Automobile shop,(28.6, 4.8, 358.3)
BNC24_B2,0,-4.1,99,1.443701,1.443701,Automobile shop,(28.6, 4.8, 358.3)
BNC24_B2,0,-4.1,100,1.450592,1.450592,Automobile shop,(28.5, 4.8, 358.4)
BNC24_B2,0,-4.1,101,1.457619,1.457619,Automobile shop,(28.5, 4.7, 358.4)
BNC24_B2,0,-4.1,102,1.464647,1.464647,Automobile shop,(28.5, 4.7, 358.4)
BNC24_B2,0,-4.1,103,1.471407,1.471407,Automobile shop,(28.5, 4.6, 358.4)
BNC24_B2,0,-4.1,104,1.478423,1.478423,Automobile shop,(28.5, 4.6, 358.5)
BNC24_B2,0,-4.1,105,1.485277,1.485277,Automobile shop,(28.5, 4.5, 358.5)
BNC24_B2,0,-4.1,106,1.492383,1.492383,Automobile shop,(28.5, 4.5, 358.5)
