ParticipantID,X,Z,Frame,Total Time,Lapsed Time,Target Name,X Euler Angle,Y Euler Angle,Z Euler Angle
BNC30_t3,0,-4.1,0,0.02,0.02,Automobile shop,(0.0, 0.0, 0.0)
BNC30_t3,0,-4.1,1,0.04,0.04,Automobile shop,(0.0, 0.0, 0.0)
BNC30_t3,0,-4.1,2,0.06,0.06,Automobile shop,(0.0, 0.0, 0.0)
BNC30_t3,0,-4.1,3,0.3933333,0.3933333,Automobile shop,(359.6, 357.2, 356.4)
BNC30_t3,0,-4.1,4,0.4450209,0.4450209,Automobile shop,(356.2, 2.4, 355.8)
BNC30_t3,0,-4.1,5,0.4549448,0.4549448,Automobile shop,(356.1, 2.4, 355.8)
BNC30_t3,0,-4.1,6,0.4598617,0.4598617,Automobile shop,(356.0, 2.4, 355.9)
BNC30_t3,0,-4.1,7,0.4633885,0.4633885,Automobile shop,(355.9, 2.3, 355.9)
BNC30_t3,0,-4.1,8,0.4703826,0.4703826,Automobile shop,(355.8, 2.3, 356.0)
BNC30_t3,0,-4.1,9,0.4768542,0.4768542,Automobile shop,(355.6, 2.3, 356.1)
BNC30_t3,0,-4.1,10,0.4837455,0.4837455,Automobile shop,(355.6, 2.3, 356.1)
BNC30_t3,0,-4.1,11,0.4905464,0.4905464,Automobile shop,(355.5, 2.3, 356.2)
BNC30_t3,0,-4.1,12,0.4976104,0.4976104,Automobile shop,(355.5, 2.2, 356.3)
BNC30_t3,0,-4.1,13,0.5043502,0.5043502,Automobile shop,(355.6, 2.2, 356.4)
BNC30_t3,0,-4.1,14,0.5113834,0.5113834,Automobile shop,(355.7, 2.1, 356.5)
BNC30_t3,0,-4.1,15,0.5182097,0.5182097,Automobile shop,(355.8, 2.0, 356.7)
BNC30_t3,0,-4.1,16,0.5253027,0.5253027,Automobile shop,(356.0, 1.9, 356.8)
BNC30_t3,0,-4.1,17,0.5322041,0.5322041,Automobile shop,(356.2, 1.8, 357.0)
BNC30_t3,0,-4.1,18,0.5393723,0.5393723,Automobile shop,(356.4, 1.7, 357.1)
BNC30_t3,0,-4.1,19,0.5464602,0.5464602,Automobile shop,(356.7, 1.6, 357.3)
BNC30_t3,0,-4.1,20,0.5533484,0.5533484,Automobile shop,(356.9, 1.5, 357.4)
BNC30_t3,0,-4.1,21,0.5600765,0.5600765,Automobile shop,(357.2, 1.3, 357.5)
BNC30_t3,0,-4.1,22,0.5671525,0.5671525,Automobile shop,(357.5, 1.2, 357.7)
BNC30_t3,0,-4.1,23,0.5740905,0.5740905,Automobile shop,(357.8, 1.0, 357.7)
BNC30_t3,0,-4.1,24,0.5811313,0.5811313,Automobile shop,(358.0, 0.9, 357.8)
BNC30_t3,0,-4.1,25,0.5879247,0.5879247,Automobile shop,(358.2, 0.7, 357.8)
BNC30_t3,0,-4.1,26,0.5948868,0.5948868,Automobile shop,(358.3, 0.6, 357.9)
BNC30_t3,0,-4.1,27,0.6020743,0.6020743,Automobile shop,(358.5, 0.5, 357.9)
BNC30_t3,0,-4.1,28,0.6094819,0.6094819,Automobile shop,(358.5, 0.3, 357.9)
BNC30_t3,0,-4.1,29,0.6157036,0.6157036,Automobile shop,(358.5, 0.2, 358.0)
BNC30_t3,0,-4.1,30,0.622622,0.622622,Automobile shop,(358.4, 0.1, 358.0)
BNC30_t3,0,-4.1,31,0.6296989,0.6296989,Automobile shop,(358.3, 360.0, 358.1)
BNC30_t3,0,-4.1,32,0.6365603,0.6365603,Automobile shop,(358.1, 359.9, 358.1)
BNC30_t3,0,-4.1,33,0.6435479,0.6435479,Automobile shop,(357.9, 359.8, 358.1)
BNC30_t3,0,-4.1,34,0.9454012,0.9454012,Automobile shop,(350.8, 359.0, 359.4)
BNC30_t3,0,-4.1,35,0.9734037,0.9734037,Automobile shop,(351.2, 359.1, 359.4)
BNC30_t3,0,-4.1,36,0.9806123,0.9806123,Automobile shop,(351.2, 359.1, 359.4)
BNC30_t3,0,-4.1,37,0.9843206,0.9843206,Automobile shop,(351.3, 359.1, 359.4)
BNC30_t3,0,-4.1,38,0.9907777,0.9907777,Automobile shop,(351.3, 359.1, 359.5)
BNC30_t3,0,-4.1,39,0.997769,0.997769,Automobile shop,(351.4, 359.1, 359.4)
BNC30_t3,0,-4.1,40,1.004793,1.004793,Automobile shop,(351.4, 359.1, 359.4)
BNC30_t3,0,-4.1,41,1.011744,1.011744,Automobile shop,(351.4, 359.2, 359.4)
BNC30_t3,0,-4.1,42,1.018776,1.018776,Automobile shop,(351.4, 359.2, 359.4)
BNC30_t3,0,-4.1,43,1.025487,1.025487,Automobile shop,(351.5, 359.2, 359.4)
BNC30_t3,0,-4.1,44,1.032524,1.032524,Automobile shop,(351.5, 359.2, 359.4)
BNC30_t3,0,-4.1,45,1.039537,1.039537,Automobile shop,(351.5, 359.2, 359.4)
BNC30_t3,0,-4.1,46,1.046332,1.046332,Automobile shop,(351.5, 359.2, 359.4)
BNC30_t3,0,-4.1,47,1.053639,1.053639,Automobile shop,(351.5, 359.3, 359.4)
BNC30_t3,0,-4.1,48,1.060334,1.060334,Automobile shop,(351.5, 359.3, 359.4)
BNC30_t3,0,-4.1,49,1.067457,1.067457,Automobile shop,(351.5, 359.3, 359.4)
BNC30_t3,0,-4.1,50,1.074087,1.074087,Automobile shop,(351.5, 359.3, 359.5)
BNC30_t3,0,-4.1,51,1.081086,1.081086,Automobile shop,(351.5, 359.3, 359.5)
BNC30_t3,0,-4.1,52,1.088151,1.088151,Automobile shop,(351.5, 359.3, 359.5)
