ParticipantID,X,Z,Frame,Total Time,Lapsed Time,Target Name,X Euler Angle,Y Euler Angle,Z Euler Angle
BNC51,0,-4.1,0,0.02,0.02,Automobile shop,(0.0, 0.0, 0.0)
BNC51,0,-4.1,1,0.04,0.04,Automobile shop,(0.0, 0.0, 0.0)
BNC51,0,-4.1,2,0.06,0.06,Automobile shop,(0.0, 0.0, 0.0)
BNC51,0,-4.1,3,0.3933333,0.3933333,Automobile shop,(10.2, 350.5, 357.9)
BNC51,0,-4.1,4,0.4737512,0.4737512,Automobile shop,(10.8, 353.0, 357.5)
BNC51,0,-4.1,5,0.5049431,0.5049431,Automobile shop,(10.9, 353.0, 357.5)
BNC51,0,-4.1,6,0.5112725,0.5112725,Automobile shop,(11.0, 353.1, 357.5)
BNC51,0,-4.1,7,0.5147736,0.5147736,Automobile shop,(11.0, 353.2, 357.5)
BNC51,0,-4.1,8,0.5196997,0.5196997,Automobile shop,(11.1, 353.2, 357.5)
BNC51,0,-4.1,9,0.5265308,0.5265308,Automobile shop,(11.1, 353.2, 357.5)
BNC51,0,-4.1,10,0.5337069,0.5337069,Automobile shop,(11.1, 353.2, 357.5)
BNC51,0,-4.1,11,0.5403486,0.5403486,Automobile shop,(11.2, 353.2, 357.5)
BNC51,0,-4.1,12,0.5476553,0.5476553,Automobile shop,(11.2, 353.2, 357.5)
BNC51,0,-4.1,13,0.5542569,0.5542569,Automobile shop,(11.2, 353.3, 357.5)
BNC51,0,-4.1,14,0.5614139,0.5614139,Automobile shop,(11.2, 353.3, 357.5)
BNC51,0,-4.1,15,0.5681697,0.5681697,Automobile shop,(11.3, 353.3, 357.5)
BNC51,0,-4.1,16,0.5751863,0.5751863,Automobile shop,(11.3, 353.3, 357.5)
BNC51,0,-4.1,17,0.5821112,0.5821112,Automobile shop,(11.3, 353.3, 357.6)
BNC51,0,-4.1,18,0.5890933,0.5890933,Automobile shop,(11.3, 353.3, 357.6)
BNC51,0,-4.1,19,0.5960405,0.5960405,Automobile shop,(11.3, 353.3, 357.6)
BNC51,0,-4.1,20,0.6029205,0.6029205,Automobile shop,(11.3, 353.3, 357.6)
BNC51,0,-4.1,21,0.6099849,0.6099849,Automobile shop,(11.4, 353.3, 357.6)
BNC51,0,-4.1,22,0.6168388,0.6168388,Automobile shop,(11.4, 353.3, 357.6)
BNC51,0,-4.1,23,0.6236997,0.6236997,Automobile shop,(11.4, 353.3, 357.6)
BNC51,0,-4.1,24,0.6305522,0.6305522,Automobile shop,(11.4, 353.3, 357.6)
BNC51,0,-4.1,25,0.6377162,0.6377162,Automobile shop,(11.4, 353.3, 357.6)
BNC51,0,-4.1,26,0.6446207,0.6446207,Automobile shop,(11.4, 353.3, 357.6)
BNC51,0,-4.1,27,0.6514214,0.6514214,Automobile shop,(11.4, 353.3, 357.6)
BNC51,0,-4.1,28,0.658322,0.658322,Automobile shop,(11.4, 353.4, 357.6)
BNC51,0,-4.1,29,0.9535365,0.9535365,Automobile shop,(11.6, 353.6, 357.5)
BNC51,0,-4.1,30,0.9823279,0.9823279,Automobile shop,(11.4, 353.6, 357.5)
BNC51,0,-4.1,31,0.9869347,0.9869347,Automobile shop,(11.4, 353.6, 357.5)
BNC51,0,-4.1,32,0.9920789,0.9920789,Automobile shop,(11.4, 353.6, 357.5)
