ParticipantID,X,Z,Frame,Total Time,Lapsed Time,Target Name,X Euler Angle,Y Euler Angle,Z Euler Angle
BNC_TestAC_t2,0,-4.1,0,0.02,0.02,Automobile shop,(0.0, 0.0, 0.0)
BNC_TestAC_t2,0,-4.1,1,0.04,0.04,Automobile shop,(0.0, 0.0, 0.0)
BNC_TestAC_t2,0,-4.1,2,0.06,0.06,Automobile shop,(0.0, 0.0, 0.0)
BNC_TestAC_t2,0,-4.1,3,0.3933333,0.3933333,Automobile shop,(68.9, 50.6, 53.9)
BNC_TestAC_t2,0,-4.1,4,0.442151,0.442151,Automobile shop,(68.9, 50.7, 54.0)
BNC_TestAC_t2,0,-4.1,5,0.4517549,0.4517549,Automobile shop,(68.9, 50.7, 53.9)
BNC_TestAC_t2,0,-4.1,6,0.4588391,0.4588391,Automobile shop,(68.9, 50.7, 53.9)
BNC_TestAC_t2,0,-4.1,7,0.4665553,0.4665553,Automobile shop,(68.9, 50.7, 53.9)
BNC_TestAC_t2,0,-4.1,8,0.4724716,0.4724716,Automobile shop,(68.9, 50.7, 53.9)
BNC_TestAC_t2,0,-4.1,9,0.4792144,0.4792144,Automobile shop,(68.9, 50.7, 53.9)
BNC_TestAC_t2,0,-4.1,10,0.4859965,0.4859965,Automobile shop,(68.9, 50.7, 54.0)
BNC_TestAC_t2,0,-4.1,11,0.4929734,0.4929734,Automobile shop,(68.9, 50.7, 53.9)
BNC_TestAC_t2,0,-4.1,12,0.4999564,0.4999564,Automobile shop,(68.9, 50.7, 53.9)
BNC_TestAC_t2,0,-4.1,13,0.5068793,0.5068793,Automobile shop,(68.9, 50.7, 53.9)
BNC_TestAC_t2,0,-4.1,14,0.513864,0.513864,Automobile shop,(68.9, 50.7, 53.9)
BNC_TestAC_t2,0,-4.1,15,0.5207536,0.5207536,Automobile shop,(68.9, 50.7, 53.9)
BNC_TestAC_t2,0,-4.1,16,0.5279052,0.5279052,Automobile shop,(68.9, 50.7, 53.9)
BNC_TestAC_t2,0,-4.1,17,0.5348738,0.5348738,Automobile shop,(68.9, 50.7, 53.9)
BNC_TestAC_t2,0,-4.1,18,0.5419435,0.5419435,Automobile shop,(68.9, 50.7, 53.9)
BNC_TestAC_t2,0,-4.1,19,0.5487301,0.5487301,Automobile shop,(68.9, 50.7, 53.9)
BNC_TestAC_t2,0,-4.1,20,0.5556021,0.5556021,Automobile shop,(68.9, 50.7, 53.9)
BNC_TestAC_t2,0,-4.1,21,0.5626724,0.5626724,Automobile shop,(68.9, 50.7, 53.9)
BNC_TestAC_t2,0,-4.1,22,0.5697779,0.5697779,Automobile shop,(68.9, 50.7, 53.9)
BNC_TestAC_t2,0,-4.1,23,0.576574,0.576574,Automobile shop,(68.9, 50.7, 53.9)
BNC_TestAC_t2,0,-4.1,24,0.5834749,0.5834749,Automobile shop,(68.9, 50.7, 54.0)
BNC_TestAC_t2,0,-4.1,25,0.5904484,0.5904484,Automobile shop,(68.9, 50.7, 53.9)
BNC_TestAC_t2,0,-4.1,26,0.5974905,0.5974905,Automobile shop,(68.9, 50.7, 54.0)
BNC_TestAC_t2,0,-4.1,27,0.6041809,0.6041809,Automobile shop,(68.9, 50.7, 54.0)
BNC_TestAC_t2,0,-4.1,28,0.6112611,0.6112611,Automobile shop,(68.9, 50.7, 54.0)
BNC_TestAC_t2,0,-4.1,29,0.6180671,0.6180671,Automobile shop,(68.9, 50.7, 53.9)
BNC_TestAC_t2,0,-4.1,30,0.6250851,0.6250851,Automobile shop,(68.9, 50.7, 53.9)
BNC_TestAC_t2,0,-4.1,31,0.631992,0.631992,Automobile shop,(68.9, 50.7, 53.9)
BNC_TestAC_t2,0,-4.1,32,0.8009289,0.8009289,Automobile shop,(68.9, 50.6, 53.9)
BNC_TestAC_t2,0,-4.1,33,0.8223245,0.8223245,Automobile shop,(68.9, 50.7, 53.9)
BNC_TestAC_t2,0,-4.1,34,0.8266924,0.8266924,Automobile shop,(68.9, 50.7, 53.9)
BNC_TestAC_t2,0,-4.1,35,0.833576,0.833576,Automobile shop,(68.9, 50.7, 53.9)
BNC_TestAC_t2,0,-4.1,36,0.8404922,0.8404922,Automobile shop,(68.9, 50.7, 53.9)
BNC_TestAC_t2,0,-4.1,37,0.8474504,0.8474504,Automobile shop,(68.9, 50.7, 53.9)
BNC_TestAC_t2,0,-4.1,38,0.8543753,0.8543753,Automobile shop,(68.9, 50.7, 53.9)
BNC_TestAC_t2,0,-4.1,39,0.8614541,0.8614541,Automobile shop,(68.9, 50.7, 53.9)
BNC_TestAC_t2,0,-4.1,40,0.8683102,0.8683102,Automobile shop,(68.9, 50.7, 53.9)
BNC_TestAC_t2,0,-4.1,41,0.8752605,0.8752605,Automobile shop,(68.9, 50.6, 53.9)
BNC_TestAC_t2,0,-4.1,42,0.8822256,0.8822256,Automobile shop,(68.9, 50.7, 53.9)
BNC_TestAC_t2,0,-4.1,43,0.8890923,0.8890923,Automobile shop,(68.9, 50.7, 53.9)
BNC_TestAC_t2,0,-4.1,44,0.8960205,0.8960205,Automobile shop,(68.9, 50.7, 53.9)
BNC_TestAC_t2,0,-4.1,45,0.903015,0.903015,Automobile shop,(68.9, 50.7, 53.9)
BNC_TestAC_t2,0,-4.1,46,0.9100087,0.9100087,Automobile shop,(68.9, 50.6, 53.9)
BNC_TestAC_t2,0,-4.1,47,0.9170436,0.9170436,Automobile shop,(68.9, 50.7, 53.9)
BNC_TestAC_t2,0,-4.1,48,0.9238201,0.9238201,Automobile shop,(68.9, 50.6, 53.9)
BNC_TestAC_t2,0,-4.1,49,0.9308161,0.9308161,Automobile shop,(68.9, 50.6, 53.9)
BNC_TestAC_t2,0,-4.1,50,0.9378058,0.9378058,Automobile shop,(68.9, 50.6, 53.9)
BNC_TestAC_t2,0,-4.1,51,0.9447439,0.9447439,Automobile shop,(68.9, 50.7, 53.9)
BNC_TestAC_t2,0,-4.1,52,0.9518138,0.9518138,Automobile shop,(68.9, 50.7, 53.9)
BNC_TestAC_t2,0,-4.1,53,0.9586198,0.9586198,Automobile shop,(68.9, 50.6, 53.9)
BNC_TestAC_t2,0,-4.1,54,0.9654857,0.9654857,Automobile shop,(68.9, 50.7, 53.9)
BNC_TestAC_t2,0,-4.1,55,0.9724048,0.9724048,Automobile shop,(68.9, 50.7, 53.9)
BNC_TestAC_t2,0,-4.1,56,0.9795365,0.9795365,Automobile shop,(68.9, 50.6, 53.9)
BNC_TestAC_t2,0,-4.1,57,0.9863693,0.9863693,Automobile shop,(68.9, 50.7, 53.9)
BNC_TestAC_t2,0,-4.1,58,0.9931692,0.9931692,Automobile shop,(68.9, 50.6, 53.9)
BNC_TestAC_t2,0,-4.1,59,1.000275,1.000275,Automobile shop,(68.9, 50.6, 53.9)
BNC_TestAC_t2,0,-4.1,60,1.007233,1.007233,Automobile shop,(68.9, 50.7, 53.9)
BNC_TestAC_t2,0,-4.1,61,1.014198,1.014198,Automobile shop,(68.9, 50.6, 53.9)
BNC_TestAC_t2,0,-4.1,62,1.021073,1.021073,Automobile shop,(68.9, 50.7, 53.9)
BNC_TestAC_t2,0,-4.1,63,1.028261,1.028261,Automobile shop,(68.9, 50.7, 53.9)
BNC_TestAC_t2,0,-4.1,64,1.03499,1.03499,Automobile shop,(68.9, 50.6, 53.9)
BNC_TestAC_t2,0,-4.1,65,1.042816,1.042816,Automobile shop,(68.9, 50.6, 53.9)
BNC_TestAC_t2,0,-4.1,66,1.049411,1.049411,Automobile shop,(68.9, 50.7, 53.9)
BNC_TestAC_t2,0,-4.1,67,1.056536,1.056536,Automobile shop,(68.9, 50.7, 53.9)
BNC_TestAC_t2,0,-4.1,68,1.063658,1.063658,Automobile shop,(68.9, 50.6, 53.9)
BNC_TestAC_t2,0,-4.1,69,1.070753,1.070753,Automobile shop,(68.9, 50.7, 53.9)
BNC_TestAC_t2,0,-4.1,70,1.07761,1.07761,Automobile shop,(68.9, 50.7, 53.9)
BNC_TestAC_t2,0,-4.1,71,1.084676,1.084676,Automobile shop,(68.9, 50.7, 53.9)
BNC_TestAC_t2,0,-4.1,72,1.091626,1.091626,Automobile shop,(68.9, 50.7, 53.9)
BNC_TestAC_t2,0,-4.1,73,1.098642,1.098642,Automobile shop,(68.9, 50.7, 53.9)
BNC_TestAC_t2,0,-4.1,74,1.105638,1.105638,Automobile shop,(68.9, 50.7, 53.9)
BNC_TestAC_t2,0,-4.1,75,1.112289,1.112289,Automobile shop,(68.9, 50.6, 53.9)
BNC_TestAC_t2,0,-4.1,76,1.11919,1.11919,Automobile shop,(68.9, 50.7, 53.9)
BNC_TestAC_t2,0,-4.1,77,1.126204,1.126204,Automobile shop,(68.9, 50.7, 53.9)
BNC_TestAC_t2,0,-4.1,78,1.133095,1.133095,Automobile shop,(68.9, 50.6, 53.9)
BNC_TestAC_t2,0,-4.1,79,1.139966,1.139966,Automobile shop,(68.9, 50.7, 53.9)
BNC_TestAC_t2,0,-4.1,80,1.146997,1.146997,Automobile shop,(68.9, 50.6, 53.9)
BNC_TestAC_t2,0,-4.1,81,1.153937,1.153937,Automobile shop,(68.9, 50.6, 53.9)
BNC_TestAC_t2,0,-4.1,82,1.160805,1.160805,Automobile shop,(68.9, 50.6, 53.9)
BNC_TestAC_t2,0,-4.1,83,1.167844,1.167844,Automobile shop,(68.9, 50.6, 53.9)
BNC_TestAC_t2,0,-4.1,84,1.174898,1.174898,Automobile shop,(68.9, 50.7, 53.9)
BNC_TestAC_t2,0,-4.1,85,1.18163,1.18163,Automobile shop,(68.9, 50.7, 53.9)
BNC_TestAC_t2,0,-4.1,86,1.188655,1.188655,Automobile shop,(68.9, 50.6, 53.9)
BNC_TestAC_t2,0,-4.1,87,1.195564,1.195564,Automobile shop,(68.9, 50.6, 53.9)
BNC_TestAC_t2,0,-4.1,88,1.202372,1.202372,Automobile shop,(68.9, 50.6, 53.9)
BNC_TestAC_t2,0,-4.1,89,1.209492,1.209492,Automobile shop,(68.9, 50.6, 53.9)
BNC_TestAC_t2,0,-4.1,90,1.216344,1.216344,Automobile shop,(68.9, 50.6, 53.9)
BNC_TestAC_t2,0,-4.1,91,1.223396,1.223396,Automobile shop,(68.9, 50.7, 53.9)
BNC_TestAC_t2,0,-4.1,92,1.230303,1.230303,Automobile shop,(68.9, 50.6, 53.9)
BNC_TestAC_t2,0,-4.1,93,1.237216,1.237216,Automobile shop,(68.9, 50.7, 53.9)
