ParticipantID,X,Z,Frame,Total Time,Lapsed Time,Target Name,X Euler Angle,Y Euler Angle,Z Euler Angle
NAV054_t2,0,-4.1,0,0.02,0.02,Automobile shop,(0.0, 0.0, 0.0)
NAV054_t2,0,-4.1,1,0.04,0.04,Automobile shop,(0.0, 0.0, 0.0)
NAV054_t2,0,-4.1,2,0.06,0.06,Automobile shop,(0.0, 0.0, 0.0)
NAV054_t2,0,-4.1,3,0.3933333,0.3933333,Automobile shop,(10.1, 359.3, 0.7)
NAV054_t2,0,-4.1,4,0.4472556,0.4472556,Automobile shop,(4.2, 357.5, 1.3)
NAV054_t2,0,-4.1,5,0.4574265,0.4574265,Automobile shop,(4.0, 357.5, 1.2)
NAV054_t2,0,-4.1,6,0.4626358,0.4626358,Automobile shop,(3.9, 357.5, 1.2)
NAV054_t2,0,-4.1,7,0.4660106,0.4660106,Automobile shop,(3.8, 357.5, 1.2)
NAV054_t2,0,-4.1,8,0.4732484,0.4732484,Automobile shop,(3.7, 357.5, 1.2)
NAV054_t2,0,-4.1,9,0.4800155,0.4800155,Automobile shop,(3.6, 357.5, 1.2)
NAV054_t2,0,-4.1,10,0.4869803,0.4869803,Automobile shop,(3.6, 357.5, 1.2)
NAV054_t2,0,-4.1,11,0.4937603,0.4937603,Automobile shop,(3.5, 357.4, 1.2)
NAV054_t2,0,-4.1,12,0.5007303,0.5007303,Automobile shop,(3.5, 357.4, 1.2)
NAV054_t2,0,-4.1,13,0.5076675,0.5076675,Automobile shop,(3.4, 357.4, 1.2)
NAV054_t2,0,-4.1,14,0.514543,0.514543,Automobile shop,(3.4, 357.4, 1.2)
NAV054_t2,0,-4.1,15,0.5214851,0.5214851,Automobile shop,(3.3, 357.3, 1.2)
NAV054_t2,0,-4.1,16,0.5284444,0.5284444,Automobile shop,(3.3, 357.3, 1.2)
NAV054_t2,0,-4.1,17,0.5353787,0.5353787,Automobile shop,(3.3, 357.2, 1.3)
NAV054_t2,0,-4.1,18,0.5429129,0.5429129,Automobile shop,(3.4, 357.1, 1.3)
NAV054_t2,0,-4.1,19,0.5493913,0.5493913,Automobile shop,(3.4, 357.1, 1.3)
NAV054_t2,0,-4.1,20,0.5565217,0.5565217,Automobile shop,(3.4, 357.0, 1.3)
NAV054_t2,0,-4.1,21,0.5632414,0.5632414,Automobile shop,(3.5, 356.9, 1.4)
NAV054_t2,0,-4.1,22,0.5704927,0.5704927,Automobile shop,(3.5, 356.9, 1.4)
NAV054_t2,0,-4.1,23,0.5771894,0.5771894,Automobile shop,(3.6, 356.8, 1.4)
NAV054_t2,0,-4.1,24,0.5842823,0.5842823,Automobile shop,(3.7, 356.7, 1.4)
NAV054_t2,0,-4.1,25,0.591439,0.591439,Automobile shop,(3.7, 356.6, 1.3)
NAV054_t2,0,-4.1,26,0.5980901,0.5980901,Automobile shop,(3.8, 356.6, 1.3)
