ParticipantID,X,Z,Frame,Total Time,Lapsed Time,Target Name,X Euler Angle,Y Euler Angle,Z Euler Angle
ShowAndTell,0,-4.1,0,0.02,0.02,Automobile shop,(0.0, 0.0, 0.0)
ShowAndTell,0,-4.1,1,0.04,0.04,Automobile shop,(0.0, 0.0, 0.0)
ShowAndTell,0,-4.1,2,0.06,0.06,Automobile shop,(0.0, 0.0, 0.0)
ShowAndTell,0,-4.1,3,0.3933333,0.3933333,Automobile shop,(30.3, 0.3, 2.6)
ShowAndTell,0,-4.1,4,0.5875995,0.5875995,Automobile shop,(7.9, 323.0, 359.1)
ShowAndTell,0,-4.1,5,0.6220821,0.6220821,Automobile shop,(3.3, 313.0, 0.7)
ShowAndTell,0,-4.1,6,0.6290015,0.6290015,Automobile shop,(2.9, 311.3, 1.0)
ShowAndTell,0,-4.1,7,0.6339104,0.6339104,Automobile shop,(2.8, 310.7, 1.1)
ShowAndTell,0,-4.1,8,0.6391963,0.6391963,Automobile shop,(2.7, 310.2, 1.2)
ShowAndTell,0,-4.1,9,0.6455452,0.6455452,Automobile shop,(2.6, 309.8, 1.4)
ShowAndTell,0,-4.1,10,0.6527405,0.6527405,Automobile shop,(2.5, 309.3, 1.5)
ShowAndTell,0,-4.1,11,0.6595781,0.6595781,Automobile shop,(2.5, 308.9, 1.6)
ShowAndTell,0,-4.1,12,0.6664301,0.6664301,Automobile shop,(2.4, 308.5, 1.7)
ShowAndTell,0,-4.1,13,0.6734264,0.6734264,Automobile shop,(2.3, 308.1, 1.9)
ShowAndTell,0,-4.1,14,0.6802196,0.6802196,Automobile shop,(2.3, 307.8, 2.0)
ShowAndTell,0,-4.1,15,0.6874492,0.6874492,Automobile shop,(2.3, 307.4, 2.2)
ShowAndTell,0,-4.1,16,0.6943968,0.6943968,Automobile shop,(2.2, 307.1, 2.4)
ShowAndTell,0,-4.1,17,0.701156,0.701156,Automobile shop,(2.2, 306.8, 2.6)
ShowAndTell,0,-4.1,18,0.7100642,0.7100642,Automobile shop,(2.2, 306.6, 2.8)
ShowAndTell,0,-4.1,19,0.7153412,0.7153412,Automobile shop,(2.2, 306.4, 3.0)
ShowAndTell,0,-4.1,20,0.7220796,0.7220796,Automobile shop,(2.2, 306.2, 3.2)
ShowAndTell,0,-4.1,21,0.7289646,0.7289646,Automobile shop,(2.2, 306.0, 3.3)
ShowAndTell,0,-4.1,22,0.7357065,0.7357065,Automobile shop,(2.2, 305.9, 3.5)
ShowAndTell,0,-4.1,23,0.7428153,0.7428153,Automobile shop,(2.2, 305.8, 3.6)
ShowAndTell,0,-4.1,24,0.7495787,0.7495787,Automobile shop,(2.2, 305.7, 3.7)
ShowAndTell,0,-4.1,25,0.7564806,0.7564806,Automobile shop,(2.2, 305.6, 3.9)
ShowAndTell,0,-4.1,26,0.7634791,0.7634791,Automobile shop,(2.2, 305.6, 3.9)
ShowAndTell,0,-4.1,27,0.7703344,0.7703344,Automobile shop,(2.2, 305.6, 4.0)
ShowAndTell,0,-4.1,28,0.7776746,0.7776746,Automobile shop,(2.1, 305.5, 4.1)
ShowAndTell,0,-4.1,29,0.7842293,0.7842293,Automobile shop,(2.2, 305.5, 4.2)
ShowAndTell,0,-4.1,30,0.7946664,0.7946664,Automobile shop,(2.2, 305.5, 4.2)
ShowAndTell,0,-4.1,31,0.7984832,0.7984832,Automobile shop,(2.2, 305.5, 4.3)
ShowAndTell,0,-4.1,32,0.805585,0.805585,Automobile shop,(2.2, 305.5, 4.3)
ShowAndTell,0,-4.1,33,1.098473,1.098473,Automobile shop,(357.8, 314.0, 4.3)
ShowAndTell,0,-4.1,34,1.127842,1.127842,Automobile shop,(355.8, 315.0, 4.4)
ShowAndTell,0,-4.1,35,1.132801,1.132801,Automobile shop,(355.2, 315.1, 4.4)
ShowAndTell,0,-4.1,36,1.138727,1.138727,Automobile shop,(354.5, 315.2, 4.3)
ShowAndTell,0,-4.1,37,1.145709,1.145709,Automobile shop,(353.9, 315.2, 4.2)
ShowAndTell,0,-4.1,38,1.152671,1.152671,Automobile shop,(353.3, 315.3, 4.2)
ShowAndTell,0,-4.1,39,1.159758,1.159758,Automobile shop,(352.7, 315.2, 4.0)
ShowAndTell,0,-4.1,40,1.166596,1.166596,Automobile shop,(352.2, 315.2, 3.9)
ShowAndTell,0,-4.1,41,1.173878,1.173878,Automobile shop,(351.6, 315.1, 3.8)
ShowAndTell,0,-4.1,42,1.180511,1.180511,Automobile shop,(351.2, 314.9, 3.6)
ShowAndTell,0,-4.1,43,1.187553,1.187553,Automobile shop,(350.7, 314.8, 3.5)
ShowAndTell,0,-4.1,44,1.194325,1.194325,Automobile shop,(350.3, 314.6, 3.3)
ShowAndTell,0,-4.1,45,1.201357,1.201357,Automobile shop,(349.8, 314.4, 3.2)
ShowAndTell,0,-4.1,46,1.208352,1.208352,Automobile shop,(349.4, 314.2, 3.0)
ShowAndTell,0,-4.1,47,1.215442,1.215442,Automobile shop,(349.1, 314.1, 2.9)
ShowAndTell,0,-4.1,48,1.222088,1.222088,Automobile shop,(348.7, 313.9, 2.7)
ShowAndTell,0,-4.1,49,1.229004,1.229004,Automobile shop,(348.4, 313.7, 2.6)
ShowAndTell,0,-4.1,50,1.235944,1.235944,Automobile shop,(348.1, 313.5, 2.5)
ShowAndTell,0,-4.1,51,1.242849,1.242849,Automobile shop,(347.8, 313.3, 2.5)
ShowAndTell,0,-4.1,52,1.250111,1.250111,Automobile shop,(347.6, 313.1, 2.4)
ShowAndTell,0,-4.1,53,1.256821,1.256821,Automobile shop,(347.3, 312.9, 2.4)
ShowAndTell,0,-4.1,54,1.263834,1.263834,Automobile shop,(347.1, 312.7, 2.3)
ShowAndTell,0,-4.1,55,1.27064,1.27064,Automobile shop,(346.9, 312.5, 2.3)
ShowAndTell,0,-4.1,56,1.277608,1.277608,Automobile shop,(346.7, 312.3, 2.3)
ShowAndTell,0,-4.1,57,1.284729,1.284729,Automobile shop,(346.5, 312.0, 2.3)
ShowAndTell,0,-4.1,58,1.291418,1.291418,Automobile shop,(346.4, 311.8, 2.4)
